is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-25T08:02:12.010371,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,acanthephyra pelagica Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product aac17297-8e58-4102-bc52-bbbcd472a296,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This acanthephyra pelagica Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthephyra-pelagica-aquamaps-native-2050-raster,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,acanthephyra-pelagica-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthephyra-pelagica-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T10:40:54.898478,Person,Classification,2099-12-31T23:59:59-01:00,Ampelisca aequicornis,1901-01-01T00:0000-01:00,Result Product 94d2dfac-1e2e-4087-85df-2b8da2c8ab2c,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Ampelisca aequicornis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name ampelisca-aequicornis2,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,ampelisca-aequicornis2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/ampelisca-aequicornis2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
2017-11-25T17:33:31.455114,2017-12-24T13:14:59.160639,Person,string,2099-12-31T23:59:59-01:00,Amblyrhynchotes honckenii,1901-01-01T00:0000-01:00,Result Product b199ddbb-da40-4283-a493-4539978cbabd,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amblyrhynchotes honckenii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier b199ddbb-da40-4283-a493-4539978cbabd,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,b199ddbb-da40-4283-a493-4539978cbabd,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/b199ddbb-da40-4283-a493-4539978cbabd,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T00:29:51.627473,Person,Classification,2099-12-31T23:59:59-01:00,Aetobatus flagellum,1901-01-01T00:0000-01:00,Result Product 5137ce45-531c-4451-a694-402882e5e662,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aetobatus flagellum Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 5137ce45-531c-4451-a694-402882e5e662,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,5137ce45-531c-4451-a694-402882e5e662,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/5137ce45-531c-4451-a694-402882e5e662,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T16:15:19.173371,Person,Classification,2099-12-31T23:59:59-01:00,Anisochromis mascarenensis,1901-01-01T00:0000-01:00,Result Product ac6c9aa9-5cbf-4000-b6d0-fbba7af9146e,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anisochromis mascarenensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier c6604a53-d7e7-4bc2-a021-84ba90e5a680,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,FederatedIdentifier,c6604a53-d7e7-4bc2-a021-84ba90e5a680,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/c6604a53-d7e7-4bc2-a021-84ba90e5a680,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T08:25:23.748034,Publication,Classification,2099-12-31T23:59:59-01:00,Acipenser sturio,1901-01-01T00:0000-01:00,Result Product cfb31a3e-3525-4722-8bd5-266214bf91a2,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acipenser sturio Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acipenser-sturio1,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,acipenser-sturio1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acipenser-sturio1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-22T23:30:03.782757,Publication,Classification,2099-12-31T23:59:59-01:00,Allocyttus guineensis,1901-01-01T00:0000-01:00,Result Product 77af97b0-8621-493a-8d50-85b0a03cf4fc,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Allocyttus guineensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier e04444ba-21da-4e4b-a195-d46fc7d55dab,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,string,e04444ba-21da-4e4b-a195-d46fc7d55dab,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/e04444ba-21da-4e4b-a195-d46fc7d55dab,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T14:16:26.976698,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthocepola indica,1901-01-01T00:0000-01:00,Result Product 3954a503-a9bf-400f-ba96-1470381d9221,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthocepola indica Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 3954a503-a9bf-400f-ba96-1470381d9221,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,3954a503-a9bf-400f-ba96-1470381d9221,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/3954a503-a9bf-400f-ba96-1470381d9221,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T17:39:25.395351,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acuminodeutopus naglei,1901-01-01T00:0000-01:00,Result Product 7a4794ca-652e-440b-9e98-f3eeb5062ce6,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acuminodeutopus naglei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 61e73209-4472-45dc-9f54-2d3612992785,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,61e73209-4472-45dc-9f54-2d3612992785,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/61e73209-4472-45dc-9f54-2d3612992785,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T12:32:35.584338,Person,Classification,2099-12-31T23:59:59-01:00,Amblygobius Albimaculatus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 57a069eb-49c8-44ac-8b64-381e18d5804c,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amblygobius Albimaculatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name amblygobius-albimaculatus-aquamaps-native-raster,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,amblygobius-albimaculatus-aquamaps-native-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/amblygobius-albimaculatus-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
2017-11-29T10:03:12.895319,2017-12-02T12:35:17.584938,OrganisationUnit,string,2099-12-31T23:59:59-01:00,Anodontia philippiana,1901-01-01T00:0000-01:00,Result Product 4c60c306-404e-4976-94e0-2deaf17cf3d4,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anodontia philippiana Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 67fa68c0-6d37-4006-88b1-cd69b9656905,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,67fa68c0-6d37-4006-88b1-cd69b9656905,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/67fa68c0-6d37-4006-88b1-cd69b9656905,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T10:07:27.674378,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus hailstonei,1901-01-01T00:0000-01:00,Result Product 54026cc0-bae9-4d50-8654-4e18ec2a5ec2,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alpheus hailstonei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alpheus-hailstonei,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,alpheus-hailstonei,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-hailstonei,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T12:36:01.671967,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthurus thompsoni,1901-01-01T00:0000-01:00,Result Product c81aa7e4-7fa3-411c-8c50-fba045965f4b,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthurus thompsoni Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthurus-thompsoni1,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,acanthurus-thompsoni1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-thompsoni1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
