is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Abalistes stellatus,1901-01-01T00:0000-01:00,Result Product 8006cd2e-4dc9-459a-bc0d-2addb184fe30,string,Result Product Identifier 8006cd2e-4dc9-459a-bc0d-2addb184fe30,"This Abalistes stellatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T21:33:55.923117,Classification,FullLinkEntity,Product,Classification,Classification,2099-12-31T23:59:59-01:00,8006cd2e-4dc9-459a-bc0d-2addb184fe30,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/8006cd2e-4dc9-459a-bc0d-2addb184fe30,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anodontostoma Chacunda Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 0fad14bc-30dd-4fef-99dd-92768a9261a6,string,Result Product Name anodontostoma-chacunda-aquamaps-native-raster,"This Anodontostoma Chacunda Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T12:00:32.191255,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,anodontostoma-chacunda-aquamaps-native-raster,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/anodontostoma-chacunda-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,agnesiopsis translucida Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 9dca644a-b9b6-4ada-8f06-be1617f2c4ee,string,Result Product Identifier 9dca644a-b9b6-4ada-8f06-be1617f2c4ee,"This agnesiopsis translucida Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T13:00:49.298811,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,9dca644a-b9b6-4ada-8f06-be1617f2c4ee,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/9dca644a-b9b6-4ada-8f06-be1617f2c4ee,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Akarotaxis nudiceps,1901-01-01T00:0000-01:00,Result Product ceab19e6-1b1f-4190-960f-1675029737e6,string,Result Product Revision Identifier bc65e660-d756-4f8d-bd20-82eabac85d41,"This Akarotaxis nudiceps Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T02:32:47.565576,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,bc65e660-d756-4f8d-bd20-82eabac85d41,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/bc65e660-d756-4f8d-bd20-82eabac85d41,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,actinopyga mauritiana Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 3818603e-d3a5-4a18-95eb-fb95958e8273,FederatedIdentifier,Result Product Identifier 3818603e-d3a5-4a18-95eb-fb95958e8273,"This actinopyga mauritiana Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T13:16:09.596575,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,3818603e-d3a5-4a18-95eb-fb95958e8273,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/3818603e-d3a5-4a18-95eb-fb95958e8273,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anas querquedula,1901-01-01T00:0000-01:00,Result Product 8217dee9-6cc8-4f51-90b9-468554ef8091,FederatedIdentifier,Result Product Name anas-querquedula,"This Anas querquedula Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater native dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-23T08:47:08.644948,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,anas-querquedula,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/anas-querquedula,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,acipenser oxyrinchus oxyrinchus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 4f45d0d3-4a03-4b99-acd5-ea23e614b340,string,Result Product Revision Identifier 6f5d067c-dda5-43b7-92e2-2b699c055d34,"This acipenser oxyrinchus oxyrinchus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T10:58:06.602506,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,6f5d067c-dda5-43b7-92e2-2b699c055d34,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/6f5d067c-dda5-43b7-92e2-2b699c055d34,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alertichthys blacki,1901-01-01T00:0000-01:00,Result Product 066dbdb1-11a3-46b2-b8f5-b0776d83af68,string,Result Product Revision Identifier 15b9d1c1-f3d0-4394-aaf6-68ecc4cb91ea,"This Alertichthys blacki Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-22T18:26:55.515184,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,15b9d1c1-f3d0-4394-aaf6-68ecc4cb91ea,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/15b9d1c1-f3d0-4394-aaf6-68ecc4cb91ea,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Ampelisca aequicornis,1901-01-01T00:0000-01:00,Result Product 11e31ff5-bcd2-46bd-9fcc-9a85baba82d2,string,Result Product Name ampelisca-aequicornis,"This Ampelisca aequicornis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-26T02:54:33.018216,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ampelisca-aequicornis,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/ampelisca-aequicornis,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alabes hoesei,1901-01-01T00:0000-01:00,Result Product 5b4b70eb-16cc-431f-9b69-db0f3cee7c9e,string,Result Product Name alabes-hoesei1,"This Alabes hoesei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-23T22:32:36.926485,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,alabes-hoesei1,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/alabes-hoesei1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Aceroides latipes,1901-01-01T00:0000-01:00,Result Product f11f5ea1-f7bf-457f-9dfb-fc3176435743,FederatedIdentifier,Result Product Revision Identifier 5269af33-60b6-4799-bd79-8ae88c0c26fa,"This Aceroides latipes Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T00:50:23.012077,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,5269af33-60b6-4799-bd79-8ae88c0c26fa,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/5269af33-60b6-4799-bd79-8ae88c0c26fa,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alionematichthys riukiuensis,1901-01-01T00:0000-01:00,Result Product fc330a44-d4d6-4d8f-a0ac-3bd2e89fb605,string,Result Product Identifier fc330a44-d4d6-4d8f-a0ac-3bd2e89fb605,"This Alionematichthys riukiuensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-25T06:50:01.893059,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,fc330a44-d4d6-4d8f-a0ac-3bd2e89fb605,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/fc330a44-d4d6-4d8f-a0ac-3bd2e89fb605,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,ancistroteuthis lichtensteini Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 76ed0d19-3f41-4f58-a4fb-bda484277354,string,Result Product Identifier 76ed0d19-3f41-4f58-a4fb-bda484277354,"This ancistroteuthis lichtensteini Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T03:48:48.727642,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,76ed0d19-3f41-4f58-a4fb-bda484277354,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/76ed0d19-3f41-4f58-a4fb-bda484277354,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
