is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-30T22:36:46.941290,Person,Classification,2099-12-31T23:59:59-01:00,Acantholabrus palloni,1901-01-01T00:0000-01:00,Result Product cb179d4f-97e3-4b96-988c-efd2a2dcc9b4,2099-12-31T23:59:59-01:00,Result Product Name acantholabrus-palloni3,"This Acantholabrus palloni Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,string,acantholabrus-palloni3,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/acantholabrus-palloni3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T13:43:30.610529,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alpheus collumianus,1901-01-01T00:0000-01:00,Result Product a0b37f99-e6d8-4c06-999a-a566d1304c47,2099-12-31T23:59:59-01:00,Result Product Name alpheus-collumianus2,"This Alpheus collumianus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,alpheus-collumianus2,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-collumianus2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T02:15:12.900886,Person,Classification,2099-12-31T23:59:59-01:00,Acar domingensis,1901-01-01T00:0000-01:00,Result Product e238f59a-cbfa-423a-9255-9cd614c051b3,2099-12-31T23:59:59-01:00,Result Product Name acar-domingensis3,"This Acar domingensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,acar-domingensis3,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acar-domingensis3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-28T17:15:17.086653,Person,Classification,2099-12-31T23:59:59-01:00,Acropora exquisita,1901-01-01T00:0000-01:00,Result Product 380a7ac2-abe9-4cac-bdfd-d355bb315889,2099-12-31T23:59:59-01:00,Result Product Name acropora-exquisita2,"This Acropora exquisita Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,acropora-exquisita2,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acropora-exquisita2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T07:41:50.451775,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alpheus cristulifrons,1901-01-01T00:0000-01:00,Result Product e2e62cec-e5c5-4ba5-b35e-2e56e4f27b80,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 0916b26d-60fa-4a59-b2d2-d1e7b1d08a21,"This Alpheus cristulifrons Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,0916b26d-60fa-4a59-b2d2-d1e7b1d08a21,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/0916b26d-60fa-4a59-b2d2-d1e7b1d08a21,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T06:12:35.453538,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Amblygobius Linki Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product d55f1e3b-1a52-4084-9333-6ab250903fe2,2099-12-31T23:59:59-01:00,Result Product Identifier d55f1e3b-1a52-4084-9333-6ab250903fe2,"This Amblygobius Linki Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,d55f1e3b-1a52-4084-9333-6ab250903fe2,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/d55f1e3b-1a52-4084-9333-6ab250903fe2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-24T07:18:14.284539,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthurus guttatus,1901-01-01T00:0000-01:00,Result Product 82203366-8bb2-490a-9fbf-731913d4c099,2099-12-31T23:59:59-01:00,Result Product Name acanthurus-guttatus1,"This Acanthurus guttatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,acanthurus-guttatus1,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-guttatus1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T15:36:18.780355,Person,Classification,2099-12-31T23:59:59-01:00,Amblygaster clupeoides,1901-01-01T00:0000-01:00,Result Product cc3e790f-2190-42ad-942b-bd772046f8cb,2099-12-31T23:59:59-01:00,Result Product Name amblygaster-clupeoides2,"This Amblygaster clupeoides Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,amblygaster-clupeoides2,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/amblygaster-clupeoides2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T13:55:42.001731,Person,Classification,2099-12-31T23:59:59-01:00,Anoplagonus inermis,1901-01-01T00:0000-01:00,Result Product e68da373-6361-47ec-a517-51c06ae78e20,2099-12-31T23:59:59-01:00,Result Product Identifier e68da373-6361-47ec-a517-51c06ae78e20,"This Anoplagonus inermis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,e68da373-6361-47ec-a517-51c06ae78e20,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/e68da373-6361-47ec-a517-51c06ae78e20,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T02:40:56.856927,Person,Classification,2099-12-31T23:59:59-01:00,Alphestes multiguttatus,1901-01-01T00:0000-01:00,Result Product d5c29596-d328-4b28-b417-1e38e243f111,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 0d25dcb1-14a5-4e5b-aa5c-8921ea8d9295,"This Alphestes multiguttatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,0d25dcb1-14a5-4e5b-aa5c-8921ea8d9295,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/0d25dcb1-14a5-4e5b-aa5c-8921ea8d9295,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T13:10:09.568373,Person,Classification,2099-12-31T23:59:59-01:00,Anarchias allardicei,1901-01-01T00:0000-01:00,Result Product cde7552e-7899-47ab-8dc4-e874a2f0c6f9,2099-12-31T23:59:59-01:00,Result Product Name anarchias-allardicei2,"This Anarchias allardicei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,string,anarchias-allardicei2,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/anarchias-allardicei2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T20:42:21.280628,Publication,Classification,2099-12-31T23:59:59-01:00,Achirus declivis,1901-01-01T00:0000-01:00,Result Product 689e8ed8-5547-42d9-9cbc-60124f9f7e0b,2099-12-31T23:59:59-01:00,Result Product Identifier 689e8ed8-5547-42d9-9cbc-60124f9f7e0b,"This Achirus declivis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,FederatedIdentifier,689e8ed8-5547-42d9-9cbc-60124f9f7e0b,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/689e8ed8-5547-42d9-9cbc-60124f9f7e0b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-24T03:30:00.287537,Person,Classification,2099-12-31T23:59:59-01:00,Alcockia rostrata,1901-01-01T00:0000-01:00,Result Product 36638373-3009-4bc3-9d26-eb4fbf4ca175,2099-12-31T23:59:59-01:00,Result Product Name alcockia-rostrata4,"This Alcockia rostrata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,alcockia-rostrata4,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alcockia-rostrata4,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T03:01:16.269883,Person,Classification,2099-12-31T23:59:59-01:00,Alphestes multiguttatus,1901-01-01T00:0000-01:00,Result Product 4e88c86e-b711-40b0-8e80-5603ce149af5,2099-12-31T23:59:59-01:00,Result Product Identifier 4e88c86e-b711-40b0-8e80-5603ce149af5,"This Alphestes multiguttatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,4e88c86e-b711-40b0-8e80-5603ce149af5,PersonName,,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/4e88c86e-b711-40b0-8e80-5603ce149af5,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
