is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-25T00:02:40.777319,Person,Classification,2099-12-31T23:59:59-01:00,Agaricia fragilis,1901-01-01T00:0000-01:00,Result Product a6467c5e-e738-4c14-ab93-76c9044faa7d,string,Result Product Name agaricia-fragilis1,"This Agaricia fragilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,agaricia-fragilis1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/agaricia-fragilis1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T06:57:31.561846,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alpheus paracrinitus,1901-01-01T00:0000-01:00,Result Product 24fa3245-6431-4fe3-af5f-defea4ee90c4,FederatedIdentifier,Result Product Name alpheus-paracrinitus,"This Alpheus paracrinitus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,alpheus-paracrinitus,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-paracrinitus,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T20:45:27.047241,Publication,Classification,2099-12-31T23:59:59-01:00,ancylopsetta cycloidea Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 082f99f8-571c-468f-92ad-ccb0297181f8,string,Result Product Revision Identifier 0bf5a47d-d2a9-40f2-8711-7acf4c6fd7cb,"This ancylopsetta cycloidea Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,0bf5a47d-d2a9-40f2-8711-7acf4c6fd7cb,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/0bf5a47d-d2a9-40f2-8711-7acf4c6fd7cb,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T01:42:13.043361,Person,Classification,2099-12-31T23:59:59-01:00,amblyglyphidodon aureus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product dea56831-85fc-4933-b049-8be76c11f680,string,Result Product Identifier dea56831-85fc-4933-b049-8be76c11f680,"This amblyglyphidodon aureus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,dea56831-85fc-4933-b049-8be76c11f680,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/dea56831-85fc-4933-b049-8be76c11f680,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-25T07:53:22.098956,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,acanthurus bahianus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 33a450fc-4858-4b9e-879e-6c8276fc581d,string,Result Product Revision Identifier 1abe5a2b-6109-4c34-b19c-c1f2f56f057e,"This acanthurus bahianus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,1abe5a2b-6109-4c34-b19c-c1f2f56f057e,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/1abe5a2b-6109-4c34-b19c-c1f2f56f057e,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-28T16:07:40.385623,Person,Classification,2099-12-31T23:59:59-01:00,Annual catch of tuna and tuna-like species in the East Pacific Ocean (1918-2015) (IATTC level 0),1901-01-01T00:0000-01:00,Result Product 65b34ba8-861b-4212-a1d2-0e637718a04e,string,Result Product Revision Identifier d48cdf81-cbcc-40f9-b770-0eac95dd08ad,"This dataset lists catch of tuna and tuna-like species from the Commission for the Inter-American Tropical Tuna Commission (IATTC) from 1918 to 2015. Catches are stratified by year, species, fishing gear, vessel flag reporting country. It corresponds to the IATTC nominal catch (task1) dataset.

This dataset was downloaded on the IATTC website. It was then restructured to be in line with the Sardara database structure (columns normalization, names, etc.). However the content of data and the code lists were kept exactly as their are available in the source dataset.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,d48cdf81-cbcc-40f9-b770-0eac95dd08ad,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d48cdf81-cbcc-40f9-b770-0eac95dd08ad,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T21:33:55.695847,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthurus nubilus,1901-01-01T00:0000-01:00,Result Product 046f8449-0ba8-4378-8e9b-7eba30d6db57,FederatedIdentifier,Result Product Revision Identifier 3792eb6c-d55d-48e1-a653-01964c4e1720,"This Acanthurus nubilus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,3792eb6c-d55d-48e1-a653-01964c4e1720,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/3792eb6c-d55d-48e1-a653-01964c4e1720,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-24T14:46:28.212039,Person,Classification,2099-12-31T23:59:59-01:00,Anaitides madeirensis,1901-01-01T00:0000-01:00,Result Product bcccff09-868e-4d26-bceb-2a8329fc4ed4,string,Result Product Name anaitides-madeirensis,"This Anaitides madeirensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,anaitides-madeirensis,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/anaitides-madeirensis,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-22T23:03:08.919736,Person,Classification,2099-12-31T23:59:59-01:00,Abyssocottus korotneffi,1901-01-01T00:0000-01:00,Result Product 55ff9224-d553-401a-be70-b19d5fccfe3a,FederatedIdentifier,Result Product Name abyssocottus-korotneffi,"This Abyssocottus korotneffi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater suitable dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,abyssocottus-korotneffi,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/abyssocottus-korotneffi,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T00:22:41.469843,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anchoa Starksi Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product bf480c1d-0f22-4aef-a9ed-635d9606a1d2,FederatedIdentifier,Result Product Identifier bf480c1d-0f22-4aef-a9ed-635d9606a1d2,"This Anchoa Starksi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,bf480c1d-0f22-4aef-a9ed-635d9606a1d2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/bf480c1d-0f22-4aef-a9ed-635d9606a1d2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T12:16:15.867806,Person,Classification,2099-12-31T23:59:59-01:00,amphiprion latezonatus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 67079d35-a859-4787-b3fd-0abda3e33fed,FederatedIdentifier,Result Product Name amphiprion-latezonatus-aquamaps-native-2050-raster,"This amphiprion latezonatus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,amphiprion-latezonatus-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/amphiprion-latezonatus-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T19:34:43.893292,Person,Classification,2099-12-31T23:59:59-01:00,allocyttus guineensis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 6364ca1c-7d39-4dac-8d9e-9d58558d9a95,FederatedIdentifier,Result Product Identifier 6364ca1c-7d39-4dac-8d9e-9d58558d9a95,"This allocyttus guineensis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,6364ca1c-7d39-4dac-8d9e-9d58558d9a95,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/6364ca1c-7d39-4dac-8d9e-9d58558d9a95,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
