is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,has_identifier_has_id_value,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_destination_of_has_source_has_identifier_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-28T14:47:39.096273,Person,Classification,2099-12-31T23:59:59-01:00,Acipenser transmontanus,1901-01-01T00:0000-01:00,Result Product 3c84d328-c303-4581-9a69-972b58a68e8b,acipenser-transmontanus,2099-12-31T23:59:59-01:00,"This Acipenser transmontanus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acipenser-transmontanus,SimpleLinkEntity,Classification,FullLinkEntity,string,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/acipenser-transmontanus,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T14:05:42.835530,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Abralia andamanica,1901-01-01T00:0000-01:00,Result Product 91ab47f1-a85f-47cd-88b9-23537ca0478c,abralia-andamanica2,2099-12-31T23:59:59-01:00,"This Abralia andamanica Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name abralia-andamanica2,FullLinkEntity,Classification,FullLinkEntity,string,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/abralia-andamanica2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T21:05:46.049544,Person,Classification,2099-12-31T23:59:59-01:00,Acantholabrus palloni,1901-01-01T00:0000-01:00,Result Product 10d62fb8-30e2-4ebd-b13a-c163a09f4e81,10d62fb8-30e2-4ebd-b13a-c163a09f4e81,2099-12-31T23:59:59-01:00,"This Acantholabrus palloni Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 10d62fb8-30e2-4ebd-b13a-c163a09f4e81,SimpleLinkEntity,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/10d62fb8-30e2-4ebd-b13a-c163a09f4e81,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T19:16:11.810194,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus nonalter,1901-01-01T00:0000-01:00,Result Product 47667209-adc9-4da2-b6a1-76298a612486,47667209-adc9-4da2-b6a1-76298a612486,2099-12-31T23:59:59-01:00,"This Alpheus nonalter Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 47667209-adc9-4da2-b6a1-76298a612486,FullLinkEntity,Classification,FullLinkEntity,string,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/47667209-adc9-4da2-b6a1-76298a612486,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T17:43:03.848092,Person,Classification,2099-12-31T23:59:59-01:00,Aldrovandia Gracilis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product fedf6ce7-53f1-454f-9b5c-fabb8ca6d515,d16359fa-4255-4877-a313-3f25ecb8158d,2099-12-31T23:59:59-01:00,"This Aldrovandia Gracilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d16359fa-4255-4877-a313-3f25ecb8158d,FullLinkEntity,Classification,FullLinkEntity,string,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d16359fa-4255-4877-a313-3f25ecb8158d,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T11:26:16.442709,Person,Classification,2099-12-31T23:59:59-01:00,Ammodytoides gilli,1901-01-01T00:0000-01:00,Result Product 5e830ca1-a09c-4977-bd47-ab7664a80eff,d0e5e557-cd91-48d5-a0f9-e7ca8031304b,2099-12-31T23:59:59-01:00,"This Ammodytoides gilli Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d0e5e557-cd91-48d5-a0f9-e7ca8031304b,FullLinkEntity,Classification,FullLinkEntity,FederatedIdentifier,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d0e5e557-cd91-48d5-a0f9-e7ca8031304b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T17:32:53.121731,Person,Classification,2099-12-31T23:59:59-01:00,Akarotaxis nudiceps,1901-01-01T00:0000-01:00,Result Product 6656c1da-a7b9-4527-9ffc-13bf4a740dce,6656c1da-a7b9-4527-9ffc-13bf4a740dce,2099-12-31T23:59:59-01:00,"This Akarotaxis nudiceps Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 6656c1da-a7b9-4527-9ffc-13bf4a740dce,FullLinkEntity,Classification,FullLinkEntity,string,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/6656c1da-a7b9-4527-9ffc-13bf4a740dce,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T16:45:17.243952,Person,Classification,2099-12-31T23:59:59-01:00,Acanthochromis polyacanthus,1901-01-01T00:0000-01:00,Result Product 3ba90af2-5ca0-4461-917f-2e5337f4e93a,3ba90af2-5ca0-4461-917f-2e5337f4e93a,2099-12-31T23:59:59-01:00,"This Acanthochromis polyacanthus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 3ba90af2-5ca0-4461-917f-2e5337f4e93a,FullLinkEntity,Classification,FullLinkEntity,string,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/3ba90af2-5ca0-4461-917f-2e5337f4e93a,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T17:08:08.507595,Person,Classification,2099-12-31T23:59:59-01:00,Acantholumpenus mackayi,1901-01-01T00:0000-01:00,Result Product 75889ee9-3d63-42c6-82d1-b616e4df5a9e,d66b14a9-27c5-4217-954a-a0632d1499dc,2099-12-31T23:59:59-01:00,"This Acantholumpenus mackayi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d66b14a9-27c5-4217-954a-a0632d1499dc,FullLinkEntity,Classification,FullLinkEntity,string,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d66b14a9-27c5-4217-954a-a0632d1499dc,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T06:16:07.577151,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus tennentii,1901-01-01T00:0000-01:00,Result Product d3b26634-21ca-4fb0-906f-e65959404fb9,d3b26634-21ca-4fb0-906f-e65959404fb9,2099-12-31T23:59:59-01:00,"This Acanthurus tennentii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier d3b26634-21ca-4fb0-906f-e65959404fb9,FullLinkEntity,Classification,FullLinkEntity,string,Product,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/d3b26634-21ca-4fb0-906f-e65959404fb9,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T22:08:56.586631,Person,Classification,2099-12-31T23:59:59-01:00,Acrocephalus Arundinaceus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 96c15f5f-6dbd-46d9-bf8e-b11c22521e0d,96c15f5f-6dbd-46d9-bf8e-b11c22521e0d,2099-12-31T23:59:59-01:00,"This Acrocephalus Arundinaceus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 96c15f5f-6dbd-46d9-bf8e-b11c22521e0d,SimpleLinkEntity,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/96c15f5f-6dbd-46d9-bf8e-b11c22521e0d,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T21:07:23.152349,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Ambassis jacksoniensis,1901-01-01T00:0000-01:00,Result Product ee77a2d4-a0c4-4aaf-9bd2-a5ca83b1e5b9,4cc54888-9c3b-4307-b7c4-7cc4ce7d5b4c,2099-12-31T23:59:59-01:00,"This Ambassis jacksoniensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 4cc54888-9c3b-4307-b7c4-7cc4ce7d5b4c,FullLinkEntity,Classification,FullLinkEntity,string,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/4cc54888-9c3b-4307-b7c4-7cc4ce7d5b4c,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
