is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-25T17:48:19.428000,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthocepola krusensternii,1901-01-01T00:0000-01:00,Result Product 79e5e1eb-5230-48d0-b428-4d2cd5bed748,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Acanthocepola krusensternii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthocepola-krusensternii1,FullLinkEntity,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,acanthocepola-krusensternii1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthocepola-krusensternii1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T08:09:32.660742,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,All AquaMaps Occurrences Records,1901-01-01T00:0000-01:00,Result Product a92c14f4-85c4-42fe-8113-f0ff4dc74335,string,2099-12-31T23:59:59-01:00,All the species occurrences collected and used in the AquaMaps models,1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier a92c14f4-85c4-42fe-8113-f0ff4dc74335,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,a92c14f4-85c4-42fe-8113-f0ff4dc74335,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/a92c14f4-85c4-42fe-8113-f0ff4dc74335,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T13:39:51.607957,Person,Classification,2099-12-31T23:59:59-01:00,Ambiserrula jugosa,1901-01-01T00:0000-01:00,Result Product 7a4595b9-fb8e-4aa2-b5a5-7c8d6a594048,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Ambiserrula jugosa Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name ambiserrula-jugosa3,FullLinkEntity,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,ambiserrula-jugosa3,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/ambiserrula-jugosa3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T19:29:13.838326,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus spongiarum,1901-01-01T00:0000-01:00,Result Product 43b97654-76fe-40d4-a9f9-5ae49baaf860,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Alpheus spongiarum Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alpheus-spongiarum1,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,alpheus-spongiarum1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-spongiarum1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T11:57:55.818847,Person,Classification,2099-12-31T23:59:59-01:00,Acropora abrotanoides,1901-01-01T00:0000-01:00,Result Product cd333504-62b5-4005-a1ea-e03c1acc9228,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Acropora abrotanoides Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier cd333504-62b5-4005-a1ea-e03c1acc9228,FullLinkEntity,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,cd333504-62b5-4005-a1ea-e03c1acc9228,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/cd333504-62b5-4005-a1ea-e03c1acc9228,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T06:39:36.936694,Publication,Classification,2099-12-31T23:59:59-01:00,Ammodytes tobianus,1901-01-01T00:0000-01:00,Result Product 325b7497-2ce7-4a25-ace9-04fcd1c883c1,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Ammodytes tobianus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 17650f09-cb46-4a70-b7ce-45c5a69d3ff5,FullLinkEntity,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,17650f09-cb46-4a70-b7ce-45c5a69d3ff5,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/17650f09-cb46-4a70-b7ce-45c5a69d3ff5,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T19:57:02.270720,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acropora latistella,1901-01-01T00:0000-01:00,Result Product b5916f50-c76b-4a0c-ac65-4b81edd5848f,string,2099-12-31T23:59:59-01:00,"This Acropora latistella Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier b5916f50-c76b-4a0c-ac65-4b81edd5848f,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,b5916f50-c76b-4a0c-ac65-4b81edd5848f,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/b5916f50-c76b-4a0c-ac65-4b81edd5848f,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T15:50:38.997710,Person,Classification,2099-12-31T23:59:59-01:00,aesopia cornuta Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 4cbd56d3-afb3-41a1-b88d-4775652e5aca,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This aesopia cornuta Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 4cbd56d3-afb3-41a1-b88d-4775652e5aca,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,4cbd56d3-afb3-41a1-b88d-4775652e5aca,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/4cbd56d3-afb3-41a1-b88d-4775652e5aca,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T13:36:09.439593,Person,Classification,2099-12-31T23:59:59-01:00,Acropora sarmentosa,1901-01-01T00:0000-01:00,Result Product 7642df8e-ac62-4803-8996-003bc961013f,string,2099-12-31T23:59:59-01:00,"This Acropora sarmentosa Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acropora-sarmentosa2,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,acropora-sarmentosa2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acropora-sarmentosa2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T02:12:26.306474,Person,Classification,2099-12-31T23:59:59-01:00,acanthopagrus butcheri Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 1145dda0-9633-492e-a8ad-14d88b12df4a,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This acanthopagrus butcheri Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthopagrus-butcheri-aquamaps-native-2050-raster,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,acanthopagrus-butcheri-aquamaps-native-2050-raster,CC-BY-4.0,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthopagrus-butcheri-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-02T15:07:30.472342,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Albula vulpes,1901-01-01T00:0000-01:00,Result Product 586f7d10-48fa-4e53-b838-c274b9ac013a,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Albula vulpes Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d5b3e609-61ad-4095-8c7f-697d5bd5be19,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,d5b3e609-61ad-4095-8c7f-697d5bd5be19,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d5b3e609-61ad-4095-8c7f-697d5bd5be19,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T02:43:23.901460,Person,Classification,2099-12-31T23:59:59-01:00,Acropora speciosa,1901-01-01T00:0000-01:00,Result Product 53769413-4301-4b6c-ad53-92016ca1bacb,string,2099-12-31T23:59:59-01:00,"This Acropora speciosa Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 53769413-4301-4b6c-ad53-92016ca1bacb,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,53769413-4301-4b6c-ad53-92016ca1bacb,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/53769413-4301-4b6c-ad53-92016ca1bacb,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T04:14:41.442792,Person,Classification,2099-12-31T23:59:59-01:00,Anisotremus Dovii Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product e9b28a0c-95ca-46fe-a9a7-fd94cc3825f8,string,2099-12-31T23:59:59-01:00,"This Anisotremus Dovii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 19cf35f0-ae52-4035-8cbd-366507af6860,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,19cf35f0-ae52-4035-8cbd-366507af6860,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/19cf35f0-ae52-4035-8cbd-366507af6860,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
