is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_identifier_is_source_of_type,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_name
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 7903ac47-03ef-456b-8339-be8c9bbf29a7,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 34087e4f-67e9-473f-acaf-f3b45b9b36b2,"This Aforia multispiralis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T20:23:11.853477,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,34087e4f-67e9-473f-acaf-f3b45b9b36b2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/34087e4f-67e9-473f-acaf-f3b45b9b36b2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,Aforia multispiralis
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product f4e97ab2-6f7c-4dcb-a1d6-b35d66ea627f,2099-12-31T23:59:59-01:00,Result Product Name acanthurus-nigroris3,"This Acanthurus nigroris Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine.In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T14:30:27.770639,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,acanthurus-nigroris3,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-nigroris3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,Acanthurus nigroris
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 0c6c93a2-22ae-46ff-be46-ee8abbd14313,2099-12-31T23:59:59-01:00,Result Product Identifier 0c6c93a2-22ae-46ff-be46-ee8abbd14313,"This Amphiprion polymnus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T17:38:16.294608,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,0c6c93a2-22ae-46ff-be46-ee8abbd14313,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/0c6c93a2-22ae-46ff-be46-ee8abbd14313,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,Amphiprion polymnus
2017-12-25T07:07:40.856189,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product fa788909-3782-440d-aa90-e5c41376fe17,2099-12-31T23:59:59-01:00,Result Product Name abraliopsis-felis-aquamaps-native-2050-raster,"This abraliopsis felis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T19:31:30.340848,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,abraliopsis-felis-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/abraliopsis-felis-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,abraliopsis felis Aquamaps Native 2050 Raster
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 4d55fdb8-77d0-4b07-9980-2af7732044f2,2099-12-31T23:59:59-01:00,Result Product Name anisotremus-davidsonii,"This Anisotremus davidsonii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T05:24:28.532705,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,anisotremus-davidsonii,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/anisotremus-davidsonii,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,Anisotremus davidsonii
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 49b6bdf8-c79f-4529-9647-8313ff4b8896,2099-12-31T23:59:59-01:00,Result Product Identifier 49b6bdf8-c79f-4529-9647-8313ff4b8896,"This Acrocephalus arundinaceus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater suitable dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T21:28:51.419403,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,FederatedIdentifier,49b6bdf8-c79f-4529-9647-8313ff4b8896,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/49b6bdf8-c79f-4529-9647-8313ff4b8896,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,Acrocephalus arundinaceus
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product c862ec34-355c-4ba1-a884-e206ea8bf5af,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 67e90e97-d8a6-470c-b202-d7bd13ba710f,"This Anampses twistii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T12:36:29.707881,Classification,FullLinkEntity,Product,FullLinkEntity,Classification,string,67e90e97-d8a6-470c-b202-d7bd13ba710f,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/67e90e97-d8a6-470c-b202-d7bd13ba710f,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,Anampses twistii
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product c8589ee1-174a-4273-849f-90ff66a20e28,2099-12-31T23:59:59-01:00,Result Product Name aequipecten-opercularis,"This Aequipecten opercularis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T18:28:04.213400,Classification,FullLinkEntity,Product,LinkEntityWithProvisionOrderIPR,Classification,string,aequipecten-opercularis,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/aequipecten-opercularis,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,Aequipecten opercularis
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product dce21819-f8ea-4973-b8d6-763a67c6eb83,2099-12-31T23:59:59-01:00,Result Product Identifier dce21819-f8ea-4973-b8d6-763a67c6eb83,"This Acropora humilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-26T11:19:33.039228,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,dce21819-f8ea-4973-b8d6-763a67c6eb83,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/dce21819-f8ea-4973-b8d6-763a67c6eb83,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,Acropora humilis
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 1d7a5c92-400b-4145-891f-d8f903da0c5e,2099-12-31T23:59:59-01:00,Result Product Identifier 1d7a5c92-400b-4145-891f-d8f903da0c5e,"This anchoviella brevirostris Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-23T11:41:19.633914,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,1d7a5c92-400b-4145-891f-d8f903da0c5e,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/1d7a5c92-400b-4145-891f-d8f903da0c5e,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,anchoviella brevirostris Aquamaps Native 2050 Raster
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product fd71fbec-25d1-4240-b79b-cbbedef16853,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 67745749-2930-415e-a283-85daabfac379,"This anchoa cubana Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-25T04:43:47.496790,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,67745749-2930-415e-a283-85daabfac379,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/67745749-2930-415e-a283-85daabfac379,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,anchoa cubana Aquamaps Native 2050 Raster
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product ddd47de4-56c1-4329-aff6-829f4d35cbe8,2099-12-31T23:59:59-01:00,Result Product Name abudefduf-vaigiensis,"This Abudefduf vaigiensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-08T21:21:39.201779,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,abudefduf-vaigiensis,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/abudefduf-vaigiensis,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,Abudefduf vaigiensis
