is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Amanses Scopas Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 614154d3-d8bf-4c85-a02c-a470e1ead037,FederatedIdentifier,Result Product Revision Identifier c1aa3ce5-397a-40e3-bba9-ad2ea6121357,"This Amanses Scopas Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-28T17:54:32.202305,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,c1aa3ce5-397a-40e3-bba9-ad2ea6121357,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/c1aa3ce5-397a-40e3-bba9-ad2ea6121357,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Aglaophamus malmgreni,1901-01-01T00:0000-01:00,Result Product 4fb0a205-9965-4a58-8e0a-a1449c9eeaae,FederatedIdentifier,Result Product Name aglaophamus-malmgreni,"This Aglaophamus malmgreni Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-24T02:20:16.784791,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,aglaophamus-malmgreni,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/aglaophamus-malmgreni,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Alpheus hailstonei,1901-01-01T00:0000-01:00,Result Product 279aa809-4481-473c-ad85-f75529b203a7,string,Result Product Name alpheus-hailstonei2,"This Alpheus hailstonei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T19:22:38.989675,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,alpheus-hailstonei2,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-hailstonei2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,acanthemblemaria macrospilus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 37d1602c-41b3-49bb-806e-a8d588a7893e,FederatedIdentifier,Result Product Revision Identifier 4feadbde-589d-4909-ae49-04aa2ecc7220,"This acanthemblemaria macrospilus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T13:28:34.071189,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,4feadbde-589d-4909-ae49-04aa2ecc7220,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/4feadbde-589d-4909-ae49-04aa2ecc7220,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anarhichas Orientalis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 0143c37a-b72a-41ed-9e40-b86184cc7199,FederatedIdentifier,Result Product Identifier 0143c37a-b72a-41ed-9e40-b86184cc7199,"This Anarhichas Orientalis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T08:54:03.641925,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,0143c37a-b72a-41ed-9e40-b86184cc7199,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/0143c37a-b72a-41ed-9e40-b86184cc7199,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Achelia assimilis,1901-01-01T00:0000-01:00,Result Product 48b7fb49-c9bd-455b-9e5b-a7dbe6c63995,FederatedIdentifier,Result Product Identifier 48b7fb49-c9bd-455b-9e5b-a7dbe6c63995,"This Achelia assimilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-10T16:43:42.426633,Classification,FullLinkEntity,Product,Classification,Classification,2099-12-31T23:59:59-01:00,48b7fb49-c9bd-455b-9e5b-a7dbe6c63995,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/48b7fb49-c9bd-455b-9e5b-a7dbe6c63995,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ambassis natalensis,1901-01-01T00:0000-01:00,Result Product a104a85f-6113-4db5-bb79-37bdf4fdc9ba,string,Result Product Revision Identifier efdea469-51b4-45c0-883b-b06a44908e9d,"This Ambassis natalensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T21:28:33.946162,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,efdea469-51b4-45c0-883b-b06a44908e9d,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/efdea469-51b4-45c0-883b-b06a44908e9d,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Amblyeleotris Gymnocephala Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 2cd0ed90-6d53-41a2-9625-a9a044c974f5,FederatedIdentifier,Result Product Name amblyeleotris-gymnocephala-aquamaps-native-raster,"This Amblyeleotris Gymnocephala Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T07:33:25.942748,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,amblyeleotris-gymnocephala-aquamaps-native-raster,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/amblyeleotris-gymnocephala-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anoplagonus Inermis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product fdd878c4-b708-475a-a9bd-ab61ee078bb5,FederatedIdentifier,Result Product Identifier fdd878c4-b708-475a-a9bd-ab61ee078bb5,"This Anoplagonus Inermis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-02T23:34:27.529988,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,fdd878c4-b708-475a-a9bd-ab61ee078bb5,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/fdd878c4-b708-475a-a9bd-ab61ee078bb5,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anisotremus interruptus,1901-01-01T00:0000-01:00,Result Product 6a441d01-1d95-4e73-8a94-a0b1f8e36a54,string,Result Product Identifier 6a441d01-1d95-4e73-8a94-a0b1f8e36a54,"This Anisotremus interruptus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-22T23:36:33.136219,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,6a441d01-1d95-4e73-8a94-a0b1f8e36a54,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/6a441d01-1d95-4e73-8a94-a0b1f8e36a54,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
2017-11-25T03:34:28.409647,SimpleLinkEntity,Publication,string,2099-12-31T23:59:59-01:00,Abudefduf natalensis,1901-01-01T00:0000-01:00,Result Product 6a8b5e14-c52a-4356-99f2-d0cf643f5f31,string,Result Product Revision Identifier bf870673-80ba-41dd-82de-44b70cd1bd24,"This Abudefduf natalensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T22:07:13.243657,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,bf870673-80ba-41dd-82de-44b70cd1bd24,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/bf870673-80ba-41dd-82de-44b70cd1bd24,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Amblygobius phalaena,1901-01-01T00:0000-01:00,Result Product 3e5e1ffc-cb2f-495e-a12f-e60c09afbfd4,string,Result Product Name amblygobius-phalaena,"This Amblygobius phalaena Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-26T04:20:59.482064,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,amblygobius-phalaena,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/amblygobius-phalaena,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ammothea longispina,1901-01-01T00:0000-01:00,Result Product 616eb191-ba65-442e-91ff-d602e73b446a,string,Result Product Name ammothea-longispina1,"This Ammothea longispina Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-26T13:49:47.678567,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ammothea-longispina1,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/ammothea-longispina1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anchisquilla Fasciata Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 83a34ac7-08e5-4a16-b87e-6d379874f885,string,Result Product Revision Identifier 18c6097d-59df-4674-9bc2-61549f8d8153,"This Anchisquilla Fasciata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T01:05:09.458291,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,18c6097d-59df-4674-9bc2-61549f8d8153,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/18c6097d-59df-4674-9bc2-61549f8d8153,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
