is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Agaricia fragilis,1901-01-01T00:0000-01:00,Result Product 1629ee36-e940-41a7-94b5-3f1b6247dbd7,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Agaricia fragilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name agaricia-fragilis2,2017-11-30T10:37:06.276087,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,agaricia-fragilis2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/agaricia-fragilis2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Amoya moloanus,1901-01-01T00:0000-01:00,Result Product ff5cb5ef-0ade-441b-8740-57f68ab210b2,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Amoya moloanus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier af17acd3-0fd6-4829-9ae9-2a8323f3f9b5,2017-11-30T00:19:48.152106,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,af17acd3-0fd6-4829-9ae9-2a8323f3f9b5,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/af17acd3-0fd6-4829-9ae9-2a8323f3f9b5,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Adamussium colbecki,1901-01-01T00:0000-01:00,Result Product 3e5a0a7b-ff3c-43a7-a646-fcf6be195d90,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Adamussium colbecki Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name adamussium-colbecki,2017-11-24T19:07:33.127710,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,adamussium-colbecki,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/adamussium-colbecki,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anaora tentaculata,1901-01-01T00:0000-01:00,Result Product 1af0fd6f-e9e0-4b9e-a1a9-be498f37acce,string,2099-12-31T23:59:59-01:00,"This Anaora tentaculata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name anaora-tentaculata,2017-11-24T23:20:29.737857,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,anaora-tentaculata,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/anaora-tentaculata,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ammodytes americanus,1901-01-01T00:0000-01:00,Result Product cf26dd4d-8a37-4ee3-a451-276bec718789,string,2099-12-31T23:59:59-01:00,"This Ammodytes americanus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name ammodytes-americanus3,2017-11-30T22:42:21.772969,Classification,FullLinkEntity,Product,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,ammodytes-americanus3,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/ammodytes-americanus3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus nubilus,1901-01-01T00:0000-01:00,Result Product 514a2684-e5e2-4740-bcad-ecd9f3b07f71,string,2099-12-31T23:59:59-01:00,"This Acanthurus nubilus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 514a2684-e5e2-4740-bcad-ecd9f3b07f71,2017-11-25T06:21:42.333618,Classification,FullLinkEntity,Product,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,514a2684-e5e2-4740-bcad-ecd9f3b07f71,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/514a2684-e5e2-4740-bcad-ecd9f3b07f71,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus malleator,1901-01-01T00:0000-01:00,Result Product cca1098f-876b-4504-9023-e60802095ede,string,2099-12-31T23:59:59-01:00,"This Alpheus malleator Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 254094b8-3481-413e-84a2-43d5c392ee72,2017-11-24T11:38:04.391785,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,254094b8-3481-413e-84a2-43d5c392ee72,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/254094b8-3481-413e-84a2-43d5c392ee72,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus nonalter,1901-01-01T00:0000-01:00,Result Product c378e17c-2502-4f9f-855e-da481f3163a4,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Alpheus nonalter Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier c378e17c-2502-4f9f-855e-da481f3163a4,2017-11-26T11:48:56.472731,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,c378e17c-2502-4f9f-855e-da481f3163a4,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/c378e17c-2502-4f9f-855e-da481f3163a4,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Albula Oligolepis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product c9b2682e-b724-4f74-b128-2c9df22b7fec,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Albula Oligolepis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier c8a5ca3a-2070-4e8c-a1ef-1c86e47a7a70,2017-11-30T23:26:06.002704,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,c8a5ca3a-2070-4e8c-a1ef-1c86e47a7a70,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/c8a5ca3a-2070-4e8c-a1ef-1c86e47a7a70,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,alosa alosa Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 9ec04f6a-1b54-4572-92a9-095796dd2539,string,2099-12-31T23:59:59-01:00,"This alosa alosa Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alosa-alosa-aquamaps-native-2050-raster,2017-11-24T11:05:01.146846,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,alosa-alosa-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/alosa-alosa-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthocepola Indica Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product b1a18b6c-3fcc-456f-b9ab-474d4ed5c937,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Acanthocepola Indica Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthocepola-indica-aquamaps-native-raster,2017-11-25T07:19:59.359314,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,acanthocepola-indica-aquamaps-native-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthocepola-indica-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Aetea sica,1901-01-01T00:0000-01:00,Result Product 30f2c689-1f3f-4a99-8aac-f024e06a95b9,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Aetea sica Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier add1c181-250a-4067-b95c-9b97ccd76bba,2017-11-25T23:25:37.071571,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,add1c181-250a-4067-b95c-9b97ccd76bba,,PersonName,,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/add1c181-250a-4067-b95c-9b97ccd76bba,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
