is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_destination_of_has_source_has_identifier_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Aega antillensis,1901-01-01T00:0000-01:00,Result Product cab7e9c5-71ea-4cac-8d1c-6a6d3e9b3635,2099-12-31T23:59:59-01:00,Result Product Name aega-antillensis2,"This Aega antillensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T16:19:33.960815,Classification,FullLinkEntity,string,Medium,Classification,Classification,aega-antillensis2,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/aega-antillensis2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anisodoris Nobilis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 3a00d263-adf1-48e1-a26b-d3e95e81e7d0,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 0fa99ee9-b8dd-4959-a07f-6752d869145e,"This Anisodoris Nobilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-28T23:26:20.194598,Classification,FullLinkEntity,string,Measurement,Classification,Classification,0fa99ee9-b8dd-4959-a07f-6752d869145e,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/0fa99ee9-b8dd-4959-a07f-6752d869145e,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
2017-11-24T14:38:05.850065,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus tristis,1901-01-01T00:0000-01:00,Result Product 1b107768-2767-42d2-99e0-ec8b93fb6ab0,2099-12-31T23:59:59-01:00,Result Product Name acanthurus-tristis3,"This Acanthurus tristis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-25T03:00:33.244412,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,acanthurus-tristis3,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-tristis3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anguilla Rostrata Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product b4457467-2e26-4822-b9e3-f5481d6cf932,2099-12-31T23:59:59-01:00,Result Product Identifier b4457467-2e26-4822-b9e3-f5481d6cf932,"This Anguilla Rostrata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-26T01:56:52.818100,Classification,FullLinkEntity,string,Medium,Classification,Classification,b4457467-2e26-4822-b9e3-f5481d6cf932,PersonName,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/b4457467-2e26-4822-b9e3-f5481d6cf932,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthurus grammoptilus,1901-01-01T00:0000-01:00,Result Product 1789be54-ecb4-49e2-8a73-bc0f2a387c2b,2099-12-31T23:59:59-01:00,Result Product Name acanthurus-grammoptilus1,"This Acanthurus grammoptilus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T19:20:53.351657,Classification,FullLinkEntity,string,Measurement,Classification,Classification,acanthurus-grammoptilus1,PersonName,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-grammoptilus1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Ambassis dussumieri,1901-01-01T00:0000-01:00,Result Product cfb0c294-7f4b-46d0-9a7c-705b6113bef1,2099-12-31T23:59:59-01:00,Result Product Identifier cfb0c294-7f4b-46d0-9a7c-705b6113bef1,"This Ambassis dussumieri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-24T16:15:44.963830,Classification,FullLinkEntity,string,Measurement,Classification,Classification,cfb0c294-7f4b-46d0-9a7c-705b6113bef1,ElectronicAddress,bb,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/cfb0c294-7f4b-46d0-9a7c-705b6113bef1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ammothella stauromata,1901-01-01T00:0000-01:00,Result Product 1e2a020e-815b-403d-b2e9-b5d2b68f83a4,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 16eae94a-45a5-4933-91e8-3f8dbb9c86e6,"This Ammothella stauromata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T22:57:27.827028,Classification,FullLinkEntity,string,Medium,Classification,Classification,16eae94a-45a5-4933-91e8-3f8dbb9c86e6,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/16eae94a-45a5-4933-91e8-3f8dbb9c86e6,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus websteri,1901-01-01T00:0000-01:00,Result Product 17a92ace-43ed-4da1-851d-f0c7a8afadd5,2099-12-31T23:59:59-01:00,Result Product Name alpheus-websteri,"This Alpheus websteri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T14:32:38.577861,Classification,FullLinkEntity,FederatedIdentifier,Product,Classification,Classification,alpheus-websteri,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-websteri,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ahlia egmontis,1901-01-01T00:0000-01:00,Result Product 68d5a81f-9ba3-43e1-80d5-a5c872afb1f4,2099-12-31T23:59:59-01:00,Result Product Identifier 68d5a81f-9ba3-43e1-80d5-a5c872afb1f4,"This Ahlia egmontis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-23T22:00:39.252587,Classification,FullLinkEntity,FederatedIdentifier,Medium,Classification,Classification,68d5a81f-9ba3-43e1-80d5-a5c872afb1f4,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/68d5a81f-9ba3-43e1-80d5-a5c872afb1f4,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,anarchias seychellensis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 3613288a-f27e-4992-a701-a4c04f61371a,2099-12-31T23:59:59-01:00,Result Product Name anarchias-seychellensis-aquamaps-native-2050-raster,"This anarchias seychellensis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T16:17:22.203224,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,anarchias-seychellensis-aquamaps-native-2050-raster,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/anarchias-seychellensis-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,aetea anguina Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 1a8c9cf7-06f2-4f6e-ae5a-24886eb3c815,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 35f923b5-d663-4e3f-9835-d8005d307073,"This aetea anguina Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-09T19:00:26.147920,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,35f923b5-d663-4e3f-9835-d8005d307073,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/35f923b5-d663-4e3f-9835-d8005d307073,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anas Strepera Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 65ceaf3c-961c-4804-b29c-09cf9d04c595,2099-12-31T23:59:59-01:00,Result Product Revision Identifier faa5d4de-f301-40cf-befc-ab3e72c62d7a,"This Anas Strepera Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T16:48:49.514772,Classification,FullLinkEntity,string,Measurement,Classification,Classification,faa5d4de-f301-40cf-befc-ab3e72c62d7a,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/faa5d4de-f301-40cf-befc-ab3e72c62d7a,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthaphritis barbata,1901-01-01T00:0000-01:00,Result Product a29599df-a27d-4590-a561-0dc049590982,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 394cda2d-7a85-4ff1-9cb7-89579c4bc3eb,"This Acanthaphritis barbata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T11:25:21.213655,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,394cda2d-7a85-4ff1-9cb7-89579c4bc3eb,ElectronicAddress,,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/394cda2d-7a85-4ff1-9cb7-89579c4bc3eb,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
