is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-25T16:38:46.685983,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,anguilla rostrata Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 76bee869-dfd3-4a99-aff3-aa9787b41f00,2099-12-31T23:59:59-01:00,Result Product Identifier 76bee869-dfd3-4a99-aff3-aa9787b41f00,"This anguilla rostrata Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,76bee869-dfd3-4a99-aff3-aa9787b41f00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/76bee869-dfd3-4a99-aff3-aa9787b41f00,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T08:30:51.380995,Person,Classification,2099-12-31T23:59:59-01:00,Abalistes stellatus,1901-01-01T00:0000-01:00,Result Product 6d850e81-7349-4f56-9a6b-673d0c42d616,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 592fce97-a6fc-4b23-8697-3588e1746079,"This Abalistes stellatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,592fce97-a6fc-4b23-8697-3588e1746079,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/592fce97-a6fc-4b23-8697-3588e1746079,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T11:07:51.596185,Person,Classification,2099-12-31T23:59:59-01:00,Abramis brama,1901-01-01T00:0000-01:00,Result Product b68b1666-61f7-4fac-a521-a3859a4e437a,2099-12-31T23:59:59-01:00,Result Product Name abramis-brama,"This Abramis brama Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater suitable dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,abramis-brama,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/abramis-brama,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T12:34:36.196264,Person,Classification,2099-12-31T23:59:59-01:00,Acanthaluteres vittiger,1901-01-01T00:0000-01:00,Result Product 02efdd1b-9472-4ffb-ba01-7ece5ff81ac7,2099-12-31T23:59:59-01:00,Result Product Identifier 02efdd1b-9472-4ffb-ba01-7ece5ff81ac7,"This Acanthaluteres vittiger Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Product,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,02efdd1b-9472-4ffb-ba01-7ece5ff81ac7,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/02efdd1b-9472-4ffb-ba01-7ece5ff81ac7,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T20:24:01.580818,Person,Classification,2099-12-31T23:59:59-01:00,acuminodeutopus naglei Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 8e072b57-d442-450d-ab4c-a6ec95ae4fcc,2099-12-31T23:59:59-01:00,Result Product Name acuminodeutopus-naglei-aquamaps-native-2050-raster,"This acuminodeutopus naglei Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,acuminodeutopus-naglei-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/acuminodeutopus-naglei-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T17:35:34.555661,Person,Classification,2099-12-31T23:59:59-01:00,amusium laurenti Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product bc637e76-d952-4ac8-9ccc-b4c8a1c69ecf,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 43826ce2-56aa-4007-b711-6ed2c5484de3,"This amusium laurenti Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,43826ce2-56aa-4007-b711-6ed2c5484de3,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/43826ce2-56aa-4007-b711-6ed2c5484de3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-01T00:18:17.873808,Person,Classification,2099-12-31T23:59:59-01:00,Amblyeleotris periophthalma,1901-01-01T00:0000-01:00,Result Product ef50431f-0d76-451e-ba95-7c4495885b4e,2099-12-31T23:59:59-01:00,Result Product Revision Identifier e2a92149-8638-4112-ad2d-4aada5305ca8,"This Amblyeleotris periophthalma Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,e2a92149-8638-4112-ad2d-4aada5305ca8,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/e2a92149-8638-4112-ad2d-4aada5305ca8,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T01:12:12.562412,Person,Classification,2099-12-31T23:59:59-01:00,Anchoa parva,1901-01-01T00:0000-01:00,Result Product ad820a54-c6d0-442e-a302-d1e5ca349028,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 265e4627-9b5f-4f0f-aa1a-9474b21348b5,"This Anchoa parva Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,265e4627-9b5f-4f0f-aa1a-9474b21348b5,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/265e4627-9b5f-4f0f-aa1a-9474b21348b5,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T02:25:07.520038,Person,Classification,2099-12-31T23:59:59-01:00,Ampelisca bicarinata,1901-01-01T00:0000-01:00,Result Product 462594f3-16da-4e72-9db9-23836a3db717,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d2ba71f5-02e4-4ddd-836c-8d3bc0778d35,"This Ampelisca bicarinata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,d2ba71f5-02e4-4ddd-836c-8d3bc0778d35,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d2ba71f5-02e4-4ddd-836c-8d3bc0778d35,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T15:30:07.415925,Publication,Classification,2099-12-31T23:59:59-01:00,Abudefduf hoefleri,1901-01-01T00:0000-01:00,Result Product 016fff2a-8fcc-4e90-9386-f2b8a9b77211,2099-12-31T23:59:59-01:00,Result Product Revision Identifier bf1749c2-96f5-462b-aa9b-2bd5c5edeec2,"This Abudefduf hoefleri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,bf1749c2-96f5-462b-aa9b-2bd5c5edeec2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/bf1749c2-96f5-462b-aa9b-2bd5c5edeec2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T23:55:27.280462,Publication,Classification,2099-12-31T23:59:59-01:00,Aega deshaysiana,1901-01-01T00:0000-01:00,Result Product 57118bf2-e28f-4a4e-80b6-5d6a33d3a9da,2099-12-31T23:59:59-01:00,Result Product Revision Identifier c7f6be88-5864-4fcf-9e76-a3a8d4fd96bd,"This Aega deshaysiana Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,c7f6be88-5864-4fcf-9e76-a3a8d4fd96bd,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/c7f6be88-5864-4fcf-9e76-a3a8d4fd96bd,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T12:01:27.972564,Person,Classification,2099-12-31T23:59:59-01:00,Acipenser Oxyrinchus oxyrinchus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 4a837a7f-1fc7-4550-af33-716cb8b1aa6e,2099-12-31T23:59:59-01:00,Result Product Identifier 4a837a7f-1fc7-4550-af33-716cb8b1aa6e,"This Acipenser Oxyrinchus oxyrinchus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,4a837a7f-1fc7-4550-af33-716cb8b1aa6e,,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/4a837a7f-1fc7-4550-af33-716cb8b1aa6e,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
