is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-30T17:33:05.059535,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthopagrus Bifasciatus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product f6572e5b-3a64-4e9a-9a73-b5fc6176417a,FederatedIdentifier,Result Product Revision Identifier 999de55c-9add-4a38-a8bd-56b0ee24edb0,"This Acanthopagrus Bifasciatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,999de55c-9add-4a38-a8bd-56b0ee24edb0,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/999de55c-9add-4a38-a8bd-56b0ee24edb0,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T12:24:37.614560,Person,Classification,2099-12-31T23:59:59-01:00,Amblyeleotris Guttata Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 43b0b067-228c-4fc9-81fa-786d37a115a6,string,Result Product Revision Identifier f5425575-6ebd-42a2-9a11-c0ec7a0f64df,"This Amblyeleotris Guttata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,f5425575-6ebd-42a2-9a11-c0ec7a0f64df,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/f5425575-6ebd-42a2-9a11-c0ec7a0f64df,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T12:14:17.171567,Person,Classification,2099-12-31T23:59:59-01:00,acentrogobius suluensis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 052c0fb8-82f1-4660-9156-7cc04690cfa3,FederatedIdentifier,Result Product Revision Identifier 068c3247-f368-4616-9767-e55141a959c4,"This acentrogobius suluensis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,068c3247-f368-4616-9767-e55141a959c4,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/068c3247-f368-4616-9767-e55141a959c4,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T12:27:40.207653,Person,Classification,2099-12-31T23:59:59-01:00,anchoa hepsetus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 6d194910-ed53-439e-b8fc-6aad6939dfa9,FederatedIdentifier,Result Product Name anchoa-hepsetus-aquamaps-native-2050-raster,"This anchoa hepsetus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,anchoa-hepsetus-aquamaps-native-2050-raster,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/anchoa-hepsetus-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T17:43:54.212764,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus triostegus,1901-01-01T00:0000-01:00,Result Product 67bc9756-abbe-4c9e-990f-72efd033f4b0,string,Result Product Identifier 67bc9756-abbe-4c9e-990f-72efd033f4b0,"This Acanthurus triostegus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,67bc9756-abbe-4c9e-990f-72efd033f4b0,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/67bc9756-abbe-4c9e-990f-72efd033f4b0,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T10:53:47.183825,Person,Classification,2099-12-31T23:59:59-01:00,anarchias leucurus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 1cc03872-2c83-4cf1-b11a-d45f5bcd62ec,string,Result Product Revision Identifier 951b8773-6c6c-433c-a093-9566dd55af5c,"This anarchias leucurus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,951b8773-6c6c-433c-a093-9566dd55af5c,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/951b8773-6c6c-433c-a093-9566dd55af5c,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-25T07:19:25.318961,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthurus blochii,1901-01-01T00:0000-01:00,Result Product 3afedf79-531b-4a92-853b-2e9b98fbd2fd,FederatedIdentifier,Result Product Name acanthurus-blochii,"This Acanthurus blochii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,acanthurus-blochii,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-blochii,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T13:05:43.973811,Publication,Classification,2099-12-31T23:59:59-01:00,Ambassis miops,1901-01-01T00:0000-01:00,Result Product 9ef517d7-8e37-4938-b6b4-9e00340fa33c,FederatedIdentifier,Result Product Name ambassis-miops3,"This Ambassis miops Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ambassis-miops3,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/ambassis-miops3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-28T14:35:34.776469,Person,Classification,2099-12-31T23:59:59-01:00,Acanthopagrus berda,1901-01-01T00:0000-01:00,Result Product ee7586ef-e6ce-4224-a670-bba6bdde5cce,string,Result Product Revision Identifier 7296dd03-6feb-460c-ae89-e91454abade0,"This Acanthopagrus berda Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,7296dd03-6feb-460c-ae89-e91454abade0,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/7296dd03-6feb-460c-ae89-e91454abade0,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T09:52:12.500790,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Agonostomus monticola,1901-01-01T00:0000-01:00,Result Product e16f2753-65b4-45b7-8430-110339948288,FederatedIdentifier,Result Product Revision Identifier 29b355f2-db57-4292-b6a0-fd0eba2bd1db,"This Agonostomus monticola Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,29b355f2-db57-4292-b6a0-fd0eba2bd1db,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/29b355f2-db57-4292-b6a0-fd0eba2bd1db,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T23:14:11.150425,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus alcyone,1901-01-01T00:0000-01:00,Result Product 7b27a62b-9f58-450d-af9b-e47f1626f76b,string,Result Product Name alpheus-alcyone3,"This Alpheus alcyone Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,alpheus-alcyone3,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-alcyone3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T04:29:35.682697,Person,Classification,2099-12-31T23:59:59-01:00,Acropora plana,1901-01-01T00:0000-01:00,Result Product 0270b5ab-c7f9-491b-9def-0e03838a5165,FederatedIdentifier,Result Product Revision Identifier e596f97b-4330-4dda-9d05-f413fd4599aa,"This Acropora plana Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,e596f97b-4330-4dda-9d05-f413fd4599aa,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/e596f97b-4330-4dda-9d05-f413fd4599aa,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T11:21:25.201121,Person,Classification,2099-12-31T23:59:59-01:00,Amphiprion latezonatus,1901-01-01T00:0000-01:00,Result Product fdd76c5c-9c71-4e50-973c-dfcd87773a67,FederatedIdentifier,Result Product Identifier fdd76c5c-9c71-4e50-973c-dfcd87773a67,"This Amphiprion latezonatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine.In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,fdd76c5c-9c71-4e50-973c-dfcd87773a67,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/fdd76c5c-9c71-4e50-973c-dfcd87773a67,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-08T20:02:32.149094,Person,Classification,2099-12-31T23:59:59-01:00,acalyptophis peronii Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product feb1f6cd-6a22-4adc-ae75-c2cb76e61a4d,FederatedIdentifier,Result Product Identifier feb1f6cd-6a22-4adc-ae75-c2cb76e61a4d,"This acalyptophis peronii Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,feb1f6cd-6a22-4adc-ae75-c2cb76e61a4d,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/feb1f6cd-6a22-4adc-ae75-c2cb76e61a4d,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
