unknown,postcode,city,country,unknown,telephone_nr,telephone_nr,unknown,unknown,unknown,province,country,sbi_description
902114,9288 CA,SINT ANNAPAROCHIE,Netherlands,,0594 645240,+31 513 46 50 30,Referentie,Klant,,Friesland,Europe,Handel en Transport
11644,8304 BC,LEEUWARDEN,Netherlands,,+31 513653501,+31 594 64 33 85,Referentie,Klant,,Friesland,Europe,SW bedrijf
901542,8447 SM,DRACHTEN,Netherlands,,+31 50 364 34 09,+31 513 62 34 80,Actief,Klant,,Friesland,Europe,Handel en Transport
126211,9285 ZV,KOOTSTERTILLE,Netherlands,,0519-554 366,0513-640 487,Referentie,Klant,,Friesland,Europe,Industrie en Productie
203362,9864 PG,STIENS,Netherlands,,+31512 35 13 33,+31514 604226,Referentie,Klant,,Friesland,Europe,Musea
11755,8911 DZ,BURGUM,Netherlands,NL807258027B01,+31 50 571 84 55,,Actief,Klant,,Friesland,Europe,Overheid
902703,9103 ST,DRACHTEN,Netherlands,,0566-629 700,058-215 73 36,Referentie,Klant,,Friesland,Europe,Zakelijke dienstverlening
204586,8912 AC,HEERENVEEN,Netherlands,NL809211014B04,(0518) 40 93 93,0566-623 471,Actief,Klant,,Friesland,Europe,Handel en Transport
11721,8921 AG,DRACHTEN,Netherlands,,+31 58-253 15 45,+31 58216 00 58,Referentie,Klant,NL61ABNA0417102178,Friesland,Europe,Groothandel
11766,8448 CL,DRACHTEN,Netherlands,,+31 58 233 99 66,+31 518 43 10 19,Actief,Klant,,Friesland,Europe,Handel en Transport
11950,9202 PE,SURHUISTERVEEN,Netherlands,NL802386799B01,+31 597551416,(0512) 35 13 75,Referentie,Klant,,Utrecht,Europe,Handel en Transport
204773,8894 KX,ELAHUIZEN,Netherlands,,+31 517393939,0519-297637,Referentie,Klant,,Friesland,Europe,Handel en Transport
203783,8938 AT,Leeuwarden,Netherlands,,+31 72 576 07 40,0519-220 052,Referentie,Klant,,Friesland,Europe,Detailhandel
11768,8911 AX,LEEUWARDEN,Netherlands,,0512 - 334444,0513-684 007,Actief,Klant,,Friesland,Europe,Groothandel
11692,9201 CH,Buitenpost,Netherlands,,+31 58-2562877,,Actief,Klant,341727830,Noord-Holland,Europe,Industrie en Productie
126174,9723 ZM,JOURE,Netherlands,,+31 512 51 93 34,0512 - 332099,Referentie,Klant,,Friesland,Europe,Woningbouw vereniging
11608,9203 KL,HEERENVEEN,Netherlands,,+31 519220616,,Actief,Klant,,Friesland,Europe,"Bouw, milieu en architect"
11686,8913 CJ,LEEUWARDEN,Netherlands,,+31514 604146,+31 58 215 76 42,Referentie,Klant,,Friesland,Europe,"Bouw, milieu en architect"
902217,8913 EA,EMMELOORD,Netherlands,,+31 512365090,0561-693 377,Actief,Klant,,Friesland,Europe,Industrie en Productie
208868,8723 CE,HEEG,Netherlands,,+31 515 57 44 48,,Actief,Klant,,Friesland,Europe,Industrie en Productie
202595,9727 DL,FRANEKER,Netherlands,,+31 58 280 40 56,+31 518 40 98 09,Referentie,Klant,,Friesland,Europe,Handel en Transport
11681,8933 AD,EMMELOORD,Netherlands,NL809479394B02,+31 513 62 28 41,+31 58 233 99 70,Referentie,Klant,576117277,Friesland,Europe,Onbekend
11769,9202 PC,DOKKUM,Netherlands,,+31 519228100,0519-220302,Actief,Klant,,Friesland,Europe,"Bouw, milieu en architect"
12585,8701 WS,DOKKUM,Netherlands,,+31 511 46 02 50,0518 - 402876,Referentie,Klant,,Friesland,Europe,Zakelijke dienstverlening
11706,8407 EM,WOLVEGA,Netherlands,,+31512-351 114,,Referentie,Klant,,Friesland,Europe,Industrie en Productie
901247,9231 HV,LEEUWARDEN,Netherlands,,+31 515429999,(0512) 51 93 80,Actief,Klant,,Friesland,Europe,Groothandel
11643,9231 GR,HARLINGEN,Netherlands,,058-267 75 77,+31 518431731,Actief,Klant,,Friesland,Europe,Handel en Transport
11611,9202 PD,GRONINGEN,Netherlands,,+31 518 40 98 00,0527-699 405,Referentie,Klant,,Utrecht,Europe,"Bouw, milieu en architect"
203568,8801 PK,JOURE,Netherlands,NL001905557B01,(0517) 39 32 31,+31 512 38 55 16,Actief,Klant,,Friesland,Europe,"Bouw, milieu en architect"
902172,3511LH,ALKMAAR,Netherlands,,+31 519296555,(0513) 63 12 12,Actief,Klant,,Friesland,Europe,Groothandel
126180,8581 KD,HALLUM,Netherlands,,31,088 353 539 9,Referentie,Klant,,Friesland,Europe,Non-Profit
901859,8932 NT,Aalsmeer,Netherlands,,+31 515 57 82 00,0297-326687,Actief,Klant,677771495,Friesland,Europe,Zakelijke dienstverlening
11622,9262 ND,ZEVENHUIZEN GN,Netherlands,,+3158 212 2122,0512-542 122,Referentie,Klant,,Friesland,Europe,Zakelijke dienstverlening
203717,9001 XW,KAMPEN,Netherlands,,0513-480228,+31 58 294 89 68,Referentie,Klant,,Friesland,Europe,Detailhandel
11657,9206 BD,GRONINGEN,Netherlands,,+31594-631391,+31 511-462131,Actief,Klant,NL40ABNA0551921595,Friesland,Europe,Industrie en Productie
11714,8304 BJ,SNEEK,Netherlands,,+31 513 65 01 11,(0513) 64 80 50,Referentie,Klant,,Friesland,Europe,Overheid
200385,8911 DD,HEERENVEEN,Netherlands,,043-850 7009,0512-549 416,Referentie,Klant,134564049,Friesland,Europe,SW bedrijf
902342,8938 BA,KOUDUM,Netherlands,,+31 513465 000,(0518) 40 93 99,Referentie,Klant,,Groningen,Europe,Onbekend
201119,9251 EG,LEEUWARDEN,Netherlands,,31,,Referentie,Klant,,Friesland,Europe,Gezondheidszorg
200163,8862 SE,Maastricht- Airport,Netherlands,,+31 518 43 82 00,0514 52 24 01,Referentie,Klant,335160565,Friesland,Europe,Industrie en Productie
11713,9101 BE,NES,Netherlands,,050-3098888,+31 512 53 30 45,Referentie,Klant,561550336,Friesland,Europe,Onderwijs
201050,9044 MN,STROOBOS,Netherlands,,+31 58 294 89 58,,Actief,Klant,,Friesland,Europe,Handel en Transport
11609,9351VG,DRACHTEN,Netherlands,NL801269209B01,0562-448800,0512-365 190,Actief,Klant,,Friesland,Europe,"Bouw, milieu en architect"
