unknown,postcode,city,country,postcode,city,country,house_number,house_number,unknown,unknown
FRIDS001,3543 AH,DEN HAAG,NL,7777 TA,MAARSSEN,NL,5,166,,BAKKE040
OQVAL001,2280 HE,AMSTERDAM,NL,5384 VT,LEERDAM,NL,9N,350,1000.0,BOUWX004
DUSSE001,1440 AN,ROTTERDAM,,3481 MJ,WOERDEN,NL,2318,,1000.0,GEODI002
RIENT001,D-40880,SCHOONHOVEN,NL,3565 CE,DEVENTER,NL,65,4,1000.0,APPLI004
HULSH004,2545 JG,RIJSWIJK,NL,2201 EZ,APELDOORN,,297,2,1000.0,KROMH002
VICRE001,4251 PW,IJMUIDEN,,3893 GD,APELDOORN,,15,30-32,1000.0,SWAGE001
VLOED001,6163 JL,ZUTPHEN,NL,2731 BR,UTRECHT,,,36,,BEEKV001
DERBY001,4940 AD,NIEUW - VOSSEMEER,NL,4903 RE,ZOETERMEER-BLIJSWIJK,,1434,14,1000.0,BLOMX003
VALKX023,8050 AD,SITTARD,NL,2381 AR,,NL,22,2,,NEDCO004
BROUW014,3433 PN,WEERT,NL,3198 LS,,NL,9,40,1000.0,KEESO001
LEANK001,4903 RE,SOESTERBERG,NL,1435 CA,BREUKELEN,NL,1501,,1000.0,LEV02944
YERXX001,6921 RC,CULEMBORG,NL,,HILVERSUM,NL,400,,1000.0,LEV03345
MOLEN009,3606 AB,HEERHUGOWAARD,NL,4905 BN,AMSTERDAM,NL,64,62,1000.0,LEV00192
LEV03458,8331 LL,HETEREN,NL,3762 EK,HUIZEN,,10,8,1000.0,ROCKW001
TWENT007,4251 LM,ZAANDAM,NL,5246 JK,HEERLEN,NL,2a,98 b,1000.0,FABOR027
LEV03450,3600BA,ZOETERMEER,NL,6544 RN,OSS,NL,,,,LEV04189
SNELW002,2645 EH,WORMERVEER,NL,3999 NV,UTRECHT,NL,88,17,1000.0,GERRI013
FLOWT001,2700 AR,DIEREN,NL,,OBDAM,,17,3,1000.0,CONFL001
HUYSE001,2628 BX,Ratingen,NL,3621 LK,BARENDRECHT,NL,176,66b,1000.0,ANPXX001
LSCXX001,6541 PT,RHENEN,NL,7903 AE,VIANEN,NL,6d,,1000.0,NOVOT002
OUDSH004,5688 ZG,UTRECHT,NL,8331 LL,,NL,8,4,,RODAC001
LEV02130,8000 AP,DONGEN,NL,7642 ND,,NL,235,1A,1000.0,OERSX003
GELDE018,3330 AE,GRONINGEN,NL,1322 AN,HEERHUGOWAARD,,356,222,1000.0,
SERTI001,3331 AD,NIJMEGEN,NL,4906 AA,LIEREN,NL,,116a,1000.0,KROLX003
SCHRE014,6970 AC,ROTTERDAM,NL,2012 ES,HENGELO,,43,2a,1000.0,LEV00387
BOELS006,7547 ST,BLEISWIJK,NL,,ZEVENAAR,,5,29,1000.0,AXISS001
LEV01890,1749 ZG,BUITENPOST,NL,2909 LE,ZUIDLAREN,NL,101,212,1000.0,SUNPR001
LEV03690,8050 AA,APELDOORN,NL,2994 LB,MIJNSHEERENLAND,NL,,..,1000.0,EUROR003
LEV04075,1633 ZG,VEENENDAAL,NL,9723 BK,HARDERWIJK,NL,213-2,1b,1000.0,LUMIN002
WAGEN002,3821 AH,BOVENHARDINXVELD,NL,,,NL,62,100,1000.0,SCHAD001
BOOMG002,2800 MA,NIJKERK,NL,..,,NL,108,,1000.0,BOELS030
PMKOM001,3501 DD,HARMELEN,NL,8131 VZ,BUNDE,,5,189,1000.0,INSPE002
HUIZI002,5232 AC,SPIJKENISSE,NL,1222 AB,KLAASWAAL,,,69,,PRIMO001
RIWAL001,,NIEUW VENNEP,NL,5928 RZ,NIJMEGEN,NL,27,48,1000.0,WIERI001
LEV04155,2670 AB,AMSTERDAM,NL,,ZWIJNDRECHT,NL,11,46,1000.0,LEV00224
LEV04176,8263 BL,SITTARD,NL,3821 BL,SPIJKENISSE,NL,92,21 20,1000.0,LEV00022
SHIFT001,16153,HOOFDDORP,NL,,,NL,15,,1000.0,TYCOI001
EATON001,4301 NC,DRUTEN,NL,2404 HN,BREDA,NL,,,1000.0,HEIJX001
ECONO004,8440 GA,VEENENDAAL,NL,,OMMEN,NL,228,20-22,,LEV04080
BEGRA001,1326 CW,VOORSCHOTEN,NL,7333 NR,ZAANDAM,NL,83,,,ANTIC001
TNOXX003,3133 EC,HAAKSBERGEN,NL,7335 JN,ETTTEN-LEUR,NL,11,28-30,1000.0,OUTDO001
10000001,8013 RV,Sittard,NL,6802 EK,TIEL,NL,4,21,1000.0,WILWY001
BEEKX012,6721 EC,HOUTEN,NL,,,,139,101,1000.0,KOEKM001
RENES003,1033 SC,HEERLEN,,,ALBLASSERDAM,NL,8,267,1000.0,LEV00672
INTER036,2650 AA,VEENENDAAL,NL,1394 PC,OUD GASTEL,NL,29,15,1000.0,SWAAY002
BEPAC001,8901 CB,ZWOLLE,NL,4001 HG,SOEST,NL,2,,1000.0,GRADO001
EBTPL001,2660 AA,LEEUWARDEN,NL,1432 ED,,,59,4:00 AM,1000.0,TRANS013
MOERK001,2988 CB,AMSTERDAM,NL,,LEEUWARDEN,NL,7,4,1000.0,KUNST002
LEV00638,7570 AJ,VIANEN,NL,5683 PL,,NL,72,18,1000.0,ELEKT014
LEV04055,3300 BD,MAASTRICHT,NL,1016 EV,GROENEKAN,NL,54,5,1000.0,SPIBA003
POWER007,3812 RK,BAARLO,NL,3542 AX,ARNHEM,NL,,15,1000.0,ZWAMB001
GANSE001,2985 BJ,OOSTERHOUT,NL,3500 GA,,NL,1059,,1000.0,OMEXO001
WORKX008,9400 AN,BODENGRAVEN,NL,4906 JB,ASPEREN,NL,4a,,1000.0,LEV04161
INDUS006,1000 AK,DEN HAAG,NL,3364 AH,GELEEN,NL,1-Mar,...,1000.0,HEIDE002
LEV00093,2629 JD,AMSTERDAM,NL,3439 MP,NIEUW POORT,NL,8,,1000.0,LEV02304
NATIN001,4940 AC,BERGEN OP ZOOM,NL,,ALBLASSERDAM,NL,3,1D,1000.0,AQUAF001
CIRCU003,3824 MJ,HOOGEZAND,NL,3079 DN,ROTTERDAM,NL,2212,,1000.0,MEER0001
ADANX001,7903 BH,OUDERKERK A/D AMSTEL,,,AMSTERDAM,NL,43,23,1000.0,WASCO002
PRONE001,4651 TA,OUD-BEIJERLAND,NL,7602 KE,BREDA,NL,7,8,1000.0,WKKNX001
ECOPO001,3824 MK,ARNHEM,NL,6000 GC,BERGENTHEIM,NL,,,1000.0,BOOGA006
OUWEJ002,7622 AS,ZAANDAM,NL,1976 CX,EUROPOORT,,57,,1000.0,POLSX002
KPPXX001,3421 GD,DALFSEN,NL,,OLDENZAAL,NL,,,1000.0,HUSSE001
BOSXX022,8013 PE,BODEGRAVEN,NL,5045 AB,WEESP,,2,29,,INSIG002
FOREY001,4824 GM,LEIDSCHENDAM,NL,,BEST,NL,600,9,,CGERI001
KWXXX002,6710 BG,STEENWIJK,NL,7602 KA,KERKRADE,NL,,3,1000.0,HYCOM001
DYNAM002,5993 NC,ZWOLLE,NL,6826 CC,KÖLLEDA,NL,70,170,1000.0,LEV03634
IEOXX001,3640 AB,VENLO,,6537 TL,ZWOLLE,,,,1000.0,LEV04229
ZADOR001,2516 BB,HAARLEM,NL,2954 AW,NUTH,NL,800,,1000.0,SIGNU001
5060,1333 DB,NIJMEGEN,NL,3047 BS,UTRECHT,NL,968,7,1000.0,GBNBA001
PORTA002,3100 AD,EIJSDEN,NL,3079 DC,RIJSSEN,NL,8006,17,1000.0,LEV03797
VOLKE028,8275 AE,ROTTERDAM,NL,5301 WN,HEERHUGOWAARD,NL,664,9334,1000.0,DENMX001
DRIES002,7670 AA,GENDT,NL,4824 AG,APELDOORN,NL,91054,14,,COMPA003
LEGRA001,4811 AH,ZALTBOMMEL,NL,4702 LC,DOKKUM,NL,64,6,1000.0,ADREM002
LEV04046,1521 RW,AMSTERDAM,NL,.,DORDRECHT,,9,,,
ALTEC001,7772 TJ,NIEUWERKERK A/D IJSSEL,NL,2407 AD,AMERSFOORT,NL,,2,1000.0,WAGON002
VOSXX018,6129 BG,GOUDA,NL,2665 NT,ASSEN,NL,64,6,1000.0,EURAI001
PUURE001,7550 AT,HATTEM,NL,2957 CL,RIDDERKERK,NL,,177,1000.0,LEV04082
CONTI002,7007 LR,VEENENDAAL,NL,3551 EM,BREDA,NL,112,99,1000.0,ELECT018
EEMSH002,1217 CM,STEENWIJK,,,LELYSTAD,NL,100,5,1000.0,LUCAS001
ISPAP001,7731 SM,ROTTERDAM,NL,5581 WG,HENGELO,NL,21-23,,,ROSSU001
AEREA001,3454 ZK,HEERHUGOWAARD,NL,,ZWOLLE,NL,11183,145,1000.0,GBNXX001
LEV00744,3430 JB,ROTTERDAM,NL,9648 DD,ROTTERDAM,NL,26,34,,LEV02605
JOOPX001,3300 BD,Tilburg,NL,2908 LT,NAARDEN,NL,,18a,1000.0,LIGHT002
BOREN017,3316 GG,DALFSEN,NL,,BEVERWIJK,,120,20,1000.0,DEKKE015
SWAAY002,4817 MV,Roermond,NL,3316 GT,HENGELO,NL,28,1,1000.0,UBAGH001
PENTA002,6700 AN,AMSTERDAM,NL,2741 PV,LISSE,NL,2,,1000.0,BREUK005
GANSE011,4681 RA,VEENENDAAL,NL,2713 HX,HILVERSUM,,142,133,1000.0,LZPXX001
LEV04072,6662 NS,MOERDIJK,NL,2909 LC,HARDERWIJK,NL,11,6,1000.0,BERSS001
VOLKE036,3433 PN,MAARSSEN,NL,7811 KL,DEN HAAG,NL,,73,1000.0,ORLAC001
LEV04217,3410 CB,ARNHEM,NL,1521 RE,ZOETERMEER,NL,1,,1000.0,LEV04158
REESX001,1052 XJ,HAARLEM,NL,,ELSLOO,NL,140,184,1000.0,LCBXX001
HAKRO001,7504 RB,GRONINGEN,NL,,,NL,3,86,1000.0,VOLKE048
CABLE004,3980 CE,ROOSENDAAL,NL,3047 BC,BEEK,,,105,1000.0,DURAX013
SPLPO002,3791 PG,HARDERWIJK,NL,8091 XK,BEEK UBBERGEN,NL,60 3/4,318,1000.0,MACHI001
ENCKE001,7336 AV,APELDOORN,NL,8013 RN,ZWIJNDRECHT,NL,,95A,1000.0,
BREZA006,7531 EN,ENKHUIZEN,NL,3505 AB,ZWIJNDRECHT,,,1051,1000.0,BEIJE001
OERSX003,7312 RW,BIDDINGHUIZEN,NL,3356 LX,WEERT,NL,,23,1000.0,STIJN002
RAILR001,2130 AB,APELDOORN,NL,,UTRECHT,NL,9,68,1000.0,MISTE002
ÌNTER021,1001 WD,UTRECHT,NL,6135 ED,ALPHEN AAN DEN RIJN,NL,9,1,,SVDRC001
LEV03956,9600 AB,UITHOORN,NL,4243 JP,NIEUWEGEIN,,16,,,SALDE001
PROCO001,4704 SV,ROTTERDAM,,3843 AN,HARDERWIJK,NL,6,62,1000.0,LEV04180
OBVLX001,3542 AB,UTRECHT,NL,3925 BV,,NL,57A,18,1000.0,OLIFA001
HUMIN001,9700 GC,BERGEN OP ZOOM,NL,3542 AB,,NL,5,5,1000.0,SIKKE008
ENEXI005,4181 CH,BREDA,NL,...,HATTEM,NL,87,47A,1000.0,REEHO001
TUNNE003,3000 DR,ROOSENDAAL,NL,6679 AS,UTRECHT,,1,,1000.0,ARTCO001
KONES001,3990 GD,RIDDERKERK,NL,,OOSTERHOUT,NL,,70B,1000.0,LEV01733
BIKES001,30165,GRONINGEN,NL,9471 AM,,NL,2094,3a,1000.0,LEV00711
BOKXX001,7559 PJ,MAARSSEN,NL,7000 AK,LELYSTAD,NL,35,3,1000.0,LEV03511
DALEL001,4550 AA,AMERSFOORT,NL,2396 AP,VORSTENBOSCH,,526,5-b,,HOOND001
LEV00808,3330 CE,NIEUWEGEIN,NL,6222 NC,AMSTERDAM,,54,21,1000.0,TALEN007
BOUWH004,3077 CB,Papendrecht,NL,1046 AS,,NL,113,,,DBCAR001
VOLKE031,1931 DK,ROTTERDAM,NL,,,NL,243,23,,BESDX001
LEV02826,5300 AB,ROTTERDAM,NL,65795,GORINCHEM,NL,35,3,1000.0,LEV01171
METEO002,3072 DE,MONSTER,NL,3707 HX,CUIJK,NL,,1,1000.0,POELS001
LEV03779,9711 TK,AMERSFOORT,NL,6433 KG,UTRECHT,NL,37 C,,1000.0,LEV00853
ORLAC001,1185 ZK,KRIMPEN A/D IJSSEL,NL,,ALKMAAR,NL,40-4,125,,NIEUW011
WILDK002,7609 RE,ZEIST,NL,5151 DP,BREUKELEN,NL,1815,7,1000.0,RAILC004
SREQX001,3760 AA,ALBLASSERDAM,NL,3316 GP,NIJMEGEN,NL,101,139,1000.0,BERGX027
LEV04131,8102 HW,Breda,NL,3301 CE,DALFSEN,NL,,,,DNMIN001
WILDE001,7678 AJ,MIERLO,NL,8938 BJ,BUNSCHOTEN,NL,,7,1000.0,JACKO001
LEV01467,6471 JV,LICHTENVOORDE,NL,7907 CE,S HERTOGENBOSCH,NL,,20c,,STRWO003
LEV02184,7551 AM,HATTEM,NL,7553 JD,HENGELO OV,NL,,83,1000.0,HABIA001
GEOCE001,3007 GA,BOXTEL,ENG,2995 BE,PAPENDRECHT,NL,2,45a,,ABOMA001
LEV03997,3900 AC,NIJVERDAL,NL,7391 AM,DUIVEN,NL,,42,1000.0,DUITS001
LINQS002,5611 BD,GELEEN,NL,5048 AN,ROTTERDAM,NL,12,11,1000.0,PONTM001
BRON-003,7000 AK,HORN,NL,3526 AA,KAATSHEUVEL,NL,280,54,1000.0,ROXTE001
THALE002,3055 JA,ACHTERVELD,NL,...,BANHOLT,,73,,1000.0,ELEKT015
EERDS001,6662 BC,RIJSWIJK,NL,1812 RC,DORDRECHT,NL,,44,,WILDK003
HEVAX001,5201 AK,TIEL,NL,1741 LA,SCHARWOUDE,NL,17,178,1000.0,GUNTE001
SCHUR005,3241 CH,ARNHEM,NL,3235 XE,EDE,NL,7402,,1000.0,ASSAA003
AVENT002,2500 EA,SCHIEDAM,NL,3044 AS,,NL,,13,,LEV00281
OVERB003,4383 NJ,OOSTERHOUT,NL,,VENHORST,NL,664,5-Jul,1000.0,VSSXX002
LEV02303,6301 PM,CAPELLE AD IJSSEL,NL,6851 KR,RIDDERKERK,NL,,2,1000.0,BATTE003
CARGL005,7575 BN,Amstelveen,NL,9400 AA,BORN,NL,1008,126,1000.0,AUERH001
LVMIN001,4012 BA,BREDA,,9351 PA,,NL,7005,68,,LINCO001
RECOA001,4730 AA,UTRECHT,NL,3812 RV,BREUKELEN,NL,42,250,1000.0,ORIGI001
FRIES008,5504 PA,WIJSTER,NL,,DE MEERN,NL,168,,1000.0,AIBVI001
STOKV004,6136 GM,URMOND,,3991 CL,BRUMMEN,,,55,1000.0,OVERW001
JEVEK001,6690 AB,HENGELO,NL,2132 LS,,NL,11,3,1000.0,LEV04159
FABOR003,6545 AB,WESTZAAN,,5731 VL,AMSTERDAM,NL,67b,28-30,,INRAI001
AVEPO001,5151 DK,NIJKERK,NL,3301 DB,,NL,,11,1000.0,PRONE001
LUXSY001,5615 BG,DEN HAAG,NL,,,NL,,13,1000.0,BOERX012
LEV03237,4004 JM,GOUDA,NL,6710 AD,OLDEBROEK,,181,149,1000.0,LEV03420
LEV03980,7400 AH,ROTTERDAM,NL,,BIDDINGHUIZEN,NL,48,10,1000.0,BOELS055
KONIN034,4145 NP,Den Haag,NL,1131 KH,DRACHTEN,NL,,,1000.0,BONHO003
DISCX002,5080 AC,DRACHTEN,NL,7559 PJ,ZWIJNDRECHT,,7,,1000.0,MAGEM001
IMTXX002,4414 AX,HARDENBERG,,7522 NB,LICHTENVOORDE,NL,6621,25,1000.0,PONXX001
LEV03677,3007 AN,HEERJANSDAM,NL,6956 AV,DORDRECHT,NL,6a,15,1000.0,EXPER006
LEKKE001,7558 PJ,ROTTERDAM,NL,2941 AP,DEN HOORN (ZH),NL,68,2,,IMOTI001
DSKUX001,3208 KL,HORST,NL,,AMERSFOORT,NL,4,202,1000.0,WEBLE001
WITXX008,1059 CE,BARNEVELD,NL,81677,AMERSFOORT,NL,117,,1000.0,LEV00212
BMBBX001,7550 AA,EINDHOVEN,NL,5232 AC,NIJMEGEN,NL,93,8,1000.0,KLEVE003
XYLEM001,5991 NW,VALKENBURG AAN DE GEUL,NL,6681 MT,ZOETERMEER,,34,20,1000.0,DURAV001
BOOGE002,3841 DJ,BERGEIJK,NL,,HEIJNINGEN,NL,4,,1000.0,LASPE001
LEV03473,2681 TV,GRONINGEN,,7683 PK,GELDERMALSEN,NL,34,14,1000.0,ACONX001
LEV04008,6412 PE,MAARSSEN,NL,7547 TK,ALMERE,NL,14,14,1000.0,AMPLI004
HEIJD001,2901 PA,CAPELLE AAN DEN IJSSEL,,,ROTTERDAM,NL,1025,2,,RADIO001
LEV03534,7102 DV,ZWARTSLUIS,NL,4816 AX,WORMERVEER,NL,30,5 E,1000.0,EUROS005
OPENL002,3600 BA,ROOSENDAAL,,4824 AB,ELBURG,NL,Oct-14,21,1000.0,UUDEN001
BOELS032,3084 CB,ASPEREN,NL,,MAASTRICHT,NL,18,3,1000.0,HEIDE004
TOPTE002,6950 AG,ZUTPHEN,NL,5111 PT,HENGELO,,55,21-53,1000.0,MSANX001
SYBRA001,2182 DJ,HOOFDDORP,NL,6716 BM,ZWIJNDRECHT,NL,103,180,1000.0,FILCO001
RSCOM001,3800 BG,EWIJK,NL,1043 CA,SLIEDRECHT,NL,800,40,,VROON003
DETRO004,1382 JZ,GRONINGEN,,2629 JD,STAPHORST,NL,20,,1000.0,LEV02747
ZITRO001,1967 DD,AMSTERDAM,NL,3542 DA,SCHAIJK,NL,37,34,1000.0,LEV01108
RAILA003,1161 AG,MAASTRICHT,NL,6842 CT,ZUTPHEN,NL,1,525,1000.0,QUALI009
BERGO015,3261 NB,ZWAAG / HOORN,NL,6957 DE,APELDOORN,,9495,140,1000.0,GRUEB001
DATOP001,3600 BM,Zaltbommel,NL,7511 AM,ENSCHEDE,NL,30,3,1000.0,IMTEC018
GKBRE001,6802 ED,HOEVELAKEN,NL,,APELDOORN,NL,,79,1000.0,BOUWQ001
DARET001,6716 AA,HOUTEN,NL,2341 BV,BENEDEN LEEUWEN,NL,9,,1000.0,WIJHA001
BOSOX001,2400 AJ,HAARLEM,NL,,BUDEL,NL,,62,1000.0,LEV04184
TBSXX001,1175 RK,LIESHOUT,,2289 CC,ZEGVELD,NL,,10,1000.0,DEEVE001
GEOMA001,3301 DA,HARDERWIJK,NL,3401 MG,HENGELO,NL,1,11,1000.0,RIJKE002
EDILO001,1302 CA,IJMUIDEN,NL,,UTRECHT,,54245,,1000.0,PINTS001
PEKKE002,6227 AL,ROTTERDAM,NL,8239 DA,HELMOND,NL,1519,319,,LEV00683
VEMEW001,5061 KA,DORDRECHT,NL,5271 VP,Zaandam,NL,521,81,1000.0,MATEX002
NEMAC001,8447 GD,DORDRECHT,NL,9962 5,AMSTERDAM,NL,121,15,,LEV00747
HELLA001,3055 ZG,HEESWIJK,NL,,KERKRADE,NL,23,11B,,LEV00678
BOELS036,4940 AB,OOSTERHOUT,NL,,ROTTERDAM,NL,37,16,1000.0,LEV03834
ODVXX001,3351 ED,KATWIJK A/D RIJN,NL,2593 VH,DE LUTTE,,15,30,1000.0,VSUHI001
LEV04135,3181 HK,TIEL,,7600 AB,DEN HAAG,,50,19,1000.0,OUWEJ002
AIRBL001,6905 BA,Oosterhout,NL,5071 NM,NIEUWEGEIN,NL,40114,1,1000.0,ICMOP001
TMXXX001,1046 BD, LOENEN GLD,NL,3755 BS,HENGELO,NL,681,4N,1000.0,BOELS025
VIALI014,2003 RZ,BLEISWIJK,NL,,ROTTERDAM,NL,,402,1000.0,LEUSI003
DEVEL001,6135 KH,ROSMALEN,NL,4462 GL,,NL,,1,1000.0,BUURE002
KNOL0001,1100 DM,AMSTELVEEN,,5249 JR,,NL,6852,2a,1000.0,TERNE002
2390,9781 CJ,Oldebroek,30167971,4811 EM,WATERINGEN,NL,,6,1000.0,HARTW001
LEV03158,2170 AC,DORDRECHT,NL,3000 AC,UTRECHT,NL,25,2,1000.0,VOLKE010
REXRO002,4761 RM,STEENBERGEN,NL,3528 BG,ALMERE,NL,2,,1000.0,STERN004
LEV03207,7575 EK,ALKMAAR,NL,6710 BG,GRONINGEN,NL,,39,1000.0,VLONC001
LEV00229,6827 DH,HELMOND,NL,7463 PA,LYSS,,6B,19a,,DBSCH004
IMTEC007,8080 AC,AMSTERDAM,NL,,SITTARD,NL,142,180,1000.0,BLOKH001
LEV03729,6004 AR,HEERHUGOWAARD,NL,,,,4,,1000.0,TECHP001
CROSS002,6716 BS,VIANEN,NL,3833 AM,DEVENTER,NL,1,15,1000.0,WIELS002
STORK020,7700 AB,EMMEN,NL,2712 PB,ASPEREN,NL,,,1000.0,RECHT004
FABOR010,8011 LM,ROTTERDAM,NL,4004 JM,AMSTERDAM,NL,21,63,1000.0,FASTT001
LEV02500,1300 BL,HOOGEZAND,NL,3824 NP,UTRECHT,NL,51,10 B,,LEV04167
STAPL002,3012 CN,ARNHEM,NL,2952 BG,APELDOORN,NL,233,2,,RAILA001
LOMAN002,3752 LP,NUTH,,,NIEUWEGEIN,NL,10a,42,1000.0,ROY00001
LEV03839,3600 BA,MALDEN,NL,3511 AC,NIEUWERKERK A/D IJSSEL,NL,1025,13A,1000.0,TOPSY001
FENNE002,3198 LS,WOLVEGA,NL,,SITTARD,NL,40224,336,1000.0,DATWY002
ALBEM003,7707 PD,ROTTERDAM,NL,9672 BH,NIEUW - LEKKERLAND,,32a,4a,,PMKOM001
LEV02250,9564 AL,GRONSVELD,NL,3543 AH,,NL,21,190,1000.0,LEV00962
BOREN006,6026 ZG,VEGHEL,NL,,ALBLASSERDAM,,24,,,VLIET003
GEKAS001,3350 AA,WEESP,,2665 CD,DODEWAARD,NL,17,7,1000.0,WIHAD001
IMBEM003,3511 LH,HENGELO,NL,3067 GM,BERGSCHENHOEK,NL,,60c,1000.0,VOLKE032
LEV03911,3621 ZB,AMERSFOORT,NL,2991 LE,MAASTRICHT,NL,20014,9:00 AM,1000.0,STRUM001
LCCNE001,8080 AA,ZALTBOMMEL,NL,4814 AZ,HORST,NL,243,56,1000.0,INTER051
LEV02685,5298 MK,UTRECHT,NL,1931 EL,,NL,395,70,1000.0,LEV00515
BEEKX002,7550 AR,ZIERIKZEE,NL,7381 BV,APELDOORN,NL,2,11,1000.0,BAMNE001
ALSTO002,5652 AG,DRACHTEN,NL,,NIJVERDAL,,,310,1000.0,KOCHX003
LEV01733,7302 HC,PATERSWOLDE,NL,4817 ZL,VIANEN,,41,7,1000.0,ANAME001
JANSS025,5201 AB,UDEN,NL,5688 NZ,HOOGVLIET,NL,74,56,1000.0,ADANX001
KORVE001,4240 CA,EINDHOVEN,,3992 AD,VOLLENHOVE,NL,5,Nov-27,,JAREN001
BUROZ001,6130 AA,EINDHOVEN,NL,2821 NH,WADDINXVEEN,NL,14a,,1000.0,BOELS005
BMZXX001,7240 AE,Utrecht,NL,1713 GC,HILVERSUM,,629,32A,1000.0,EUROH002
GOBAX001,2461 EX,ZOETERMEER,NL,3331 AB,RHENEN,NL,150,,1000.0,LEV03762
POWER009,3743 KM,HAZERSWOUDE,NL,5151 DP,GOUDA,NL,,,1000.0,ISOBO001
SRMAT002,2516 BC,PAPENDRECHT,,8191 JH,DEVENTER,NL,5120,31,1000.0,
COMTE002,4909 BS,MAARSSEN,NL,,SCHOONREWOERD,NL,82,17,1000.0,JOULZ001
WALDA001,5633 AC,VEENENDAAL,NL,8013 PE,ZALTBOMMEL,NL,10080,,1000.0,LEV03984
HOGES003,6160 AM,UTRECHT,NL,,HAARLEM,NL,2225,,1000.0,LIVIT002
