house_number,city,postcode,country,country,country,unknown,telephone_nr,unknown,unknown,unknown,unknown,legal_type,postcode,city,house_number,postcode,city,country,telephone_nr,telephone_nr,gender,sbi_code,sbi_code,sbi_code,sbi_description,sbi_description,sbi_description,unknown,date,date,date,date
,NAARDEN,6161 RE,NL,NEDERLAND,NL - NEDERLAND,,+31 50 3192524,Bedrijven: Groot > 250,,,Klant,Publiekrechtelijke rechtspersoon,2288ET,SITTARD,1.0,1040KH,GRONINGEN,NLD,0168 483828,,m,9420.0,46435.0,,Overige paramedische praktijken (geen fysiotherapie en psychologie) en alternatieve genezers,Handelsbemiddeling gespecialiseerd in overige goederen,Uitleenbureaus,1.0,3-8-2011,,25-2-1992,
18,SITTARD,2501 CG,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,590 - Overheid: Overige,,Klant,Besloten Vennootschap met gewone structuur,5617BD,ZEIST,270.0,1100DB,BILTHOVEN,NLD,033  4509111,,,2.0,,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,,2-1-2017,21-12-2001,,
27,NIJMEGEN,2597 AK,NL,NEDERLAND,NL - NEDERLAND,NL001483316B01,010-2241224,Bedrijven: Groot > 250,610 - Onderwijs: HBO,CUS,Klant en Partner,Eenmanszaak,1096CJ,WADDINXVEEN,5.0,4100AA,EERSEL,NLD,,071 4083901,m,9412.0,,,Praktijken van tandartsen,,,1.0,3-5-2017,,8-1-1993,1-1-1998
8/01,UTRECHT,9747 AC,NL,NEDERLAND,NL - NEDERLAND,,,,750 - Bedrijven: Klein <100,CUS,Klant,Publiekrechtelijke rechtspersoon,4844SK,UTRECHT,8.0,,'S-HERTOGENBOSCH,NLD,,,,8621.0,,,Ministerie van Justitie en gevangeniswezen,,,1.0,10-3-2010,,,7-5-2008
29,DELFT,6077 AP,NL,NEDERLAND,NL - NEDERLAND,,050-3671000,Zorg: Overige,750 - Bedrijven: Klein <100,OVE,Klant,Besloten Vennootschap met gewone structuur,2512HE,SCHIPHOL,1.0,3563AV,NIEUWEGEIN,,,,m,86101.0,,,Volkskredietbanken en commerciële financieringsmaatschappijen,,,3.0,,,,
3,ZOETERMEER,6165 CK,NL,NEDERLAND,NL - NEDERLAND,,,Overige,750 - Bedrijven: Klein <100,CUS,Klant,Stichting,5222AE,ALBLASSERDAM,312.0,3816BS,RIDDERKERK,,0255 567200,0297 380280,f,6420.0,,,,Ingenieurs en overig technisch ontwerp en advies,,2.0,16-1-2017,,,1-7-2008
75,DEN HAAG,WR4 9EL,NL,NEDERLAND,NL - NEDERLAND,,0570-610111,Zorg: 2e lijns,791 - Onbekend,OVE,Klant,Besloten Vennootschap met gewone structuur,9202LE,HILVERSUM,25.0,4101BT,,NLD,,,,8411.0,,,Detailhandel via postorder en internet in huis- en tuinartikelen,Universitair medische centra,,1.0,,,,1-1-2013
30A,RIJSWIJK,9202 NN,NL,DUITSLAND,SE - ZWEDEN,,,NIET MEER GEBRUIKEN,520 - Overheid: Gemeentes > 100000,CUS,Klant en Partner,Besloten Vennootschap met gewone structuur,9351VN,LEEUWARDEN,2.0,5201AC,ZALTBOMMEL,NLD,030  2626185,,m,85312.0,,,Interieur- en ruimtelijk ontwerp,,,1.0,9-11-2016,17-12-1993,,1-1-2001
16,LEIDEN,2260 AD,NL,NEDERLAND,NL - NEDERLAND,,079-3685210,Zorg: Ziekenhuizen,770 - Partners / dealers,ARC,Klant,Besloten Vennootschap met gewone structuur,3011DL,AMSTERDAM,8.0,2514HP,UTRECHT,NLD,0481 366544,,,2620.0,240.0,,Benzinestations,,,9.0,25-8-2010,,,17-3-1983
13,GRONINGEN,1112 XN,NL,NEDERLAND,NL - NEDERLAND,,070-3176369,Onderwijs: Overige,520 - Overheid: Gemeentes > 100000,CUS,Klant,,8011BZ,HOLLANDSCHEVELD,8.0,6201BV,RIJEN,,088  0728500,,m,47919.0,,,"Vriendenkringen op het gebied van cultuur, fanclubs en overige kunstbevordering",,,1.0,8-6-2017,30-12-2013,,0-3-1988
25,EINDHOVEN,6043 HA,NL,NEDERLAND,NL - NEDERLAND,,043-3882002,Gispen / InterCompany,770 - Partners / dealers,CUS,Klant,,1184VW,ALKMAAR,10.0,7461AZ,CULEMBORG,NLD,043  3661661,,,4120.0,,,Projectontwikkeling,,,6.0,12-1-2015,,1-1-2012,
18-20,GRONINGEN,6201 BZ,NL,NEDERLAND,NL - NEDERLAND,,0180 66 77 77,Zorg: 1e lijns,750 - Bedrijven: Klein <100,CUS,Dealer,,3115JE,BADHOEVEDORP,50.0,5201AG,,NLD,,,,46901.0,7220.0,7112.0,,,,,27-8-2013,6-12-2010,,22-10-2013
38,AMSTERDAM,5232 BD,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Groot > 250,665 - Zorg: 1e lijns,CUS,Dealer,Besloten Vennootschap met gewone structuur,,VOORSCHOTEN,14.0,2641DN,AMSTERDAM,NLD,,085 8500140,m,8411.0,,,Niet-universitair hoger onderwijs,Personenvervoer per spoor (geen tram of metro),,2.0,31-3-2016,,,1-9-2010
14,HERWIJNEN,3131 VX,BE,NEDERLAND,NL - NEDERLAND,,49240378960,Onderwijs: HBO,750 - Bedrijven: Klein <100,CUS,Klant,Besloten Vennootschap met gewone structuur,9406XP,HILVARENBEEK,5.0,3502MB,UTRECHT,NLD,076  5611385,,,8412.0,,,Verhuur van onroerend goed (niet van woonruimte),Uitleenbureaus,,1.0,,,,27-1-1995
6,VEGHEL,2611 HD,NL,NEDERLAND,NL - NEDERLAND,,0528-361 879,Bedrijven: Groot > 250,730 - Bedrijven: Groot > 250,CUS,,Besloten Vennootschap met gewone structuur,5855EL,MAASTRICHT,275.0,2700AH,GRONINGEN,NLD,0184 613911,,,8621.0,,,Financiële holdings,Vervaardiging van machines en apparaten voor industriële koeltechniek en klimaatregeling,,1.0,31-12-2015,8-7-1969,,6-9-2016
1,UTRECHT,9701 JB,NL,NEDERLAND,NL - NEDERLAND,214/5780/2728,0528-265131,Zorg: Ziekenhuizen,,DEA,,Besloten Vennootschap met gewone structuur,3515XK,AMSTERDAM,16.0,2650AB,HILVERSUM,,030  8803300,,m,8412.0,,,Groothandel in audio- en video-apparatuur,,,1.0,9-2-2012,,21-12-1981,
,'S GRAVENHAGE,3755 LC,DE,NEDERLAND,NL - NEDERLAND,,0032 3653 3385,Zorg: 2e lijns,665 - Zorg: 1e lijns,CUS,Overige,Besloten Vennootschap met gewone structuur,,,70.0,,TIEL,NLD,0800 8002,,,8621.0,,,Projectontwikkeling,Uitleenbureaus,,,22-9-2009,,27-3-2009,1-8-2007
19,UTRECHT,7416 AL,NL,NEDERLAND,NL - NEDERLAND,,0598-658888,,730 - Bedrijven: Groot > 250,CUS,Klant,Publiekrechtelijke rechtspersoon,2908LP,EINDHOVEN,55.0,3439MN,ENSCHEDE,NLD,,,m,94991.0,,,Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen,Financiële holdings,,6.0,5-1-2016,31-12-2003,11-4-1997,16-2-1994
"Level 1, 6",ROTTERDAM,2496 RP,NL,OOSTENRIJK,NL - NEDERLAND,,070-4266426,Bedrijven: Klein <100,540 - Overheid: ZBO's,,Klant,Stichting,3274BG,BILTHOVEN,21.0,2288EG,ROTTERDAM,NLD,0593 524059,,,4773.0,46462.0,,,,,1.0,8-5-2017,,,31-5-2006
13,DOETINCHEM,4105 JH,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,799 - Gispen / InterCompany,DEA,Overige,,2991BL,,46.0,,TER AAR,NLD,030  7440744,,m,8412.0,,,Interieur- en ruimtelijk ontwerp,"Commissionairs en makelaars in effecten, beleggingsadviseurs e.d.",,1.0,28-12-2009,30-3-2010,,6-9-1999
5,RIJSWIJK,2525 NB,NL,NEDERLAND,NL - NEDERLAND,,020 750 8350,Bedrijven: Klein <100,760 - Bedrijven: Overige,CUS,Overige,Stichting,5617AC,WEERT,20.0,3200AA,BADHOEVEDORP,NLD,,,,6209.0,,,Middelbaar beroepsonderwijs en educatie (gecombineerd),,,1.0,18-9-2008,18-12-1975,,10-8-1987
35,DRACHTEN,5341 BK,NL,NEDERLAND,NL - NEDERLAND,,015-2151418,NIET MEER GEBRUIKEN,520 - Overheid: Gemeentes > 100000,,Klant,Vennootschap onder firma,2134TM,,205.0,3007AL,,NLD,020  5905000,,,6420.0,6209.0,,Algemeen overheidsbestuur,,,1.0,2-1-2016,13-3-2000,3-6-2004,1-1-2011
,GELDERMALSEN,6411 HD,NL,NEDERLAND,NL - NEDERLAND,,496465919391,Bedrijven: Klein <100,700 - Financiele instellingen,DEA,Overige,Besloten Vennootschap met gewone structuur,2516CK,'S-GRAVENHAGE,3.0,2611GC,BRUMMEN,NLD,,,f,2511.0,,,Brede scholengemeenschappen voor voortgezet onderwijs,,,1.0,4-9-2012,13-2-2001,,31-12-2002
506,ZAANDAM,3769 AZ,NL,NEDERLAND,NL - NEDERLAND,,043-3588222,NIET MEER GEBRUIKEN,870 - NIET MEER GEBRUIKEN,CUS,Overige,Vereniging met volledige rechtsbevoegdheid,1017DW,'S-GRAVENHAGE,637.0,4711CN,ROTTERDAM,NLD,0345 634000,,m,3811.0,,,Groothandel in overige consumentenartikelen (non-food) n.e.g.,,,2.0,8-8-2007,,,1-1-2010
2,KRIMPEN AAN DEN IJSSEL,9723 AS,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: Gemeentes < 100000,660 - Zorg: Ziekenhuizen,CUS,Overige,Stichting,,RAVENSWAAIJ,15.0,3508AA,ROTTERDAM,NLD,077  3731239,,,6499.0,70221.0,,Beleggingsinstellingen met beperkte toetreding,,,1.0,29-9-2010,12-10-1977,,20-12-2005
80,ROTTERDAM,335,NL,NEDERLAND,NL - NEDERLAND,,070-3880388,Bedrijven: Groot > 250,850 - NIET MEER GEBRUIKEN,CUS,Klant,,2511WB,AMSTELVEEN,24.0,7383BB,NIJMEGEN,NLD,088  6888888,,,91041.0,,3324.0,Detailhandel via postorder en internet in overige non-food,Overige administratiekantoren,,5.0,26-11-2001,,22-12-1971,19-8-2009
1105,HILVERSUM,9700 GB,NL,NEDERLAND,NL - NEDERLAND,,104535857,Bedrijven: Klein <100,740 - Bedrijven: Middel >100 < 250,CUS,Klant,Stichting,2725BW,ASSEN,2.0,3500GV,ZOETERMEER,NLD,0314 442500,,m,46752.0,,,Ministerie van Justitie en gevangeniswezen,,,1.0,17-5-2010,31-5-1988,,1-10-1996
106,CULEMBORG,2011 VG,NL,NEDERLAND,NL - NEDERLAND,,010 409 05 99,Bedrijven: Groot > 250,520 - Overheid: Gemeentes > 100000,,Klant,Publiekrechtelijke rechtspersoon,6136KL,TILBURG,141.0,5026SP,'S-GRAVENHAGE,NLD,050  5245970,,,7320.0,,8130.0,,,"Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer",1.0,21-6-2011,,,1-4-1986
41,AMERSFOORT,4104 AV,NL,NEDERLAND,NL - NEDERLAND,,0346-269411,Gispen / InterCompany,,ARB,Klant,Besloten Vennootschap met gewone structuur,,GRONINGEN,4.0,5211DD,TIEL,NLD,0180 486786,,m,6201.0,,,Architecten (geen interieurarchitecten),,Groothandel in bedrijfsmeubels,1.0,15-12-2009,11-8-1972,,1-6-2004
42,Frederiksberg,7906 HW,NL,NEDERLAND,NL - NEDERLAND,,0187-475100,Bedrijven: Klein <100,750 - Bedrijven: Klein <100,,Klant,Besloten Vennootschap met gewone structuur,2628CD,ROTTERDAM,1.0,,ZOETERMEER,NLD,070  3838088,,,,,,Woningbouwverenigingen en -stichtingen,Financiële holdings,,10.0,14-4-2009,16-3-2007,,
89,DEN HAAG,6212 XW,NL,NEDERLAND,AU - AUSTRALIE,NL003027399B01,,Onderwijs: MBO,730 - Bedrijven: Groot > 250,CUS,,Besloten Vennootschap met gewone structuur,2461CC,ROTTERDAM,,3032AL,'S-GRAVENHAGE,NLD,030  6012404,,,87302.0,,,"Winkels in kranten, tijdschriften en kantoorbehoeften",,,1.0,4-4-2011,,,
22,SOESTERBERG,5223 GZ,NL,NEDERLAND,NL - NEDERLAND,,,Onderwijs: WO,590 - Overheid: Overige,,Klant,Vereniging met volledige rechtsbevoegdheid,5014HK,WELL L,51.0,3584CM,ZEIST,NLD,0346 598700,,,72193.0,,7220.0,Praktijken van verloskundigen,"Ontwikkelen, produceren en uitgeven van software",,9.0,1-11-2013,5-3-1996,,1-8-2008
60,HAARLEM,6994 AB,NL,DUITSLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,730 - Bedrijven: Groot > 250,CUS,,Besloten Vennootschap met gewone structuur,,UTRECHT,55.0,1403EK,ALMERE,NLD,020  5791000,,,7220.0,,,Groothandel in ijzer- en metaalwaren,,,1.0,19-1-2006,,,1-1-1995
70,HEERLEN,4100 AA,NL,NEDERLAND,NL - NEDERLAND,,0593 524059,Onbekend,740 - Bedrijven: Middel >100 < 250,CUS,Klant,Eenmanszaak,4331BK,BREDA,1.0,,ARNHEM,NLD,020  5989898,,m,85314.0,,,"Bemiddeling bij handel, huur of verhuur van onroerend goed",,,1.0,5-1-2010,9-6-1978,,1-1-1990
110,RHENEN,6077 CG,NL,NEDERLAND,NL - NEDERLAND,,46 476 3626,Bedrijven: Overige,740 - Bedrijven: Middel >100 < 250,CUS,Klant,Besloten Vennootschap met gewone structuur,9743AN,RIJSWIJK,284.0,1000CN,AMERSFOORT,NLD,088  0742800,,f,64922.0,,,Overige culturele uitleencentra en openbare archieven,,,8.0,21-12-2006,,,23-6-1993
1105,BUNNIK,1082 MA,NL,NEDERLAND,NL - NEDERLAND,NL001483316B01,,Bedrijven: Groot > 250,660 - Zorg: Ziekenhuizen,CUS,,Stichting,2051GJ,AMERSFOORT,10.0,1117CJ,BERKEL EN RODENRIJS,NLD,,06 13543571,,4333.0,,,Rechtspraak,,Groothandel in papier en karton,3.0,,25-10-2001,11-7-2007,1-4-1999
36,UTRECHT,NW2 4NA,NL,NEDERLAND,NL - NEDERLAND,,010-2140808,Overheid: Overige,730 - Bedrijven: Groot > 250,ARC,,Besloten Vennootschap met gewone structuur,9723AS,LEIDEN,70.0,4100AH,BREDA,NLD,020  7149400,,m,7311.0,,,Organisatie-adviesbureaus,,,1.0,1-5-2008,,,15-5-2001
2,TAOYUAN COUNTY,3341 EN,NL,NEDERLAND,NL - NEDERLAND,,0345-543543,Bedrijven: Klein <100,730 - Bedrijven: Groot > 250,OVE,Klant en Partner,,9262MG,GRONINGEN,,7901JV,LEEUWARDEN,NLD,0345 512347,06 50507799,,86101.0,6512.0,,Musea,,,1.0,1-10-2014,3-7-1992,,21-2-1995
71,Duiven,5803 AP,NL,NEDERLAND,NL - NEDERLAND,,010-4469202,Bedrijven: Groot > 250,620 - Onderwijs: MBO,OVE,Tender,Besloten Vennootschap met gewone structuur,6811KS,UTRECHT,55.0,7400GA,AMSTERDAM,NLD,,,,,,7112.0,Overige telecommunicatie,,,6.0,21-3-2017,30-5-1991,,28-1-2016
,LEERDAM,,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,500 - Overheid: Ministeries,CUS,Architect,Stichting,5916PL,EEDE,80.0,2291DE,UTRECHT,NLD,020  6082000,06 22540077,,64923.0,,,Musea,,,1.0,7-3-2011,30-12-2015,,1-4-1966
,UTRECHT,3764 AW,US,NEDERLAND,NL - NEDERLAND,,088-5555800,Bedrijven: Klein <100,770 - Partners / dealers,,,Besloten Vennootschap met gewone structuur,9727CE,SOEST,22.0,,,NLD,0180 515444,,m,8412.0,,,Groothandel in bedrijfsmeubels,,,1.0,,,31-3-1992,1-1-2004
,UTRECHT,3044 AV,NL,BELGIE,NL - NEDERLAND,,020-4232850,Zorg: Overige,520 - Overheid: Gemeentes > 100000,CUS,Dealer,,3125BK,SINT-MICHIELSGESTEL,183.0,1217KB,MIJDRECHT,NLD,058  2866666,,,,,,Architecten (geen interieurarchitecten),,,6.0,26-8-2010,22-5-2002,,1-7-2007
,SINT-MICHIELSGESTEL,8171 NS,US,NEDERLAND,NL - NEDERLAND,,030-2534633,,530 - Overheid: Gemeentes < 100000,CUS,Klant,Besloten Vennootschap met gewone structuur,3521AR,DELFZIJL,2.0,,,,088  2772400,,,94991.0,,,Organisatie-adviesbureaus,,,5.0,26-5-2017,27-3-2009,,
2,UTRECHT,3563 AV,NL,NEDERLAND,NL - NEDERLAND,,0412 672 411,Bedrijven: Klein <100,730 - Bedrijven: Groot > 250,DEA,Klant,Besloten Vennootschap met gewone structuur,3992AE,HOUTEN,4.0,1091LR,BERGSCHENHOEK,NLD,,,,77299.0,,,,,Overige specialistische zakelijke dienstverlening,12.0,22-2-2008,,,19-11-1900
43,DELFT,2512 HE,NL,NEDERLAND,NL - NEDERLAND,,045-4042345,Onderwijs: PO,870 - NIET MEER GEBRUIKEN,OVE,Overige,Naamloze Vennootschap met gewone structuur,,,10.0,2381GC,,NLD,0183 308100,020 5791098,,45112.0,,,Reparatie en stoffering van meubels,,,1.0,23-3-2010,2-12-1996,,1-7-2008
13,DEN HAAG,6041 GA,NL,NEDERLAND,BE - BELGIE,DE115451740,0294-236960,Zorg: 1e lijns,750 - Bedrijven: Klein <100,CUS,Klant,Vennootschap onder firma,5961NM,VILSTEREN,2.0,,AMSTERDAM,,0800 0543,,m,86923.0,,,Financiële holdings,,,1.0,20-2-2017,,9-12-2004,1-1-2002
62,Antwerpen,3992 DB,NL,POLEN,NL - NEDERLAND,,,Overheid: Overige,750 - Bedrijven: Klein <100,CUS,Klant en Partner,Publiekrechtelijke rechtspersoon,1033NX,NIEUWEGEIN,4.0,3440AC,AMSTERDAM,NLD,020  5313233,,m,94993.0,,,Hotel-restaurants,Vervaardiging van overige goederen n.e.g.,,9.0,,21-5-1987,,7-4-2005
8,HUISSEN,3430 RA,BE,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Groot > 250,750 - Bedrijven: Klein <100,CUS,Overige,,4103WR,GRONINGEN,15.0,1184VW,AMERSFOORT,NLD,0528 294811,,m,45112.0,4120.0,,Overige belangenbehartiging n.e.g.,Goederenvervoer over de weg (geen verhuizingen),,1.0,7-2-2006,22-10-1960,,1-12-2003
21-23,DELFT,4100 AA,NL,NEDERLAND,NL - NEDERLAND,NL009807184B01,050 5997755,Bedrijven: Groot > 250,665 - Zorg: 1e lijns,CUS,Dealer,Naamloze Vennootschap met gewone structuur,3088HD,AMERSFOORT,1.0,1081HV,'S-HERTOGENBOSCH,NLD,088  3521500,,,,,,Algemene burgerlijke en utiliteitsbouw,,,1.0,27-1-2003,12-12-2008,,1-1-1969
3,DEVENTER,1076 DE,NL,NEDERLAND,BE - BELGIE,,,Bedrijven: Klein <100,760 - Bedrijven: Overige,OVE,Dealer,Besloten Vennootschap met gewone structuur,4101BZ,SON EN BREUGEL,18.0,2260AB,ENSCHEDE,NLD,072  5074950,,,31012.0,6831.0,,"Bemiddeling bij handel, huur of verhuur van onroerend goed",,,,25-11-2016,25-5-2004,,4-7-1917
8,BREDA,3511 LK,NL,NEDERLAND,NL - NEDERLAND,,035-6780499,Bedrijven: Klein <100,730 - Bedrijven: Groot > 250,CUS,Klant en Partner,Vereniging met volledige rechtsbevoegdheid,2625AD,,9.0,2332AT,'S-GRAVENHAGE,NLD,030  6585125,,m,6420.0,47591.0,,"Groothandel in overige machines, apparaten en toebehoren voor industrie en handel n.e.g.",Organisatie-adviesbureaus,Handel in en reparatie van personenauto's en lichte bedrijfsauto's (geen import van nieuwe),4.0,17-1-2012,,31-12-1997,0-0-1891
23,AMSTELVEEN,2512 CB,SE,NEDERLAND,NL - NEDERLAND,,070 3199200,Bedrijven: Overige,730 - Bedrijven: Groot > 250,OVE,Klant,Besloten Vennootschap met gewone structuur,1112XP,ALPHEN AAN DEN RIJN,247.0,2405BZ,,NLD,0165 382545,,,8411.0,,,Handel in en reparatie van personenauto's en lichte bedrijfsauto's (geen import van nieuwe),,,7.0,,8-12-1967,,1-1-1997
273,HOUTEN,2595 AA,NL,NEDERLAND,NL - NEDERLAND,,,,620 - Onderwijs: MBO,CUS,Klant,Besloten Vennootschap met gewone structuur,2909LK,BARENDRECHT,15.0,6001BE,REEUWIJK,NLD,088  4449650,,,,,,Detailhandel via postorder en internet in huis- en tuinartikelen,,Financiële holdings,2.0,16-5-2017,,,1-5-2004
