unknown,postcode,city,country,unknown,telephone_nr,telephone_nr,unknown,unknown,unknown,province,country,sbi_description,sbi_description
903088,8921 AG,BOLSWARD,Netherlands,,+31 512365090,058-,Referentie,Klant,,Friesland,Europe,Overheid,
204993,8447 SP,LEEUWARDEN,Netherlands,,+31514 604146,+31 58 213 10 82,Referentie,Klant,511678797,Friesland,Europe,Zakelijke dienstverlening,"Recreatie, Entertainment en Horeca"
11658,8913 EA,HEERENVEEN,Netherlands,,+31 58-2562877,0519-297637,Referentie,Klant,,Noord-Holland,Europe,Musea,
901599,8911 DZ,OLDEBERKOOP,Netherlands,,+31 58 233 65 65,0513-684 007,Referentie,Klant,,Friesland,Europe,Onbekend,Uitzendbureau en Detachering
11706,9351VG,Formerum,Netherlands,,+31 58216 00 57,+31514 604226,Actief,Klant,,Groningen,Europe,Handel en Transport,
11718,8601 WC,LEEUWARDEN,Netherlands,,+31 50 571 84 55,+31 58216 00 58,Referentie,Klant,112338151,Friesland,Europe,Handel en Transport,
11755,1431 GE,FRANEKER,Netherlands,,+31 512 58 79 00,088 353 539 9,Actief,Klant,285010417,Friesland,Europe,Industrie en Productie,
11651,3511LH,LEEUWARDEN,Netherlands,,+31 512363400,+31 513 46 50 30,Actief,Klant,341727830,Noord-Holland,Europe,Industrie en Productie,
126211,8938 BA,KOOTSTERTILLE,Netherlands,NL009812349B01,0594 645240,+31 512 53 30 45,Referentie,Klant,,Friesland,Europe,"Bouw, milieu en architect",
203783,9074 CK,LEEUWARDEN,Netherlands,,(0517) 39 32 31,+31 50 820 03 17,Referentie,Klant,,Friesland,Europe,Detailhandel,
211103,8933 AD,STROOBOS,Netherlands,,+31 58 233 99 66,,Referentie,Klant,,Friesland,Europe,Industrie en Productie,
126215,9202 PC,HARLINGEN,Netherlands,,0566-629 700,0513-657 019,Actief,Klant,,Friesland,Europe,Zakelijke dienstverlening,Accountancy en Administratie
11692,8801 PK,LEEUWARDEN,Netherlands,NL806350672B01,+31 58 294 85 33,043-352 1718,Referentie,Klant,,Friesland,Europe,Industrie en Productie,
901844,9203 CC,SURHUISTERVEEN,Netherlands,,050-3098888,058 - 212 02 02,Referentie,Klant,,Friesland,Europe,Zakelijke dienstverlening,
203814,9285 ZV,HALLUM,Netherlands,NL807258027B01,0515-438 979,0512-335 090,Actief,Klant,NL40ABNA0551921595,Friesland,Europe,Woningbouw vereniging,
203568,9681 AC,JOURE,Netherlands,,0562-448800,+31 517 43 25 26,Actief,Klant,,Limburg,Europe,Onderwijs,
200054,9001 XW,SNEEK,Netherlands,,+31 518432041,0597- 55 29 24,Actief,Klant,,Friesland,Europe,"Bouw, milieu en architect","Recreatie, Entertainment en Horeca"
203225,8263 AH,HEERENVEEN,Netherlands,,+31 513465 000,(0517) 39 70 80,Referentie,Klant,,Friesland,Europe,"Bouw, milieu en architect",
203362,8912 AC,HEEG,Netherlands,,+31 561693366,0515-432399,Referentie,Klant,,Friesland,Europe,Gezondheidszorg,
11768,9723 ZM,DRACHTEN,Netherlands,NL801269209B01,+31513-640 146,0512-530 195,Referentie,Klant,677771495,Friesland,Europe,Detailhandel,
126135,8701 WS,DRACHTEN,Netherlands,NL803632691B01,+31320 800000,0515-438 978,Referentie,Klant,,Friesland,Europe,Industrie en Productie,"Recreatie, Entertainment en Horeca"
200181,8926 RA,BURGUM,Netherlands,,31512331333,0297-326687,Actief,Klant,,Friesland,Europe,Zakelijke dienstverlening,
902682,9207 AM,ALKMAAR,Netherlands,,+31 582126829,,Referentie,Klant,,Friesland,Europe,SW bedrijf,
200888,9728 NP,LEEUWARDEN,Netherlands,,+31 58 288 28 80,0519-220302,Referentie,Klant,,Friesland,Europe,Handel en Transport,
200849,8442 CW,ELAHUIZEN,Netherlands,,0516-431 672,,Actief,Klant,,Friesland,Europe,Non-Profit,
200163,9206 AJ,DRACHTEN,Netherlands,,+31512517 720,,Referentie,Klant,,Friesland,Europe,Onderwijs,
11622,8913 CJ,HALLUM,Netherlands,NL809992760B01,+31 58 284 77 84,+31 511 46 57 55,Referentie,Klant,,Groningen,Europe,Industrie en Productie,Accountancy en Administratie
11766,8421 RN,DRACHTEN,Netherlands,,+31513657 010,0511-462290,Referentie,Klant,290217822,Friesland,Europe,"Bouw, milieu en architect",
200764,9103 ST,DRACHTEN,Netherlands,NL008237360B03,+31 527698020,+31 512 58 79 79,Referentie,Klant,,Friesland,Europe,"Bouw, milieu en architect",
11773,9100 AB,SINT ANNAPAROCHIE,Netherlands,,+31 519220616,+3188 - 400 45 01,Referentie,Klant,,Friesland,Europe,Zakelijke dienstverlening,"Recreatie, Entertainment en Horeca"
11662,8304 BC,DRACHTEN,Netherlands,,043-850 7009,058-2157 650,Referentie,Klant,,Groningen,Europe,Handel en Transport,
11609,8447 SM,Nieuwegein,Netherlands,,+31 594 67 75 77,+31 72 576 07 41,Referentie,Klant,,Friesland,Europe,Advocaten,
204808,9076 PT,LEEUWARDEN,Netherlands,,0515- 44 25 47,(0517) 39 33 00,Actief,Klant,,Friesland,Europe,Zakelijke dienstverlening,
901859,9074 AG,EMMELOORD,Netherlands,,+31 58 294 89 58,0512-542 122,Actief,Klant,,Friesland,Europe,Handel en Transport,"Recreatie, Entertainment en Horeca"
11769,8914 BD,LEEUWARDEN,Netherlands,NL804933248B01,+31 58 843 50 10,(0512) 35 13 75,Actief,Klant,,Friesland,Europe,Handel en Transport,
126157,9231 HV,ZEVENHUIZEN GN,Netherlands,NL803962897B01,+31 72 576 07 40,+31 511-462131,Actief,Klant,576117277,Friesland,Europe,Gezondheidszorg,
11636,3435 CB,KOUDUM,Netherlands,NL801969852B01,058-2130 305,058-253 14 40,Referentie,Klant,,Groningen,Europe,SW bedrijf,
902043,9288 GB,Lelystad,Netherlands,NL809479394B02,+31 582129088,+31 513 62 34 80,Referentie,Klant,,Friesland,Europe,Handel en Transport,Accountancy en Administratie
202590,8471 ZA,JOURE,Netherlands,,+31 518 43 82 00,0514 52 24 01,Actief,Klant,,Friesland,Europe,Handel en Transport,
11611,9354 AP,Buitenpost,Netherlands,NL001905557B01,+31 512 335 000,+31 518431731,Referentie,Klant,,Friesland,Europe,Handel en Transport,
200385,8914 BE,LEEUWARDEN,Netherlands,,+31 58-2158999,+31 518 40 98 09,Actief,Klant,126778604,Friesland,Europe,"Bouw, milieu en architect",Accountancy en Administratie
126174,9051 VD,Utrecht,Netherlands,,+31 515 44 24 97,,Actief,Klant,,Utrecht,Europe,Zakelijke dienstverlening,
11713,8448 CL,BURGUM,Netherlands,NL808286596B04,+31 511 46 02 50,058-2136350,Actief,Klant,,Friesland,Europe,Groothandel,
11739,8723 CE,BOLSWARD,Netherlands,,+31 512 53 30 36,(0518) 40 93 99,Referentie,Klant,,Flevoland,Europe,Zakelijke dienstverlening,
11644,9727 DL,DOKKUM,Netherlands,,+31 582574030,,Referentie,Klant,320982300,Friesland,Europe,Handel en Transport,
202594,9101 BE,MIDWOLDA,Netherlands,,+31 512 51 93 34,0512-549 416,Actief,Klant,,Friesland,Europe,Zakelijke dienstverlening,
12360,8924 JJ,LEEUWARDEN,Netherlands,,+31 88 400 45 00,0519-220 052,Referentie,Klant,285000101,Friesland,Europe,Zakelijke dienstverlening,"Reclame, Uitgeverij en Drukkerij"
902172,9864 PG,TERWISPEL,Netherlands,NL004664991B01,0518 - 401000,0512 363 694,Referentie,Klant,,Friesland,Europe,Zakelijke dienstverlening,
11681,9288 CA,DRACHTEN,Netherlands,,+31 516 45 14 51,0527-699 405,Actief,Klant,,Friesland,Europe,Handel en Transport,
11702,8621 CZ,LEEUWARDEN,Netherlands,,+31 519228100,,Referentie,Klant,,Friesland,Europe,Zakelijke dienstverlening,
203717,8621 CZ,LEEUWARDEN,Netherlands,,+31 512520385,,Actief,Klant,,Friesland,Europe,Industrie en Productie,
901247,8938 AT,LEEUWARDEN,Netherlands,,0515-445 530,(0512) 51 93 80,Actief,Klant,,Friesland,Europe,Groothandel,
11629,8862 SE,LEEK,Netherlands,,31,(0527) 61 77 79,Referentie,Klant,,Friesland,Europe,Industrie en Productie,
200575,8914 BD,DRACHTEN,Netherlands,,+31 517393939,0512-365 190,Referentie,Klant,,Friesland,Europe,Groothandel,
11626,9251 EG,LEEUWARDEN,Netherlands,NL802879780B01,+31 36 547 22 99,,Referentie,Klant,,Friesland,Europe,Groothandel,
11686,9101 PE,Leeuwarden,Netherlands,NL810962974B01,+31 515 57 44 48,+31 515 30 58 10,Actief,Klant,,Overijssel,Europe,Groothandel,ICT
204879,8938 AP,SINT ANNAPAROCHIE,Netherlands,,+31 517 43 25 25,,Referentie,Klant,,Flevoland,Europe,Handel en Transport,
11870,8445 PK,SUMAR,Netherlands,,+31 597551416,(0513) 63 12 12,Referentie,Klant,561550336,Flevoland,Europe,Handel en Transport,
210338,8926 RA,LEEUWARDEN,Netherlands,,(0511) 54 81 11,0512-351 690,Actief,Klant,,Friesland,Europe,Industrie en Productie,
12586,8431 NG,WOLVEGA,Netherlands,NL807175092B01,0527-698 020,0512 - 332099,Referentie,Klant,,Friesland,Europe,Handel en Transport,
204770,9206 AS,LEEUWARDEN,Netherlands,NL804932542B01,0519-554 366,0513-640 487,Actief,Klant,,Friesland,Europe,Industrie en Productie,
11679,8894 KX,GRONINGEN,Netherlands,,058-215 73 65,+31 58 294 89 68,Referentie,Klant,,Friesland,Europe,Industrie en Productie,
126133,9076 PT,Aalsmeer,Netherlands,NL806539860B01,+31 513 65 01 11,,Actief,Klant,,Friesland,Europe,Zakelijke dienstverlening,
11950,9202 PE,HALLUM,Netherlands,,+31 515 57 82 00,058 280 22 30,Referentie,Klant,,Friesland,Europe,Handel en Transport,Uitzendbureau en Detachering
206716,8606 VP,HEERENVEEN,Netherlands,,+31 512 38 07 09,,Actief,Klant,,Friesland,Europe,Onbekend,
902217,8911 DD,HEERENVEEN,Netherlands,,+31513 631355,0527-699405,Actief,Klant,,Friesland,Europe,Detailhandel,
12585,8932 NT,OOSTERWOLDE,Netherlands,,+31512 35 13 33,0561-693 377,Referentie,Klant,NL61ABNA0417102178,Friesland,Europe,Onderwijs,
11691,9203 KL,KOOTSTERTILLE,Netherlands,NL802386799B01,(0518) 40 93 93,+31518-432 204,Referentie,Klant,,Friesland,Europe,Handel en Transport,
902703,9363 TC,Maastricht- Airport,Netherlands,,+31 515429999,058-2561471,Actief,Klant,,Friesland,Europe,Onbekend,
208263,9871 PA,LEEUWARDEN,Netherlands,,+31 058)256 52 00,+31 58 215 76 42,Referentie,Klant,,Friesland,Europe,Groothandel,
201114,6199 AA,DOKKUM,Netherlands,,+31 594 64 53 21,,Referentie,Klant,,Groningen,Europe,"Bouw, milieu en architect",
11657,8501 ZA,DRACHTEN,Netherlands,,+31 58 280 40 56,+31512-525969,Actief,Klant,,Friesland,Europe,"Bouw, milieu en architect",
902689,8701 XD,NES,Netherlands,,(058) 267 79 55,+31 512 38 55 16,Actief,Klant,,Friesland,Europe,Zakelijke dienstverlening,Bank en Verzekeringen
11701,9251 ME,GROU,Netherlands,,+31 58 2991155,(058) 267 79 66,Referentie,Klant,,Groningen,Europe,Overheid,
901496,8501 XP,SURHUISTERVEEN,Netherlands,,+31 511462525,0518 - 402876,Referentie,Klant,,Friesland,Europe,Zakelijke dienstverlening,
11621,8606 WC,SNEEK,Netherlands,,+31297 380911,058-215 73 36,Referentie,Klant,677815840,Friesland,Europe,Groothandel,
201050,9074 TJ,DRACHTEN,Netherlands,,+31 50 364 34 09,+31 515 44 35 36,Referentie,Klant,,Friesland,Europe,Industrie en Productie,
11714,9206 AJ,DOKKUM,Netherlands,,0512 - 334444,0566-623 471,Actief,Klant,445381035,Friesland,Europe,Detailhandel,
11604,9163 JV,HEEG,Netherlands,NL008936389B01,+31 383315944,+31 513653560,Actief,Klant,,Friesland,Europe,Industrie en Productie,
208868,8243 PD,KORNHORN,Netherlands,,+31 883535353,0515- 44 35 50,Referentie,Klant,,Friesland,Europe,Woningbouw vereniging,
201119,9231 GR,SNEEK,Netherlands,,+31594-631391,+31 515 57 56 87,Actief,Klant,,Friesland,Europe,Groothandel,
202595,9262 ND,KAMPEN,Netherlands,,31,058 215 77 87,Referentie,Klant,,Friesland,Europe,"Bouw, milieu en architect",
202632,8304 BJ,DOKKUM,Netherlands,NL009498497B01,+31 511-461212,+31 594 67 75 58,Actief,Klant,,Friesland,Europe,Industrie en Productie,
