unknown,postcode,city,house_number
10367676261.0,2133 DK,ZUIDWOLDE,31
9189664123.0,1086 VG,AMSTERDAM,70
10042677301.0,8014 JV,ROTTERDAM,72
10878672480.0,9726 GM,AMSTERDAM,171
11271680875.0,2521 SW,UTRECHT,5
9135673501.0,2134 EG,DE KWAKEL,80
9417680322.0,6523 LN,AMERSFOORT,1
12920675028.0,1834 TG,DOETINCHEM,34
10357611046.0,5045 DP,AMSTERDAM,20
10256678672.0,3068 GL,SCHIEDAM,53
9178665179.0,2141 MA,HAARLEM,8
13134680737.0,1071 RW,ZETTEN,129
8535662178.0,2134 VX,WADDINXVEEN,18
12183674697.0,3893 JH,MIDDELBURG,35
12476628274.0,1111 GA,HILVERSUM,37
9711664330.0,5482 HJ,ROTTERDAM,2
9260613808.0,2931 GP,EINDHOVEN,62
9125611207.0,6913 KH,BORNE,13
10360665237.0,2726 JM,HAPERT,135
10284671472.0,2901 GH,HILVERSUM,12
12161665072.0,2314 BL,NIEUWEGEIN,412
12147663879.0,3513 EW,AMSTERDAM,82
11480671390.0,8261 CE,ALBLASSERDAM,9
13029674235.0,1405 AS,'S-GRAVENHAGE,759
8882679144.0,1447 NJ,ALMERE,33
11501629848.0,1072 KW,PAPENDRECHT,31
9328662440.0,1338 RK,'S-GRAVENHAGE,25
8464618948.0,3951 WX,AMSTERDAM,21
8005628335.0,1402 GE,ROTTERDAM,72
8819675864.0,1171 EM,WASSENAAR,13
9150641749.0,8043 VJ,EINDHOVEN,18
13351674583.0,3581 PD,ASSENDELFT,128
8545642459.0,1096 HV,AMSTERDAM,13
11735618727.0,4849 PJ,OEGSTGEEST,106
11427680025.0,2911 GB,AALSMEER,9
8463665681.0,3067 KS,ZALTBOMMEL,70
11911670152.0,5629 PG,ROTTERDAM,2
11316677648.0,9501 AC,AMSTERDAM,8
10804675020.0,4007 NE,HILVERSUM,290
10211673215.0,1411 ER,BADHOEVEDORP,22
10757680847.0,1072 SM,LEKKERKERK,8
10377628219.0,5211 SK,ALMERE,98
13348673229.0,3071 LG,DE HOEF,137
9065664457.0,3723 LG,'S-GRAVENHAGE,375
12244665808.0,3552 VC,ZEELAND,18
11186668046.0,2317 NW,EMMELOORD,118
11656674205.0,3605 MD,ZAANDAM,14
10327680718.0,2242 EB,LOENERSLOOT,28
9358674525.0,3067 DZ,'S-GRAVENHAGE,5
12173678769.0,5133 CP,HAARLEM,7
12719660418.0,3319 GT,BREUGEL,32
12433671192.0,1566 RT,'S-HERTOGENBOSCH,20
8887679757.0,2253 CS,'S-GRAVENHAGE,57
13535679913.0,1689 PB,AMSTERDAM,208
9866679492.0,2594 BJ,AMSTERDAM,122
13571667187.0,5038 VE,STRIJEN,13
13123673486.0,3063 NB,ZWOLLE,41
10133669965.0,2914 PN,AMSTELVEEN,84
13524678163.0,2035 RH,WEESP,5
9647668740.0,5709 AW,AMSTERDAM,284
13160680492.0,2314 CW,HAARLEM,31
9416680243.0,6715 EG,ROTTERDAM,6
10410652084.0,3573 PN,DORDRECHT,95
8246641793.0,1412 GP,AMSTERDAM,5
9674672619.0,1062 XK,AMSTERDAM,8
12764676199.0,9718 JS,ZWOLLE,33
8045675137.0,6418 NH,ROTTERDAM,9
12461679948.0,1083 DB,UTRECHT,106
9373628410.0,8042 MP,UDEN,9
9922676567.0,1338 PG,BENNEKOM,40
9284641353.0,1015 HM,BARENDRECHT,84
13569679500.0,2311 TJ,NIEUWE TONGE,4
8677676816.0,6932 AE,NOORDELOOS,72
12069640322.0,1033 DL,LEIDSCHENDAM,43
9745672761.0,3553 BC,HILVERSUM,308
8168675185.0,1093 SJ,AMSTERDAM,19
8235611049.0,5616 AH,NIJMEGEN,424
12274669884.0,1422 GJ,HEERJANSDAM,25
11412679294.0,3511 GN,WIJCHEN,33
9081627121.0,1018 CG,ROTTERDAM,28
11088673209.0,3511 NN,LEIDEN,4
9327680978.0,9741 EW,UTRECHT,462
11496677585.0,2141 TD,ALPHEN AAN DEN RIJN,157
12043624936.0,3531 GM,ZOETERMEER,65
12566675489.0,5582 BS,PUTTERSHOEK,26
11139642647.0,1186 GR,BERKEL EN RODENRIJS,48
13314663784.0,7451 EZ,'S-GRAVENHAGE,86
11305680946.0,8225 KG,BILTHOVEN,29
11348640455.0,5017 HB,UTRECHT,44
12318675403.0,2716 HW,CAPELLE AAN DEN IJSSEL,13
8562667234.0,1107 RH,ALMELO,122
9232679160.0,3531 BN,ZAANDAM,320
11880680762.0,4873 HT,AMSTERDAM,45
9542678493.0,4112 LA,AMSTERDAM,101
12723640731.0,1834 DC,RHOON,46
13156675727.0,2991 DK,UTRECHT,44
11961628166.0,2324 LW,WEERT,29
11765622529.0,2498 EA,VLEUTEN,18
13115641136.0,7314 LL,AMERSFOORT,8
10196651246.0,4461 LK,WORMERVEER,397
13017629782.0,1055 VJ,BAARN,161
8441652074.0,1852 EL,UTRECHT,128
13315667934.0,6245 CB,BREDA,2
11523664955.0,1079 MK,HOOFDDORP,10
11738650319.0,1097 HT,HEDEL,6
11620675227.0,1321 SE,AMSTERDAM,27
11903677649.0,3581 TP,AMSTERDAM,170
13142339091.0,6067 EG,TILBURG,2
8101680475.0,2751 CL,AMSTERDAM,16
12375670774.0,3063 KL,AMSTERDAM,23
11847611175.0,1188 EJ,HELLEVOETSLUIS,4
9630640493.0,5801 MN,AMSTERDAM,28
8236669722.0,3437 JN,HELLEVOETSLUIS,28
12887681039.0,1272 EG,TILBURG,2
9599667642.0,8043 KC,VOLKEL,33
11739650319.0,3012 AK,TILBURG,68
9403678322.0,2313 GZ,VLAARDINGEN,122
8692626370.0,2318 ZA,NOORDELOOS,618
12125678681.0,3055 PH,PURMEREND,93
13112641955.0,2596 TV,ZAANDAM,10
11596667558.0,6841 KB,IJSSELSTEIN,49
9833676230.0,4691 HJ,CAPELLE AAN DEN IJSSEL,22
8731677473.0,3602 XN,ROTTERDAM,203
10663667533.0,2311 HE,UITHOORN,70
10103641872.0,2132 TZ,BLOEMENDAAL,283
10474662573.0,1078 DV,AMSTERDAM,9
11416680216.0,1055 EM,DORDRECHT,87
8740674699.0,3454 VP,AMSTERDAM,123
10870677270.0,5261 CK,AMSTERDAM,36
8478665733.0,2801 WV,AMSTERDAM,46
13007152153.0,2552 ZW,UTRECHT,13
9018678134.0,1079 JH,NIEUWER TER AA,33
9746673332.0,5043 MD,AMSTERDAM,112
11888670170.0,6828 BZ,ZELHEM,108
13147665186.0,3038 AW,AMSTERDAM,20
8351680138.0,5664 PC,AMSTERDAM,50
12464668131.0,3011 MZ,AMSTERDAM,29
13010679318.0,1474 JL,'S-GRAVENHAGE,23
12441680783.0,1185 DA,HARDERWIJK,9
12324622427.0,1018 NB,VOORBURG,2
10295677618.0,3562 JB,AMSTERDAM,25
8736675812.0,3824 JP,ROTTERDAM,12
11905679826.0,3055 NH,LOPIK,385
8359666947.0,3705 AK,AMSTERDAM,27
12164668064.0,3543 CB,AMSTERDAM,9
9539678223.0,5987 AK,AMSTERDAM,16
12743626775.0,3054 EL,AMSTERDAM,60
10594676985.0,3063 GG,TILBURG,145
11264676148.0,5801 PV,UTRECHT,13
8301670531.0,1078 GB,WERVERSHOOF,25
10005623306.0,2987 CX,UITGEEST,180
12639622399.0,6534 WE,NIJKERK,65
12620679583.0,2262 EM,AMSTERDAM,373
9439675755.0,3708 CR,ROTTERDAM,368
11045670205.0,4701 GP,HILLEGOM,226
9094651700.0,1211 JD,AMSTERDAM,231
