unknown,unknown,unknown,postcode,city,country,telephone_nr,sbi_code,unknown,unknown,unknown,unknown,unknown,unknown,date,unknown,legal_type,date,date
4468,EE3EE533-CCB5-4C7E-8D92-4910A63358CD,958745,1013 NH,DIDAM,NL ,070 3378 300,-         ,Prospect,CANE,F9E74580-D7D5-4550-8BEA-B224A562D9B1,,,,2014-03-13 00:00:00.000,247B7552-3EE8-4E4B-B972-BECC43E5C315,,,
5930,A480A883-BD1E-4E65-9D46-F5AE92F30AA7,957791,1625 NW,Haarlem,NL ,+31 76  8000000,-         ,Prospect,CANE,7B0EBEA7-F5CF-47F2-A920-28C6A10B42F5,,,,,7CD07D35-EE17-4514-879B-967856B36025,,,
4286,79558616-FEBE-47E5-8A61-2111CA99676E,958557,6721 TE,,NL ,0228 - 351900,UNKNOWN   ,Supplier,CANE,E7CD41E7-57AB-4AEB-AE30-7092BBF78F76,,,,,A1B176FB-6255-4480-AA26-1EB27DC3BFA2,,,
4432,DFF2E9B8-630D-4381-9DF9-43968ADC6107,140,5916 NX,Amsterdam,NL ,0523-616876,-         ,Customer,CANE,AFF1844D-2F50-447A-BB50-C22D8D9B9128,,,,,11A6757B-7DD4-46EE-8E0A-209A3EEA896B,,,
4789,0FD87AFE-4E02-43C5-9137-12AE244FEDF5,232,4133 CT,Hoofddorp,NL ,030-2281549,UNKNOWN   ,Prospect,CANE,07170806-E0CA-410E-8413-1DF32323EC44,,,,,BF669E41-1897-4848-8055-815536E1EF94,,,
4580,88FA3980-790D-4568-B5B9-5D5090DCD6D8,956733,1016 DK,Boxmeer,NL ,06-52468072,-         ,Supplier,CANE,45296D33-BAF1-4C0A-B54B-93AE0889809C,,,,,22AC982A-5E41-49A0-B060-9447CDAF1218,,,
6861,6F521DE3-E98D-4D4A-A940-84EE9D508494,204319,3628 EX,BAARN,NL ,06-52473240,-         ,Suspect,CANE,52ABE578-E8B0-49D1-BF74-27305E18A959,,,,,BBA08CFF-3695-4031-A54F-5AE2CBE8D82C,,,
1685,77020708-5AB4-41F8-BFA7-985FA8D2E134,23350,6545 CA,BAARN,NL ,033-4641411,-         ,Customer,CANE,A7683BF9-6A9C-4E30-89E3-4723AA64A810,2049841.0,,,2015-10-15 00:00:00.000,83F66CFE-E396-416B-AAE4-656E68E12672,,,
1208,3F0526F4-5713-4EBE-B33A-6692AA308747,958699,1016 LV,Zevenaar,NL ,,UNKNOWN   ,Associate,CANE,7E283B4F-63CB-4330-B35F-47EF5D898B5B,,,,,BC12A94C-F935-43D0-B20A-DE98A0ED10C7,,,
3482,B5CC2771-8FA1-4203-AF7C-3D5AAC8BC2C9,958347,8004 DB,Utrecht,NL ,070-3907274,-         ,Customer,CANE,BDAAA96E-E8AA-408B-87A8-90880DF462D0,,,17378001.0,,17628B26-A4FF-4041-83FF-38200ED00E3D,,,
772,AFF27CDF-8289-4E09-B976-8DF1C35278CA,201714,9675 KP,SPIJKENISSE,NL ,06-10400683,-         ,Lead,CANE,89DC9CC6-5E47-4C74-BDA1-FA631645C765,,,,,A21D645C-9097-455E-92D6-C072A26C64CD,,,
1079,E9A5EC8C-4042-43F4-B7B3-815072997F1A,10074,7102 DZ,SINT PANCRAS,NL ,0900-2020722,-         ,Supplier,CANE,0DDA38C1-3805-4379-8609-4DCAAAEE74C2,,,,,FCBC874A-1837-4570-8126-59D132A1A156,,,
3976,192CF7A1-2C7F-4E6B-BF08-ADB50DB4B658,959305,,Weesp,NL ,0123 123456,-         ,Prospect,CANE,0DFBC2CE-B2BE-494A-933D-AE8FABD7B327,,,,,7D094BC0-AAE0-4668-B675-43193CFCCE01,,,
6866,47366EA5-22A8-4261-B0F5-1A25099C3F3B,201919,4105 WL,Denekamp,NL ,06-41297717,-         ,Customer,CANE,BB851A2D-ECDB-4388-83D4-F26F42526CBF,,,,,C18804E5-D162-48A5-93A8-286E483D80F7,,,
5548,2FC58DD0-1E28-4EB1-AAA7-53269FF19D9D,201654,1382 KN,Haarlem,NL ,0184-618411,-         ,Prospect,CANE,E8D1B097-F6AE-4CBC-B615-C67CF64FFE58,,,,,12A861F3-36D7-4ACB-8C5C-82D1E8F24542,,,
1325,27CCFE35-6220-42CB-B83A-0FD98805A6A1,204331,7471 JM,'s-Hertogenbosch,NL ,020-3652200,UNKNOWN   ,Suspect,CANE,1E3DACA6-F1AE-4BB4-BC1B-99433F2153A7,,,,,48C8E1D6-70C4-4D5A-BE63-DC076D771613,,,
2547,ED528662-5881-49B2-A75D-0C59E44D9E52,958610,3768 HA,Nieuwegein,NL ,030-2238383,-         ,Associate,CANE,7CCFB171-3026-4019-9C35-A9A5D92A1234,,,,,6F75F2DE-C482-4F45-B4B8-4DE61713BDBB,,,
6588,BDEDDC8D-917C-40F5-A158-BF4BA8122A96,956948,7391 TC,Harderwijk,NL ,030-2808500,-         ,Prospect,CANE,CE565AC5-71DC-4760-8A5A-88D5478C3602,24360445.0,,,,89901641-10F5-4165-9D7A-EC71D176AE20,,,
3872,D04D14B7-E939-42D0-920B-0184E2703D8F,134435,3601 NA,IJHORST,NL ,0525 686205,N         ,Customer,CANE,C18804E5-D162-48A5-93A8-286E483D80F7,,,,,D951D4E9-C70F-46C1-9F1C-2EEAE6EF9E85,,,
3194,100C8477-94ED-429C-97CF-7AFF33A058C2,10347,7336 AR,HEINO,NL ,010 4622540,-         ,Prospect,CANE,BC78BBC5-D98A-44E4-A501-E3AC2425330C,,,,,80AEC281-D1F3-4559-83C5-997067989353,,,
2898,95750DD7-5D5A-4BD8-81CE-33390584E5BC,957206,2516 BC,Duiven,NL ,06-19786283,-         ,Lead,CANE,377F751D-74B7-462B-B9B1-0BDD22BF35DE,,,,,D72BBF84-922F-42C8-84DB-9B11537BCAD4,,,
5121,4DEF6510-633D-4B45-8102-4734851DE949,958857,,Utrecht,NL ,0227 50 40 30,UNKNOWN   ,Suspect,CANE,A5632944-5E3E-4126-A52D-7EBD9A446455,,,,,12A933C8-AB2C-4527-B8CE-C912FA279CDA,,,
6966,47504FDC-3807-4309-99D7-E76BDCB233F0,204366,3352 TH,Rotterdam,NL ,026 442 93 00,UNKNOWN   ,Customer,CANE,DB8AF212-5AFB-4493-97AB-4EC408889568,,,,,FF79F3CF-CD7C-4FE6-AEAC-72194F0E3509,,,
4752,2B7DBADC-3714-450B-BEBB-81B2382975BD,10109,2162 VS,Unknown,NL ,+31 (570) 621277,UNKNOWN   ,Customer,CANE,458612DD-62C9-4CFC-AE7E-DA38862A961F,,,,,66778600-CC14-4B36-BAB2-6CB640A48BD9,,,
2513,F217F572-BEA4-4791-B1F1-13B69A422DED,4054,3433 EC,,NL ,0522-240082,-         ,Prospect,CANE,27CCFE35-6220-42CB-B83A-0FD98805A6A1,,,,,4566FE1E-F064-430F-8FBC-14CFF4E6DE9F,,,
4763,8C576F1F-4522-4524-8144-782E9F08D6F9,11433,,Udenhout,NL ,06-4428111,UNKNOWN   ,Supplier,CANE,42C9BA61-13B9-4BC3-AE2E-7BCA88251325,,,,2012-10-18 00:00:00.000,315ED9F0-B52F-49EC-AE31-DA296DBB8AA8,,,
1951,E72209A8-3416-47BC-AB5F-EEC569A76B90,6905315,3981 AA,Hoevelaken,NL ,,UNKNOWN   ,Prospect,CANE,F783121C-FC53-4554-9578-E1A59707AC47,,,,,585BD5B8-D975-400E-9A92-197BEB3FAABC,,,
1747,AA3A725F-B1E9-4E7A-8EC0-D498F544AE9C,400684,1078 AL,Veenendaal,NL ,078-6101000,-         ,Customer,CANE,93271FBA-2A1F-4981-A171-3B52D363BFEF,,,,,67826FFB-5723-4802-90DB-742C03DB7AE4,,,
6544,FA7FEF32-F812-4B73-BAE7-4100DD3D31C6,205299,3430 JE,,NL ,053-4615055,-         ,Customer,CANE,10E3BAFE-1154-4821-B8A2-FF1461FC9044,,,,,2C6F112A-0523-41AC-9EC8-EFF6A0526BC8,,,
5531,198BBC98-3285-45D4-949F-783AE5109921,133915,,Twello,NL ,024-3820500,N         ,Associate,CANE,9EF60C6D-A4AE-4B82-A648-3BAE18B69CE2,,,,,9525DD91-A62C-4E09-B33F-6FA804796F83,,,
1137,5CFACF34-B0D1-4E4A-9B1B-38F02FB5F7EB,174,3882 MB,Lichtenvoorde,NL ,015  2600495,-         ,Prospect,CANE,C2572F26-8BE3-4152-96AD-FB9D70DDCA26,,,,,623D3C29-0628-45D6-9AD2-571BDB453FDD,,,
6307,2E0AC301-A33C-4E7B-859B-1FE3FCEC2815,4116,3993 HN,MALDEN,NL ,033-2533227,-         ,Customer,CANE,8A0A5CEA-81D2-49DC-9671-CA48A2BB2C71,,,,,EC5EA64A-97FB-4DD4-96D4-D92EA555B7A0,,,
3708,B5A93C8C-5D03-49AD-9AEA-7E850F96EB16,959168,,Gemert,NL ,,UNKNOWN   ,Lead,CANE,56AB0A71-C227-4B9F-BAF0-E486FBECA0DA,,,,,26F4E51C-B606-47EF-BE75-5366B6F6A02F,,,
3581,173F2D0C-798F-4020-A2C1-E87DC01E6EEF,956257,1075 AK,Oostzaan,NL ,,-         ,Prospect,CANE,ED65752B-5891-4BD5-8596-AC441BD60902,,,,,66FD00E0-55C4-42E8-89CA-2B80F3A0AEB9,,,
6689,78012F04-4DD3-449B-A24E-CB8D10F6DBC0,956680,3011 TA,Den Haag,NL ,06-41165111,UNKNOWN   ,Customer,CANE,104AEEE7-BA40-4168-8CB3-AA75608D8DAD,33267823.0,,,,8D7B9F3D-92DD-4D40-8121-B50DFA9CDA32,,,
2155,5DC276F5-9E76-45C4-A0CD-FA6ECBB23E7A,956747,2153 GB,,NL ,035-5480500,-         ,Prospect,CANE,446F6AA5-1F5E-4512-9DF0-2659A4B8E360,,,,,8BB4A578-678F-490B-A9F2-BAE4CA3D1D1A,,,
5126,2DC90FA8-2C39-461C-8605-B7DFA427D815,958147,7121 MJ,Purmerend,NL ,050-3081184,UNKNOWN   ,Customer,CANE,288A6B3F-6077-498B-85F3-3266876B46C0,,,,,253D23E1-F657-4405-9549-8A9074FA8413,,,
154,3D6F5C3F-3F2C-4565-85AA-D4CC80E0D2BB,959515,2031 EM,LEUSDEN,NL ,030-2933877,UNKNOWN   ,Supplier,CANE,F5241217-A730-4A75-951E-4203238D45A8,,,,,D16778B3-B102-4538-BE44-1E3720245AA6,,,
1611,1606E13A-4B66-42E4-A42C-C8C1686267AC,959672,1071 NV,Enschede,NL ,0575 547699,UNKNOWN   ,Customer,CANE,0FEA3349-1479-41CD-8BB7-7A7D062E7668,,,,,E5AFFBBE-EB49-47E4-9387-0179BA14A364,,,
6059,DDC37154-8298-4BC2-8241-32E740E25ACF,956461,3451 HG,ALMERE,NL ,030-6004040,UNKNOWN   ,Customer,CANE,84B84B1A-172C-4406-AD0A-A8B6AB173B3C,,,,,FD14A9EE-1A18-48C6-9B01-013B61E7B83B,,,
2406,8328E358-2428-4730-9C15-669F563A8F21,11422,7391 TM,,NL ,,-         ,Customer,CANE,DB0DF001-30D9-4D2D-B5D9-6DE3A0C7BF95,,,,,D4DDD7E9-40D7-4B9B-8966-40E7659FF8CA,,,
145,4B38A8A1-3312-4FE5-BFE3-57A8B9E153B6,204087,1277 BJ,Amsterdam,NL ,035-6461046,UNKNOWN   ,Supplier,CANE,FAA446B2-943F-47CA-8072-B768E07F9C69,,,,,678ACD32-D304-4EC8-92DD-0BB6517D8B09,,,
6347,F1579C00-1B8C-412E-AE4B-B95B020FE1DE,4369,5231 XS,Diemen,NL ,020-5891400,-         ,Customer,CANE,5D23E2FC-1FF0-49CD-8C0F-F9CF5A2561F6,,,,,24AB8465-8998-4C41-A92D-D563B0661CD9,,,
2079,3D3F6D64-9224-4AA0-9758-251FBA14822E,6905820,39100,Zeist,NL ,0320-244536,-         ,Supplier,CANE,46648FDE-40B6-4552-BE5A-2E0965E1BB95,8135975.0,,,2013-04-25 00:00:00.000,1B9974D9-AD32-480C-9318-69F4AF1B5EA2,,,
735,2B393E9F-FF97-4693-AE62-FB4EEF224CE8,6905680,3903 LT,Schiphol,NL ,0525-683751,UNKNOWN   ,Customer,CANE,4BC61C7A-C53B-4A43-BF3D-027BB35C3CF0,,,,,E894448D-ED9A-4BC7-B872-BC7E54FDD534,,,
7048,3B49C8FD-66B8-4B72-A8A3-830B48F3C833,957654,8011 XS,Oosterhout,NL ,0299 675178,-         ,Customer,CANE,79FED157-3C69-440E-BA3A-8CE8F0FE836E,,,,,2B6AA83E-9234-487E-8908-E9E18BEC4D6E,,,
1271,D3C7E37C-1825-47FF-88AE-754EA395E785,956338,9727 DL,Amsterdam,NL ,010-4840693,N         ,Customer,CANE,C766B4A2-5A67-4859-8120-0CA9F0ABE3F0,,,,,2FD750CF-3D26-4735-B94F-A163E9E2EB09,,,
2032,391ED64D-47CA-4317-9F6D-D69413B74A6E,202564,2031 AS,Dordrecht,NL ,079-3222000,-         ,Reseller,CANE,96E68EDB-90BB-45CF-9C87-97078A10EA27,,,,,292133DD-EE3C-4391-896C-2D23D7C63916,,,
66,FCB9D0F3-73C8-4BCB-9BCD-083FF919A048,600031,2316XB,Capelle aan den IJssel,NL ,,-         ,Customer,CANE,FA304CBF-9DB2-4472-A0A1-BBA2F7440B1A,,,,,3EF04A08-CD0A-477C-833F-2129E5085648,,,
115,DA0D4D59-03C8-477B-B475-700ACA5057A9,10412,2153 GB,Bennekom,NL ,06-27885734,UNKNOWN   ,Supplier,CANE,31BE9FFF-202A-43A6-8683-A10F3144844A,,,,,05F34C21-3945-4C96-96C1-EC0D2DC6D8B2,,,
4023,3D42B880-BA63-4F62-ADE6-454FC7708DD1,202749,,Utrecht,NL ,023-5581799,-         ,Supplier,CANE,D362B224-3E22-455C-B752-F09D38A5295B,,,,,9700B16F-4B8F-487D-B418-454599F724A5,,,
5498,26FC7AFE-135E-4D38-A42E-5A7E172E0809,204208,--,Zwolle,NL ,0162-578570,UNKNOWN   ,Suspect,CANE,23FE94CC-C0D5-4B58-B852-B0A688583FC1,,,,,72936392-44DF-4753-A320-9F962B28D14E,,,
1836,967F4251-9863-4448-A6CC-2BB8070C99BA,957771,3813 CB,Rotterdam,NL ,,-         ,Supplier,CANE,173F2D0C-798F-4020-A2C1-E87DC01E6EEF,,,,,172C6417-5FE8-4412-BCAA-65D0F71DD207,,,
2304,EB2B8161-910E-4325-A0FA-B9166199E556,4165,3542 DR,Haarlem,NL ,,-         ,Supplier,CANE,FC36EA60-5E29-4219-922E-923E9B6D713D,,,,,9D7AF84E-54A2-48C5-852C-2DD3B3647046,,,
3620,31EA02E2-D472-453B-B528-FC1477B9C01E,957799,3995 DX,HOOGEVEEN,NL ,,UNKNOWN   ,Lead,CANE,7D3F0101-4971-4728-AAA7-6DF503912E11,,,,,4E3FE082-197E-4E96-9DE1-ECF6A5239270,,,
7039,0161D518-36CB-459D-AC9E-504F7B1D10F9,956728,3991 BC,Hoogeveen,NL ,0165-560385,62        ,Prospect,CANE,28BAA4A1-9F63-47AB-8F8A-5046396BFF48,,,,,F189FCE8-3C50-44CC-8990-BB6B80B69273,,,
6530,C79EF1BE-0E83-46B4-90CA-A03527045139,5400,6533 VG,Vianen UT,NL ,023- 5679790,UNKNOWN   ,Customer,CANE,387940E7-1CFA-4C87-8051-CB14184C76A4,,,,,91FDBADA-2FA1-4B23-A4B0-E57D577C08FF,,,
1580,0F354322-55B9-4720-87C4-016849240F05,400754,2582 BX,Driebergen,NL ,,N         ,Prospect,CANE,374BFF03-F452-497A-ACD9-4B6FBBC767E3,,14123436.0,,,663EDA68-4BC0-47C8-BD6E-60E5E83BDDC9,,,
4795,76019647-E429-4C1C-A257-DB0103B8845E,10238,4816 JA,Zwolle,NL ,06-46700859,UNKNOWN   ,Lead,CANE,E82477A3-9638-4E7E-B2BC-ED6C9F877DAC,,,,,61654E1D-6EA2-4BD4-8C03-288715FDF811,,,
2102,AE985019-215A-4EFE-9D8D-64A9EF8703E4,2,3991 CD,Amsterdam,NL ,0575 548 988,F         ,Customer,CANE,44D834D9-7815-4ACC-8A81-796D8363197D,,,,,F5E378EB-6AC2-42F3-82DC-B39A4BC66154,,,
4997,68966F18-52B8-4359-B4A5-49D7DDF372E0,109,1967 DB,UTRECHT,NL ,0570 52 32 34,-         ,Customer,CANE,F5B31A11-971B-4CA3-9E14-8A7DDBAD3180,,,,,20901A42-B5E6-4B86-A68D-FEC906F4DF66,,,
5932,C9FAE3E5-2F34-406C-B630-69709C6EA44D,6905317,1098 VA,Amsterdam,NL ,010-2081888,UNKNOWN   ,Customer,CANE,43C16A10-0AD6-4EDF-9F95-8B967907BD94,,,,2016-02-12 00:00:00.000,2A32A257-7A7E-453E-919B-8D1EA372F619,,,
1722,58284F6E-A925-4DA3-97FA-945B011F1737,400808,2741JA,,NL ,,-         ,Suspect,CANE,9D4AA478-650B-4699-A7DF-0EC9A0E136D6,,,,,E5D09B41-8E94-429B-8950-52962808EE2C,,,
6343,115F40BD-1480-4709-A18B-1165822E06BB,959038,3544 AD,Breukelen,NL ,078-711 21 04,A         ,Suspect,CANE,157E17F2-CF1B-4FA4-95C7-582F3AEAF0FE,,,,2014-05-02 00:00:00.000,B56A5F89-B36F-475E-80CE-2F5E448B376F,,,
205,939093B3-1375-49EA-B317-E981696870B9,958423,1070AD,'s-Gravenhage,NL ,+31 24 3606400,UNKNOWN   ,Customer,CANE,B68A81CA-7919-43C2-AEEF-83CB6CCE22DF,,,,,2BB0F0E1-340A-4A62-B34A-C84D1B605A94,,,
4400,F6FC2BB7-5562-40E8-B753-EAC7F9D16C10,958795,8032 VS,Bennekom,NL ,088-4440011,-         ,Supplier,CANE,393D47FA-4887-40AE-81D4-B46CFEC93F8E,,,,,A97B08F4-C17E-4AD6-8231-B5A00893E132,,,
1612,961BCDC6-638F-4623-8254-93B2D6A3EC3C,100343,6821 LZ,Bergen op Zoom,NL ,,UNKNOWN   ,Customer,CANE,09F5B2B9-B5F3-4999-93B6-D0943BC4932E,,,,,A1689F06-431A-4B72-9D0F-3556B50ACB34,,,
769,69EBFCB3-C6E6-4C7B-966E-A18ED0DDA09C,10153,2100 AA,HOUTEN,NL ,,UNKNOWN   ,Associate,CANE,B26908E1-081B-40B1-9DE2-613DFAF6E4D4,,,27479536.0,,84C25843-5F12-4A86-8F20-DE1BD102B7DC,,,
