unknown,unknown,unknown,postcode,city,country,province,country,telephone_nr,telephone_nr,unknown,sbi_description,sbi_description,date,unknown
2010010828543,Zakenrelatie,Passief,3833 GP,'s-Hertogenbosch,Europe,Noord-Brabant,Netherlands,040-7511585,,Architecten Int. BNI,K. Financiele instellingen,,19-12-2007,DM cd bestanden
2010010830476,Zakenrelatie,Actief,4241 CR,Tienhoven,Europe,Zuid-Holland,Netherlands,024-3789465,0592-404343,Architecten Int. BNI,G. Groot- en detailhandel; reparatie van auto's,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,17-09-2012,DM cd bestanden
2010010829642,Zakenrelatie,Actief,1015 HB,Utrecht,Europe,Noord-Holland,Netherlands,072-5044096,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,internet
K38034,Prospect,Actief,3572 KB,'S-HERTOGENBOSCH,Europe,Overijssel,Netherlands,0493-354002,,Architecten Int. BNI,K. Financiele instellingen,,29-07-2010,internet
K24221,Klant,Actief,3550,Nijmegen,Europe,,Netherlands,074-2569922,,Architecten Int. BNI,K. Financiele instellingen,,09-09-2015,DM cd bestanden
2010010805307,Suspect,Passief,7547 BH,Hoek van Holland,Europe,Gelderland,Netherlands,020-6142348,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,baan
K38058,Suspect,Actief,1398 AD,SCHOONHOVEN,Europe,Utrecht,Netherlands,06-30450071,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,13-02-2015,DM cd bestanden
K23796,Prospect,Actief,B-2610,Driehuis,Europe,,Netherlands,020-3445350,,Architecten Int. BNI,K. Financiele instellingen,,19-09-2012,DM cd bestanden
2010010810378,Zakenrelatie,Actief,3737AS,Den Haag,Europe,Utrecht,Netherlands,0174-296947,,Architecten Int. BNI,K. Financiele instellingen,,29-07-2010,internet
K22947,Prospect,Actief,6031 RV,Amsterdam,Europe,Noord-Holland,Netherlands,070-3831977,,Architecten Int. BNI,K. Financiele instellingen,,31-10-2012,E-mail
K37324,Prospect,Passief,1019 LP,Zoeterwoude (Rijndijk),Europe,Overijssel,Netherlands,040-2113271,0529-455763,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,03-07-2012,internet
2010010830703,Prospect,Actief,8302 PE,WIJCHEN,Europe,Limburg,Netherlands,0595-552293,024-3572469,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,06-12-2012,DM cd bestanden
2010010809285,Prospect,Actief,3532 TT,HEEZE,Europe,Overijssel,Netherlands,06-57315186,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,"742011 Architecten-, ingenieurs- en overige ontwerp",08-12-2011,internet
2010010830701,Klant,Actief,5241 XH,Deurne,Europe,Noord-Holland,Netherlands,06-12789035,0493-490898,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",24-02-2010,DM cd bestanden
K40169,Suspect,Actief,6214 TR,Elst,Europe,Groningen,Netherlands,024-3886583,035-6422521,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,19-12-2007,Via relatie
2010010829641,Suspect,Actief,6564 AH,Hilversum,Europe,Noord-Brabant,Netherlands,06-25044200,0416-391817,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,internet
K38068,Prospect,Actief,5652 AC,Soest,Europe,Noord-Holland,Netherlands,0355235777,,Architecten Int. BNI,K. Financiele instellingen,,10-06-2009,internet
2010010827920,Prospect,Actief,2871 DP,Zwolle,Europe,Groningen,Netherlands,040-2240338,,Architecten Int. BNI,Onbekend,36121 Interieurbouw,15-01-2016,Beurs
2010010829658,Zakenrelatie,Actief,5222 AE,Haaksbergen,Europe,Noord-Brabant,Netherlands,0547-334461,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-06-2015,Beurs
2010010829596,Zakenrelatie,Actief,9712 KC,Rosmalen,Europe,Limburg,Netherlands,0416-365330,,Architecten Int. BNI,K. Financiele instellingen,,07-01-2016,Telefoon
1080403678,Prospect,Passief,1031 HL,Assen,Europe,Overijssel,Netherlands,06-23022878,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,36121 Interieurbouw,25-04-2012,baan
1606082686,Prospect,Actief,9405 KK,NOORDWIJKERHOUT,Europe,Noord-Brabant,Netherlands,026-3642064,024-3296299,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,03-02-2011,baan
2010010830318,Zakenrelatie,Actief,W12 7BW,DOETINCHEM,Europe,Gelderland,Netherlands,073-5470141,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,03-04-2013,DM cd bestanden
200907014539,Zakenrelatie,Actief,5611 CT,Utrecht,Europe,Utrecht,Netherlands,06-41156271,072-5323669,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,23-09-2008,internet
K37386,Zakenrelatie,Actief,7966 AC,Rotterdam,Europe,Noord-Holland,Netherlands,033-4681916,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,26-11-2015,internet
2010010829623,Klant,Actief,2611 AL,Amsterdam,Europe,Gelderland,Netherlands,058-2152242,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,Beurs
2010010828078,Klant,Actief,7495 TS,Vogelenzang,Europe,Overijssel,Netherlands,06-15348768,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,DM cd bestanden
2010010830457,Zakenrelatie,Actief,2871 RN,Amsterdam,Europe,Gelderland,Netherlands,023-5845141,,Architecten Int. BNI,Onbekend,,29-07-2010,DM cd bestanden
1606080723,Klant,Actief,1073 XX,Udenhout,Europe,Noord-Holland,Netherlands,033-4890509,035-6029697,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,internet
200907014925,Suspect,Passief,6214 PP,Rijswijk,Europe,Gelderland,Netherlands,0162-425800,040-2920177,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,"742011 Architecten-, ingenieurs- en overige ontwerp",26-11-2012,E-mail
2010010805919,Prospect,Passief,8338 LD,KAMPERVEEN,Europe,Noord-Brabant,Netherlands,06-18284878,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,36121 Interieurbouw,09-10-2015,internet
200907014748,Suspect,Actief,5321 GC,Heerhugowaard,Europe,Noord-Brabant,Netherlands,0478-515231,0174-295447,Architecten Int. BNI,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",19-12-2007,DM cd bestanden
K21105,Zakenrelatie,Actief,9403 TS,LANDGRAAF,Europe,Zuid-Holland,Netherlands,0318-668844,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,DM cd bestanden
2010010828570,Prospect,Actief,5258 BC,Eindhoven,Europe,Noord-Brabant,Netherlands,0416-365140,,Architecten Int. BNI,G. Groot- en detailhandel; reparatie van auto's,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,DM cd bestanden
2010010830094,Suspect,Actief,5222 AE,Eindhoven,Europe,Overijssel,Netherlands,0224-552091,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-09-2012,internet
2010010828557,Prospect,Actief,5144 AJ,Rotterdam,Europe,Gelderland,Netherlands,0413-353535,,Architecten Int. BNI,K. Financiele instellingen,,29-07-2010,internet
2010010808590,Zakenrelatie,Actief,3824 GM,Enschede,Europe,,Netherlands,043-3251769,,Architecten Int. BNI,Onbekend,,27-02-2014,internet
2010010829651,Zakenrelatie,Passief,7721 BP,Kerkrade,Europe,Noord-Holland,Netherlands,076-5202420,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,09-09-2014,internet
K22962,Suspect,Actief,8181 HW,Aalden,Europe,Flevoland,Netherlands,06-50410718,,Architecten Int. BNI,K. Financiele instellingen,,16-09-2011,Beurs
K22105,Zakenrelatie,Actief,3261 LD,Leersum,Europe,Noord-Brabant,Netherlands,06-36150773,0321-336001,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-10-2011,internet
1606082171,Zakenrelatie,Actief,2661 VR,Hedel,Europe,Zuid-Holland,Netherlands,074-2917474,010-4262669,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,08-03-2011,DM cd bestanden
2010010829374,Prospect,Actief,4811 PR,Venray,Europe,Overijssel,Netherlands,040-2137408,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,20-10-2011,DM cd bestanden
2010010830555,Suspect,Actief,5041 DJ,ASSEN,Europe,Utrecht,Netherlands,071-3310271,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,361101 Vervaardiging van zitmeubels,19-06-2012,Beurs
2010010817783,Zakenrelatie,Actief,1901 AD,Amsterdam,Europe,Noord-Brabant,Netherlands,0525-621982,,Architecten Int. BNI,K. Financiele instellingen,742012 Techn. ontwerp . burger/util.bouw (géén architect),20-10-2011,internet
200907014614,Suspect,Passief,3445 AL,HILVERSUM,Europe,Noord-Brabant,Netherlands,073-6871071,050-5890920,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,28-01-2016,internet
K38597,Prospect,Actief,4481 BN,Oud Gastel,Europe,Zuid-Holland,Netherlands,076-5140111,0529-435366,Architecten Int. BNI,K. Financiele instellingen,742012 Techn. ontwerp . burger/util.bouw (géén architect),29-07-2010,DM cd bestanden
K39862,Suspect,Actief,8278 AZ,Broekland OV,Europe,Overijssel,Netherlands,06-36150773,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,06-05-2014,E-mail
2010010828988,Suspect,Passief,5644 RK,Naarden,Europe,Zuid-Holland,Netherlands,06-28592478,053-4320671,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,10-02-2010,internet
2010010829660,Suspect,Actief,7814 PX,Oldenzaal,Europe,Zuid-Holland,Netherlands,072-5728914,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,22-02-2011,internet
2010010800196,Zakenrelatie,Passief,5211 TH,Huissen,Europe,Zuid-Holland,Netherlands,0521-511477,058-2660450,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-05-2015,baan
1606081956,Prospect,Actief,5626 DK,Den Haag,Europe,Noord-Holland,Netherlands,0522-443242,0182-611869,Architecten Int. BNI,K. Financiele instellingen,,29-09-2010,DM cd bestanden
2010010831533,Suspect,Actief,9712 EW,Oud-Beijerland,Europe,Overijssel,Netherlands,31-204535691,0348-417208,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-10-2011,internet
2010010831474,Zakenrelatie,Actief,5321 VE,Hilversum,Europe,Zuid-Holland,Netherlands,0592-291054,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,internet
2010010805693,Zakenrelatie,Actief,3956 BS,Eindhoven,Europe,Noord-Holland,Netherlands,035-5881301,050-5259670,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",14-09-2012,internet
2010010831436,Prospect,Actief,5803 AP,Beesd,Europe,Zuid-Holland,Netherlands,020-5230052,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-07-2010,internet
200907014561,Prospect,Actief,7327 GH,VENLO,Europe,Noord-Brabant,Netherlands,026-4451268,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,18-02-2015,internet
2010010829668,Zakenrelatie,Actief,6662 LB,ROTTERDAM,Europe,Overijssel,Netherlands,0183-563075,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,21-05-2013,Beurs
2010010802330,Prospect,Actief,3027 VK,Rotterdam,Europe,Noord-Holland,Netherlands,020-3314427,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,16-10-2014,internet
2010010829255,Prospect,Passief,3572 KB,Wilrijk,Europe,Noord-Brabant,Netherlands,0570-610111,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,16-10-2013,DM cd bestanden
2010010802782,Suspect,Actief,8013 AE,London,Europe,Noord-Brabant,Netherlands,06-51931592,,Architecten Int. BNI,K. Financiele instellingen,742012 Techn. ontwerp . burger/util.bouw (géén architect),30-09-2011,internet
2010010824875,Prospect,Actief,5721 ZZ,AMSTERDAM,Europe,Overijssel,Netherlands,0162-435344,035-6247849,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,01-02-2016,internet
2010010823284,Zakenrelatie,Actief,3905 LX,VEENENDAAL,Europe,Zuid-Holland,Netherlands,06-24584768,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,07-04-2011,Via relatie
2010010825232,Klant,Actief,3015 XD,GRONINGEN,Europe,Noord-Holland,Belgium,035-6213944,071-5233439,Architecten Int. BNI,Onbekend,36121 Interieurbouw,29-07-2010,DM cd bestanden
2010010832190,Prospect,Actief,4901 KL,Roelofarendsveen,Europe,Zuid-Holland,Netherlands,06-53170057,045-5330715,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,17-02-2012,baan
2010010831795,Prospect,Actief,7478 PM,Hedel,Europe,Zuid-Holland,Netherlands,0529-857929,013-5114329,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,Beurs
2010010822170,Suspect,Passief,1019 LC,Zaandam,Europe,Noord-Holland,Netherlands,06-29361461,0416-362969,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,16-07-2010,internet
2010010829646,Zakenrelatie,Actief,5591 RA,Eys,Europe,Noord-Brabant,Netherlands,077-3821939,0541-517140,Architecten Int. BNI,Onbekend,,19-02-2013,internet
2010010827898,Zakenrelatie,Actief,5658 GG,Enschede,Europe,Utrecht,Netherlands,013-5339989,024-3237803,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,internet
2010010804860,Suspect,Actief,6088 PA,DIRKSHORN,Europe,Limburg,Netherlands,0499-375939,,Architecten Int. BNI,K. Financiele instellingen,,15-05-2012,internet
2010010828536,Suspect,Actief,5283 PJ,Nuenen,Europe,Ile-de-France,Netherlands,0545-295320,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,23-02-2011,internet
2010010801085,Prospect,Actief,75007,Loppersum (Middelstum),Europe,Gelderland,Netherlands,06-42732327,0412-479488,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-10-2011,internet
2010010830225,Prospect,Actief,5921 JM,Almelo,Europe,Zuid-Holland,Netherlands,058-2167435,0224-552385,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,29-07-2010,internet
2010010804933,Zakenrelatie,Actief,2031 BJ,ZEIJERVEEN,Europe,Noord-Brabant,Netherlands,0413-260809,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,26-06-2015,internet
1606081692,Zakenrelatie,Actief,2285 CB,Zwolle,Europe,Noord-Brabant,Netherlands,0343-441742,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,Internet
K38358,Suspect,Actief,5931 GC,WAALWIJK,Europe,Limburg,Netherlands,040-2043781,,Architecten Int. BNI,K. Financiele instellingen,,26-04-2012,internet
2010010831197,Zakenrelatie,Actief,7891 GV,ERP,Europe,Flevoland,Netherlands,040-2920507,023-5325894,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,30-01-2008,DM cd bestanden
1606082328,Prospect,Actief,7854 SB,Apeldoorn,Europe,Utrecht,Netherlands,034-6282462,013-5427355,Architecten Int. BNI,K. Financiele instellingen,742012 Techn. ontwerp . burger/util.bouw (géén architect),19-12-2007,Beurs
2010010800111,Zakenrelatie,Actief,6515 JP,Haarlem,Europe,Zuid-Holland,Netherlands,0314-344541,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,17-06-2009,internet
2010010828991,Zakenrelatie,Actief,3014 GK,Amsterlveen,Europe,Limburg,Netherlands,071-5456111,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,06-10-2014,internet
2010010800995,Suspect,Actief,6155 KX,ARKEL,Europe,Noord-Brabant,Netherlands,010-4660333,,Architecten Int. BNI,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",13-02-2015,internet
1606082924,Prospect,Actief,6823 AA,Breda,Europe,Noord-Brabant,Netherlands,0343-431832,076-5140267,Architecten Int. BNI,Onbekend,51537 Groothandel gespecialiseerd in overige bouwmaterialen,11-06-2012,internet
2010010800078,Zakenrelatie,Actief,6602 AW,Oosterhout,Europe,Gelderland,Netherlands,0591-394120,0546-621110,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,DM cd bestanden
2010010829901,Zakenrelatie,Actief,2517 HV,HUISSEN,Europe,Antwerpen,Netherlands,045-5459596,,Architecten Int. BNI,G. Groot- en detailhandel; reparatie van auto's,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-07-2010,internet
810030038,Zakenrelatie,Actief,6708 JD,Hengelo,Europe,Utrecht,Netherlands,0592-407970,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-10-2011,DM cd bestanden
2010010827917,Zakenrelatie,Actief,4811 HT,SOEST,Europe,Noord-Holland,Netherlands,0344-602914,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,13-09-2012,internet
2010010828512,Prospect,Passief,1082 MK,Loon op Zand,Europe,Noord-Brabant,Netherlands,058-2675252,,Architecten Int. BNI,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",05-09-2011,internet
2010010806318,Suspect,Actief,5015 BE,Delft,Europe,Noord-Holland,Netherlands,0598-394818,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,07-10-2014,internet
2010010832037,Suspect,Actief,3111 BH,Hengelo,Europe,Gelderland,Netherlands,050-5257046,0416-365331,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,13-02-2013,internet
2010010830591,Suspect,Actief,8931 BW,Amsterdam,Europe,Overijssel,Netherlands,053-5722087,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,18-09-2012,Beurs
