unknown,unknown,unknown,postcode,city,province,country,telephone_nr,telephone_nr,unknown,sbi_description,sbi_description,date,unknown
2010010832890,Zakenrelatie,Actief,2959 AH,Texel (Den Burg),Zuid-Holland,Netherlands,040 236 9950,,Architecten Ext. BNA,,,29-04-2014,internet
2010010828050,Zakenrelatie,Actief,3012 CL,Amersfoort,Noord-Holland,Netherlands,03-8880307,0113-573135,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,30-04-2014,internet
2010010832565,Zakenrelatie,Actief,1363 TJ,Wassenaar,Utrecht,Netherlands,0594-212535,,Architecten Ext. BNA,,,12-07-2012,Koude acquisitie
K38522,Zakenrelatie,Actief,8011 XB,Amsterdam,Noord-Holland,Netherlands,070-3077445,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,13-02-2015,DM cd bestanden
2010010830742,Zakenrelatie,Actief,9831 SZ,HOENSBROEK,Friesland,Netherlands,(050) 360 36 81,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,15-10-2015,internet
K20950,Zakenrelatie,Actief,2951 BE,Rijen,,Netherlands,026-4950415,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,13-02-2015,internet
2010010829256,Prospect,Actief,3621 BZ,Breda,Noord-Holland,Netherlands,024-3580526,0251-211355,Architecten Ext. BNA,,,15-01-2016,DM cd bestanden
2010010832981,Suspect,Passief,1055 DR,Den Helder,Zuid-Holland,Netherlands,06-41211179,0313-631210,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-03-2016,internet
1606082585,Zakenrelatie,Actief,2312 VK,Lier,Noord-Brabant,Netherlands,0541-512118,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-03-2016,internet
2010010829752,Zakenrelatie,Actief,3024 AL,Amsterdam,Noord-Holland,Netherlands,0182-584192,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,22-12-2014,internet
2010010818817,Zakenrelatie,Actief,6821 HK,AMSTERDAM,Utrecht,Netherlands,071-3617200,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,13-06-2012,internet
2010010802187,Prospect,Actief,4818 NL,Zevenbergen,Noord-Holland,Netherlands,0548-537060,0413-351702,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,24-10-2011,internet
2010010804738,Suspect,Actief,2611 AT,Utrecht,Limburg,Netherlands,020-4162400,020-6278935,Architecten Ext. BNA,,,29-07-2010,DM cd bestanden
K38274,Zakenrelatie,Actief,2121 VA,Roden,Zuid-Holland,Netherlands,020-6272132,,Architecten Ext. BNA,,,23-06-2010,internet
1606082959,Suspect,Actief,1087 KB,Weesp,Zuid-Holland,Netherlands,030-6911362,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,03-02-2014,DM cd bestanden
1606081671,Zakenrelatie,Actief,2803 MC,Amsterdam,Noord-Brabant,Netherlands,06-24527976,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,26-02-2013,internet
1606081318,Zakenrelatie,Actief,2516 BE,UTRECHT,Noord-Brabant,Netherlands,06-24269523,071-3316145,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,10-02-2010,Beurs
2010010828019,Prospect,Actief,1019 AW,Doesburg,Zuid-Holland,Netherlands,0341-251963,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,12-07-2012,Koude acquisitie
2010010809396,Suspect,Actief,6221 GG,Rotterdam,Limburg,Netherlands,043-3256656,0546-642988,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,17-11-2008,internet
2010010829296,Zakenrelatie,Actief,2516 HL,Wijdemeren,,Netherlands,0348 418404,0513-625075,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,02-01-2014,DM cd bestanden
K22961,Prospect,Actief,5613 AB,Sneek,Noord-Holland,Netherlands,020-2233661,026-3708553,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,30-04-2014,internet
2010010830650,Zakenrelatie,Actief,2316 DJ,Geleen,,Netherlands,020-6207980,0318-416528,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-05-2015,internet
200907014767,Zakenrelatie,Actief,1019 HZ,Amsterdam,Overijssel,Netherlands,023-5625637,,Architecten Ext. BNA,,,24-11-2014,DM cd bestanden
2010010832579,Zakenrelatie,Actief,B-2460,Amsterdam,Noord-Holland,Netherlands,,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,18-08-2011,Bouw expresse
2010010832700,Zakenrelatie,Actief,3039 KB,Den Haag,Utrecht,Netherlands,015-2121832,,Architecten Ext. BNA,,,27-04-2009,DM cd bestanden
1606081083,Suspect,Passief,8458 CP,Eindhoven,Utrecht,Netherlands,035-7852128,,Architecten Ext. BNA,,,17-01-2012,internet
1606081284,Zakenrelatie,Actief,1013 CR,Rijpwetering,Zuid-Holland,Netherlands,045-5223333,010-4334439,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,28-01-2014,internet
2010010830449,Klant,Actief,9743 AK,Roosendaal,Flevoland,Netherlands,06-41766525,0515 427477,Architecten Ext. BNA,,,06-10-2009,DM cd bestanden
K22290,Zakenrelatie,Actief,1217 LJ,Eindhoven,Zuid-Holland,Netherlands,06-20548306,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,09-07-2010,baan
1606081285,Zakenrelatie,Actief,1791 MC,Amsterdam,Utrecht,Russian Federation,0168-328255,,Architecten Ext. BNA,,,10-06-2011,internet
K22540,Zakenrelatie,Actief,3260 BC,Aarle-Rixtel,Limburg,Netherlands,0592-656318,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,11-07-2014,DM cd bestanden
2010010817016,Zakenrelatie,Actief,3951 LA,Amsterdam,Drenthe,Netherlands,0174-512097,,Architecten Ext. BNA,,,22-03-2011,internet
2010010827703,Zakenrelatie,Actief,3026 GV,Rotterdam,Zuid-Holland,Netherlands,06-28846147,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,18-02-2011,DM cd bestanden
1606080642,Zakenrelatie,Actief,2201 TZ,Eidhoven,Gelderland,Netherlands,010-4848886,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,13-02-2015,internet
K22430,Suspect,Actief,3511 AC,Leiden,Flevoland,Netherlands,0475-550477,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,02-09-2011,internet
1606082631,Zakenrelatie,Actief,1012 DG,Amersfoort,Zuid-Holland,Netherlands,0321-334825,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,05-11-2015,internet
2010010830278,Zakenrelatie,Actief,3033 HG,Ootmarsum,Zuid-Holland,Netherlands,070-3204000,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,12-11-2015,DM cd bestanden
1606082300,Suspect,Actief,2411 RP,Amsterdam,Noord-Brabant,Netherlands,020-4198255,075 616 2421,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,16-04-2015,internet
200907014140,Suspect,Actief,3012 BB,Halfweg,Flevoland,Netherlands,026-4432381,071-5134777,Architecten Ext. BNA,,,16-11-2015,DM cd bestanden
2010010828499,Suspect,Actief,3054 ET,Heenvliet,Noord-Brabant,Netherlands,0118-411001,0183-678600,Architecten Ext. BNA,,,30-04-2014,internet
2010010830888,Zakenrelatie,Actief,6224 KS,Goes,Noord-Holland,Netherlands,020-4277650,,Architecten Ext. BNA,,,27-06-2011,internet
1606081391,Zakenrelatie,Actief,3551 EM,Heemstede,Utrecht,Netherlands,071-5148348,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,16-12-2011,DM cd bestanden
2010010832632,Zakenrelatie,Actief,1073 SR,Amsterdam,Friesland,Netherlands,06-36121555,,Architecten Ext. BNA,,,29-03-2016,internet
2010010832871,Zakenrelatie,Actief,1722 ZR,Eindhoven,Antwerpen,Netherlands,023-5242016,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,04-02-2009,internet
2010010832038,Klant,Actief,2321 KA,BERGAMBACHT,Groningen,Netherlands,06-14380389,0492-477473,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,10-02-2010,DM cd bestanden
2010010827668,Klant,Actief,B-9000,ANDIJK,Noord-Holland,Netherlands,020-6225778,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-03-2016,Beurs
1606082984,Zakenrelatie,Actief,1094 CP,Uden,Gelderland,Netherlands,0343-416611,,Architecten Ext. BNA,,,05-10-2011,internet
2010010832859,Zakenrelatie,Actief,1261 ZA,Rotterdam,Noord-Holland,Netherlands,06 421 758 27,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,10-04-2014,baan
2010010829891,Zakenrelatie,Actief,9472 RB,Emmen,Zuid-Holland,Netherlands,050-3138480,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,19-12-2007,internet
2010010831174,Zakenrelatie,Actief,2514 AK,Houten,Noord-Holland,Netherlands,020-4191400,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,10-06-2011,Internet
1606082176,Zakenrelatie,Passief,B-2920,VALKENBURG LB,Limburg,Netherlands,0499-572271,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,23-11-2010,DM cd bestanden
K21858,Zakenrelatie,Actief,2585 AV,Bergen op Zoom,Zuid-Holland,Netherlands,,0347-355061,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,21-11-2012,Via relatie
K38634,Prospect,Actief,7941 GH,Amsterdam,Limburg,Netherlands,015-2120090,058-2167436,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,16-02-2011,internet
200907014359,Zakenrelatie,Passief,5821 BH,Amsterdam,Zuid-Holland,Netherlands,0297-272010,0032-14554060,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,10-02-2016,internet
1606082399,Zakenrelatie,Actief,6522 DK,Langedijk,Zeeland,Netherlands,010-2014000,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,06-02-2013,Beurs
K38473,Zakenrelatie,Actief,6191 KE,Lingewaard,Gelderland,Germany,040-7370038,030-2427977,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,14-01-2010,internet
2010010831490,Zakenrelatie,Actief,1015 CW,Amsterdam,Noord-Holland,Netherlands,0342-424000,,Architecten Ext. BNA,,"Architecten, ingenieurs en technisch ontwerp en advies",05-09-2012,internet
K38458,Zakenrelatie,Actief,1054 HT,Bleiswijk,Zuid-Holland,Netherlands,0032-33539258,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,01-12-2015,internet
K38499,Klant,Actief,3021 AE,Baarn,Zuid-Holland,Netherlands,013-5424994,,Architecten Ext. BNA,,,22-10-2012,Koude acquisitie
1606082427,Zakenrelatie,Actief,1059 CD,Groningen,Overijssel,Netherlands,023-5327730,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,20-02-2008,internet
1606082688,Zakenrelatie,Actief,3863 VH,Amsterdam,Limburg,Netherlands,036-5222431,,Architecten Ext. BNA,,,11-07-2014,internet
1606082880,Suspect,Actief,3947 BJ,Rotterdam,Zuid-Holland,Netherlands,010-8411597,038-4215205,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,31-10-2014,DM cd bestanden
1606081326,Zakenrelatie,Actief,6711 BT,Den Haag,Zuid-Holland,Netherlands,0545-273775,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,03-09-2009,DM cd bestanden
2010010831994,Zakenrelatie,Actief,2518 VH,GELDERMALSEN,Noord-Holland,Netherlands,0529-457371,010-4766236,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,15-01-2016,Algemene media
2010010831126,Zakenrelatie,Actief,2811 RM,'S-GRAVENHAGE,Zuid-Holland,Netherlands,0570-629938,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,24-09-2008,internet
K38256,Zakenrelatie,Passief,1011 TD,Bussum,Noord-Holland,Netherlands,070 8209240,070 891 04 84,Architecten Ext. BNA,,,23-05-2013,internet
2010010827581,Zakenrelatie,Actief,3732 EC,Appelscha,Utrecht,Netherlands,0118-627962,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,28-04-2014,DM cd bestanden
2010010830838,Zakenrelatie,Actief,5056 HD,Delft,Noord-Brabant,Belgium,023-5264476,035-6989136,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,30-04-2014,Koude acquisitie
200907014538,Zakenrelatie,Actief,7631 AM,Echt,Overijssel,Netherlands,030-2319195,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-03-2016,internet
2010010828388,Klant,Actief,3811 GB,Amsterdam,Overijssel,Netherlands,3259513058,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,09-10-2012,DM cd bestanden
2010010820861,Zakenrelatie,Actief,8605 AJ,'s-Gravenhage,Noord-Holland,Netherlands,035-5820309,026-3513130,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,25-11-2011,internet
2010010832614,Suspect,Actief,6511 TV,LEIDERDORP,Gelderland,Netherlands,0512-368079,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-03-2016,internet
2010010831776,Zakenrelatie,Actief,1019 NM,De Bilt,Gelderland,Netherlands,020-6277140,,Architecten Ext. BNA,,,13-07-2012,internet
2010010827253,Prospect,Actief,1784 MC,Ulvenhout,Noord-Holland,Netherlands,040-8428755,070-3351808,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,19-10-2012,internet
200907014600,Klant,Actief,B-9070,Helmond,Utrecht,Netherlands,06-15900632,084-2258246,Architecten Ext. BNA,,,19-12-2007,internet
2010010832880,Prospect,Actief,2343 XM,Enschede,Zuid-Holland,Netherlands,0342-416019,020-6822225,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,02-02-2010,internet
2010010832866,Suspect,Actief,2611 AT,De Meern,Noord-Brabant,Netherlands,0172-588184,,Architecten Ext. BNA,,,27-04-2011,internet
2010010829092,Zakenrelatie,Actief,1054 PD,Amsterdam,Zuid-Holland,Netherlands,0164-201202,0226-394732,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-03-2016,DM cd bestanden
1606081442,Klant,Passief,7711 HK,Middelburg,Friesland,Netherlands,0032-27672640,,Architecten Ext. BNA,,,30-04-2014,internet
2010010831395,Zakenrelatie,Actief,3404 LC,ZANDVOORT,Zuid-Holland,Netherlands,033-8886116,010 750 32 11,Architecten Ext. BNA,,,25-11-2011,internet
2010010831494,Zakenrelatie,Actief,3034 CV,Lunteren,Friesland,Netherlands,+32-0499-774821,0315-340212,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,10-02-2010,baan
1606081394,Prospect,Actief,5591 HA,Amsterdam,Zuid-Holland,Netherlands,070-3300999,020-4190303,Architecten Ext. BNA,,,14-07-2015,DM cd bestanden
2010010800997,Zakenrelatie,Actief,2498 ZB,Delftgauw,Friesland,Netherlands,030 6579300,030-6012683,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,28-04-2014,Internet
1606081060,Zakenrelatie,Actief,3581 RA,Bergen op Zoom,Utrecht,Netherlands,050-8512705,010-4229775,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,28-12-2015,DM cd bestanden
2010010832839,Zakenrelatie,Actief,8377 HA,Rotterdam,Drenthe,Netherlands,0347-376528,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,01-02-2016,DM cd bestanden
2010010805829,Zakenrelatie,Actief,2311 SH,UTRECHT,Zuid-Holland,Netherlands,3210845996,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,16-11-2015,DM cd bestanden
2010010830857,Zakenrelatie,Actief,5531 MX,Amsterdam,Zuid-Holland,Netherlands,09 224 16 81,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,22-07-2008,internet
2010010832749,Prospect,Actief,2311 PW,Spaarndam,Zeeland,Netherlands,0514-581445,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,20-08-2014,baan
1606081286,Zakenrelatie,Actief,2586 CA,Zwartsluis,Noord-Holland,Netherlands,010 413 2577,,Architecten Ext. BNA,,,20-09-2013,Beurs
K37296,Zakenrelatie,Actief,1054 HT,Den Haag,Zuid-Holland,Netherlands,077-3201950,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,05-06-2015,internet
2010010827505,Zakenrelatie,Actief,7451 BW,Utrecht,Limburg,Netherlands,+49-028235476,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-07-2010,internet
2010010831402,Zakenrelatie,Actief,9743 AN,Delfgauw,Noord-Holland,Netherlands,0226-411644,,Architecten Ext. BNA,,,15-10-2015,DM cd bestanden
K22004,Zakenrelatie,Actief,2628 AP,Helmond,Gelderland,Netherlands,020-625 1067,+49(0)241-946 90 20,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,28-12-2015,internet
2010010831180,Klant,Actief,6584 GG,Leeuwarden,Noord-Holland,Netherlands,050-8504281,0597-416364,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,16-10-2014,DM cd bestanden
2010010830813,Klant,Actief,5931 GT,Roosendaal,Zuid-Holland,Netherlands,020-6265102,010-2141014,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,26-09-2011,Koude acquisitie
20090529139,Zakenrelatie,Actief,3069 KN,Heerenveen,Noord-Holland,Netherlands,010-4765729,070-3505341,Architecten Ext. BNA,,,05-07-2010,Koude acquisitie
2010010804927,Suspect,Actief,5622 CN,MAASTRICHT,Gelderland,Netherlands,020-4236689,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,23-11-2011,DM cd bestanden
200907014312,Zakenrelatie,Actief,3363 KC,Nijmegen,Noord-Holland,Netherlands,0318-692521,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,05-11-2015,internet
2010010830884,Zakenrelatie,Actief,1231 CR,Huizen,Zuid-Holland,Netherlands,046-4750885,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,28-12-2015,internet
2010010826940,Zakenrelatie,Actief,2263 EC,Amsterdam,Noord-Brabant,Netherlands,06 421 427 62,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,25-09-2014,DM cd bestanden
K21946,Zakenrelatie,Actief,5521 AL,Breda,Zuid-Holland,Netherlands,076-5602255,070-3541047,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,17-05-2010,internet
2010010828133,Klant,Actief,4382 CN,Zoeterwoude,Limburg,Netherlands,010-7503420,0499-392461,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,11-02-2009,internet
2010010827219,Zakenrelatie,Actief,B-3960,Hilversum,Noord-Holland,Netherlands,06-53374808,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,22-11-2011,internet
2010010832540,Zakenrelatie,Actief,2641 KG,ROTTERDAM,Zuid-Holland,Netherlands,070-3872350,0226-381931,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,11-11-2009,internet
1606082045,Zakenrelatie,Actief,1018 AM,Amsterdam,Noord-Holland,Netherlands,035-6723747,,Architecten Ext. BNA,,,17-02-2011,DM cd bestanden
20090529109,Zakenrelatie,Actief,6003 NG,Birmingham,Noord-Holland,Netherlands,0497-514480,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,13-02-2015,internet
2010010827838,Zakenrelatie,Passief,4811 KM,Almere,Friesland,Netherlands,055-5787187,,Architecten Ext. BNA,,,28-12-2015,internet
2010010828207,Zakenrelatie,Actief,6532 WZ,Westerhoven,Noord-Holland,Netherlands,0497-360054,,Architecten Ext. BNA,,,29-03-2016,internet
1606081494,Prospect,Actief,2273 CE,Roermond,Zuid-Holland,Netherlands,0411-851624,0412-455325,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,05-11-2015,internet
2010010832773,Suspect,Actief,1058 NC,Rotterdam,Zuid-Holland,Netherlands,0318-461749,053-4784513,Architecten Ext. BNA,,,15-01-2016,internet
K37528,Klant,Actief,1016 BH,Kuinre,Zuid-Holland,Netherlands,026-3779797,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,09-07-2012,DM cd bestanden
1606081200,Zakenrelatie,Actief,1019 AZ,Beek en Donk,Zuid-Holland,Netherlands,06-41555499,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,15-01-2016,DM cd bestanden
