house_number,city,province,postcode,country
7,SCHIPHOL,,3526 XC,Nederland
,,,3818 LE,Nederland
8,,,,Nederland
350,EDE,,3342 LG,Nederland
5,BREDA,,D-44147,Nederland
7,,,3317 MH,Nederland
765,den haag,,,Nederland
7,,,,Nederland
1,HILVERSUM,,1217 GP,Nederland
2,ROTTERDAM,,5121 EA,Nederland
31,ROTTERDAM,,8025 BR,Nederland
8-10,,,-,Nederland
,GRONINGEN,,3199 LC,Nederland
9,CAPELLE A/D IJSSEL,,5141 HH,Nederland
58 3rd floor,SON,,7005 BC,Nederland
3 b,Oud Gastel (Roosendaal),,LE17 4XW,Nederland
26,,,00100,Nederland
7,,,1504,Nederland
9,NIJMEGEN,,5048 AR,Nederland
32,S'HERTOGENBOSCH,,3016 DJ,Nederland
2 G,ROTTERDAM,,3911MJ,Nederland
1,BUNSCHOTEN,,1082 MA,Duitsland
10,,,1118 EE,Nederland
,HONSELERSDIJK,,,Nederland
5,SITTARD,Noord-Brabant,2000,Nederland
7 c,GENT,,NN17 4AX,Nederland
,,,5145 RK,Nederland
9,MAASTRICHT,,33024,Nederland
36,Amsterdam,,,Nederland
,BREDA,,5804CD,Nederland
67-69,,,1118 EE,Nederland
65,,,4879 AJ,Nederland
29,,,5349 AE,Nederland
69,STOCKHOLM,,5513BZ,Nederland
3,TILBURG,,B-3140,Nederland
,,,1975 AG,Nederland
4,HAARLEM,,,Nederland
125,HOUTEN,,3295 WB,Nederland
22,DELDEN,,8037,Nederland
560 5,,,5047 TR,Nederland
1,BERWYN,,2800,Nederland
,GORINCHEM,,3088 KA,Nederland
52-54 CS 80001,ROTTERDAM,,3741 LS,Nederland
,,,,Nederland
80,NIJMEGEN,,2586XP,Nederland
16,,,,Nederland
26,,,9728 JT,Nederland
900,FRANKFURT AM MAIN,,,Nederland
20,ANTWERPEN,,,Nederland
10,,,3584 CS,Nederland
95,VOORHOUT,,2160,Nederland
39,DEURNE,,3818 JN,Nederland
21,ROTTERDAM,,5633 AE,Nederland
151,ROTTERDAM,,,Nederland
3,ALMELO,,,Nederland
29,Spijkernisse,,,Italy
34,DEN HAAG,,4826 AA,Nederland
76,,,,Nederland
300,,,5216 TV,South Africa
50,,,,Nederland
4,CULEMBORG,,,Nederland
6,,,3089 JH,Nederland
,WASHINGTON,,,Nederland
8,DRUNEN,,4617 MN,Nederland
26,UTRECHT,,5203 MB,Nederland
20,,,8071 DA,Nederland
496,,,5600 CC,Nederland
76,SON,,5916 PJ,Nederland
23,,,,Nederland
,TILBURG,,4811 CC,Nederland
,,,5102AA,Nederland
1,SCHIPHOL RIJK,,2242LH,Nederland
14,,,1182 LV,Nederland
,HOUSTON,,-,Nederland
44,,,4817 HG,Nederland
1,HARDENBERG,,4791 VC,Nederland
661,Groningen,,1930,Nederland
37,,,4824 PK,Nederland
11,ROTTERDAM,,,Nederland
3,ROSMALEN,,3197 LD,Nederland
,SCHIPHOL-RIJK,,3199 LD,Nederland
204,UTRECHT,,NY 10020,Nederland
,JEDDAH 21231 - KSA,,,Nederland
7,GORINCHEM,,89,Nederland
42,AMSTERDAM,,3247 XX,Nederland
1,ZUNDERT,,3191 HK,Nederland
,,,1077 XX,Nederland
1 A2,THOLEN,,5211 BA,Nederland
,ZWIJNDRECHT,,9761 TD,Nederland
6 k,ZEVENBERGEN,,4814 ND,Nederland
8,,,,Nederland
,,,9641KZ,Nederland
1,ROTTERDAM,,2971 VP,Nederland
18,HEERLEN,,1098 XG,Nederland
19,Zevenaar,,L-4362,Nederland
1,LEUSDEN,Noord-Brabant,3072 AG,Nederland
18 H,UTRECHT,,7556 NS Hengelo,Nederland
1,,,,Nederland
,AMSTERDAM,,,Nederland
4,AMSTERDAM,,,Nederland
210,UTRECHT,,2291 XT,Nederland
1,DE MEERN,,5081 NS,Nederland
8,,,4817 AR,Nederland
302,ARNHEM,,4817 NL,Nederland
1,,,,Nederland
26,VENRAY,,,Nederland
74,BREDA,,2967 XH,Nederland
11,,,1217 GP,Nederland
21,DEN HAAG,,,Nederland
110,,,7433,Nederland
3,,,,Nederland
72,,,1112 AN,Nederland
,DUIVEN,,2011 MP,Nederland
56,ZOETERMEER,,110001,Nederland
,HELMOND,,2516 AH,Nederland
32,,,3824 CD,Nederland
184,DELFT,,,Nederland
70,ROTTERDAM,,6825 MH,Nederland
,AMSTERDAM,,,Nederland
80-82,TILBURG,,4701 NK,Nederland
10,,Zuid-Holland,1031 HL,Nederland
1 - 3 ,DOESBURG,,3600,Nederland
1 102,,,,Nederland
3,BREDA,,B-2140,Nederland
13,EINDHOVEN,,3708 AH,Nederland
40,,,1013 AA,Nederland
7,DEN HAAG,,3012 KP,Brazil
10,BERKEL ENSCHOT,,,Nederland
12,Eindhoven,,,Nederland
3,KLUNDERT,,,Nederland
1,ROTTERDAM,,,Nederland
29,BREDA,,4817 PA,Nederland
76,DIEGEM,,,Nederland
80,Nieuwdorp,,1119 NK,Nederland
10,BOXMEER,,,Nederland
27,,,5928 RC,Nederland
12,Barendrecht,,,Nederland
,,,92806,Nederland
185,,,3818 ZB,Nederland
,ANTWERPEN,,,Nederland
1,,,5143 GJ,Nederland
20,BERGAMBACHT,,,Nederland
20,Delft,,,Nederland
,BUNNIK,,4814 AB,Nederland
2,VARSSEVELD,,4824 EH,Nederland
,PARIJS La Défense,,2909 LM,Nederland
1,,,,Nederland
3,,,3528 AC,Nederland
2,SCHIPHOL,,,Nederland
3,OOSTERHOUT,,1462VM,Nederland
,,,,Nederland
8,ZOETERMEER,,,Nederland
8A,Tilburg,,Laan 21,Nederland
158-160,OOSTERHOUT,,Oslo,Nederland
2,AMERSFOORT,,3011 BL,Nederland
30,LEIDEN,,5482ZA,Nederland
2,Moedrijk,Zuid-Holland,4460,Nederland
,,,,Nederland
5,Honselersdijk,,2000,Nederland
100,RHENEN,,SW7 5DP,Nederland
38,NIEUW-VENNEP,,4818 RL,Nederland
40,WAGENINGEN,,,Nederland
15,BREDA,,,Nederland
620,VEENENDAAL,,7547 RW,Nederland
1,,,,Nederland
,,,,Nederland
8,,,5061 AB,Duitsland
200,,,4707 ZH,Nederland
53-57,,,2611 RV,Nederland
1,EINDHOVEN,,3732 HK,België
16,EINDHOVEN,,600-755,Nederland
Zz 12 C,75006 Paris,,7472 DD,Nederland
3,,,12740,Nederland
64,ETTEN LEUR,,5275 JJ,Nederland
45,BREDA,,2611 RV,Nederland
,Heijen,,4702 VV,Nederland
,MAARSSEN,,8052 AD,Nederland
,AMSTERDAM,,1054 ES,Nederland
2 b,ZAANDAM,,8281 JV,Nederland
1,NEW YORK,,6961 LB,Nederland
15,'S HERTOGENBOSCH,,3532 AD,Nederland
124 -128,,,,Nederland
21,,,,Nederland
10,TILBURG,,5931 HM,Nederland
6b,Middelburg,,2289 DJ Rijswijk,Nederland
9,Kopenhagen,,B-2000,Nederland
Z.Z. 11,Schiphol,,4876 ZW,Nederland
5-7,,,6512 AB,Nederland
500,SCHIPHOL,,3024 EA,Nederland
100,BERLIN,,5691 TC,Nederland
6,MAASSLUIS,,,Nederland
2,BREDA,,3527 VX,Nederland
,RIJSWIJK,,3818 JN,Nederland
3,BUSSUM,,138628,Nederland
,ROOSENDAAL,,1016BS,Nederland
9,CAPELLE AAN DE IJSSEL,,1082 PP,Nederland
15,BARENDRECHT,,4819 BE,Nederland
,DELFT,,3089 KR,Nederland
12,LONDON,,,Nederland
177,DEN HAAG,,4818 CL,Nederland
-,LONDON,,3511 CE,Nederland
33,,,3176 PD,Nederland
,GOUDA,,4878 AH,Nederland
,IDSTEIN,,5462 EA,Denmark
45,HELVOIRT,,9290 AA,Nederland
2,UTRECHT,,7951 SC,Nederland
1 40,MAASSLUIS,,2288 EA,Nederland
229,,,,Nederland
120,WAGENINGEN,,5142 PA,Nederland
1,Breda,,,Nederland
16,ZWOLLE,,3521 AP,Nederland
50,EINDHOVEN,,3061 KD,Turkey
9,ARNHEM,,2719 CZ,Nederland
,BRUGGE,,5692 EB,Nederland
32,ROME,,V6C 3T4,Nederland
701,Nijmegen,,4261 BE,België
,RAAMSDONKSVEER,,7418 AH,Nederland
51,BILTHOVEN,,,Nederland
5,ROTTERDAM,,5612 AJ,Nederland
248,,,3054 BT,Nederland
9,STOCKHOLM,,6221 BT,Nederland
3,TILBURG,,,Nederland
1,,,738964,Nederland
10,GOTHENBURG,,1047 HM,Nederland
,,,5237 KA,Nederland
15,ROTTERDAM,,571 80,Nederland
16,,,2511 BW,Nederland
2,Papendrecht,,4811 RH,Nederland
1,OOSTERHOUT,,5022 DD,Nederland
,Den Haag,,,Nederland
4 - 1- ,GOUDA,,5223 GZ,Nederland
,HELMOND,,5211 TP,Nederland
17 Unit C,ROTTERDAM,,5038 TC,Nederland
29,VIENNA,,1081 JK,Nederland
25 H,ZUTPHEN,,,Nederland
21,DONGEN,,5582 HW,Nederland
15,URK,,,Nederland
312,,,3762 TB,België
5 c,Den Haag,,5617 BA,Brazil
6,ALPEN A/D RIJN,,5613AD,Nederland
3,SCHIPHOL,,6541 DC,Nederland
2,ROTTERDAM,,1059 CM,Nederland
130 a,AMSTERDAM,,3088 GD,Nederland
57,HELMOND,,7901 AW,Nederland
9 h,HORST,,,Nederland
11,Versmold,,7701 SE,Nederland
999,,,,Nederland
,AMSTERDAM,,B-2000,Nederland
10200,CAPE TOWN,,3821 AJ,Nederland
,ZOETERMEER,,3621 BH,Nederland
73,BREDA,,,Nederland
,Dirksland,Zuid-Holland,5466 RB,Nederland
13,BAARN,,,Nederland
184,BUBENEC,,3526 KL,Verenigd Koninkrijk
20,BERGEN OP ZOOM,,3905 KZ,Nederland
325,ANTWERPEN,,1422 AD,Nederland
19,LUND,,4813 DA,Nederland
-,,,3029 AD,Nederland
,DEN HAAG,,5504 DR ,Nederland
42,NIJMEGEN,,Den Haag,Nederland
100,,,5611 SR,Nederland
313,BREDA,,8200,Nederland
8,WEESP,,3072 DB,Nederland
9 f,,,2716LL,Nederland
86,ETTEN-LEUR,,,Nederland
7,RIJSWIJK,,4818 CP,Nederland
15,UTRECHT,,21073,Nederland
2,TILBURG,,Alkmaar,Nederland
68 a,VALKENSWAARD,,2585 AP,United States
1,SCHIPHOL RIJK,,5321 JT,Nederland
,SON,,2628 XE,Nederland
141,WERKENDAM,,1098 XH,Nederland
111,Reusel,,,Nederland
,WADDINXVEEN,,1077 ZX,Nederland
,AMSTERDAM,,,Nederland
31,,,5222 AS,Nederland
,UTRECHT,,8912 AM,Nederland
,NEW YORK,,4814 DC,Nederland
2,,,3023 CD,United States
37,Rotterdam,,,Nederland
5807,,,2272 AD,Nederland
62,,,5737 RV,Nederland
14,,,,Nederland
1,TERNEUZEN,,,Nederland
300,AMSTERDAM,Utrecht,,Nederland
1-3 Strand,,,9713 LA,Nederland
,GENT,,2595 AL,Nederland
32 -34,TROYES,,3704 HE,Nederland
,DEN HAAG,,,Nederland
71 A,EINDHOVEN,,2611AR,België
24,MUHARRAQ,,3088 GC,Nederland
505,,,,Nederland
2,DE KWAKEL,,,South Africa
-,GILZE,,-,Nederland
,,,,Nederland
81-83,,,B-2300,Nederland
2 t/m 14,UTRECHT,,,Nederland
,DE BILT,,3067 GG,Nederland
8,HOOFDDORP,,,Nederland
11,Rotterdam,Noord-Brabant,4704 RK,Nederland
2,ZAVENTEM,,,België
19,LEEUWARDEN,,,Nederland
,,,G1V 0A6,Nederland
,,,7742 PW,Nederland
,Oldenzaal,,5296 PZ,Nederland
622,ZOETERMEER,,,Nederland
27,Breda,,,Nederland
,,,5037 AB,Nederland
18,AMERSFOORT,,1030,Nederland
,VEENENDAAL,,8017 CA,Nederland
15 e,AMSTERDAM,,2131 RZ,Nederland
116,DIRKSLAND,,2611 RV,Nederland
95,S HEERENBERG,,5374 GX,Canada
111,Ulvenhout,,5047 RK,Nederland
41,,,3571 EM,Nederland
16,DRONTEN,,5211 CK,Nederland
10,DELFT,,,Nederland
123,,,,Nederland
,,,4782 PM,Nederland
,ANTWERPEN,,4704 RT,Nederland
83,DORDRECHT,,,Nederland
31 0,LEIDEN,,6984 AA,Nederland
4 c,,,9405 BJ,Italy
12,DEN HAAG,,4201 HL,België
160,UTRECHT,,6546 BB,Nederland
,TILBURG,,4815 NG,Nederland
,Den Haag,,,Nederland
,AALST,,6211 DW,Nederland
204-11,TILBURG,,2132 LR,Nederland
60,BREUKELEN,,8200,Nederland
15,Zutphen,,2629 HT,Nederland
,TILBURG,,1018 PL,Nederland
320,Bedford,,201 301,Nederland
20,BREDA,,8934 CJ,België
21,UTRECHT,,1081 GC,Nederland
,EINDHOVEN,,,België
78,MIJDRECHT,,4878 AH,Nederland
- -,'s Hertogenbosch,,76600,Nederland
6,,,2718 RJ,Nederland
7,,,,Nederland
5,HEDEL,,4045 PE,Nederland
,BREDA,,3603 CM,Nederland
11,Den Haag,,Roosendaal,Nederland
,Rijen,,-,Nederland
10B ,,,3195 ND,Nederland
,HOOFDDORP,,Den Haag,Nederland
,,,2586 JB,Nederland
7dD,DRIEBERGEN-RIJSENBURG,,,Nederland
452,,,2381 VH,Nederland
,,,2675 LN ,Nederland
9,Kopenhagen,,3905 NR,Nederland
,,,1185XB,Nederland
1,TILBURG,,4817 ZK,Nederland
,UTRECHT,,,Nederland
,HOOFDDORP,,,Nederland
,ENSCHEDE,,3196 KC,Nederland
2,ALPHEN AAN DEN RIJN,,5045 MR,Nederland
108 A,,,2800 Kgs,Nederland
12,VLAARDINGEN,,4811 AL,Nederland
45,BARCELONA,,5048 CG,Nederland
,,,4131 NJ,Nederland
,VUGHT,,5253 RK,Nederland
4,VENRAY,,Almere-Poort,Nederland
,BUDEL,,1406 NZ,Nederland
75,,,1042 AN,Nederland
600,,,30437-00100,Nederland
,BREDA,Zuid-Holland,,Nederland
15,TURNHOUT,,7041 GD,Nederland
,WAALWIJK,,3088 GC,Nederland
1,EINDHOVEN,,3125 BW,Nederland
,FIRENZE,,5521 CB,Nederland
8,SCHIPHOL,,,Nederland
55,Amersfoort,,4817 NL,Nederland
25,BREDA,,,Nederland
1,LAAKDAL,,,Nederland
25 C,,,3542 DZ,Nederland
17 b,GORINCHEM,,6831 GM,Nederland
,EINDHOVEN,,,Nederland
,,,,Nederland
,IZMIR,,Ch-8200,Nederland
2,RIDDERKERK,,,Nederland
81134 A,ROOSENDAAL,,1358,Nederland
1,MOL,,94105,Nederland
8,EINDHOVEN,,1314AN,Nederland
27,HARDERWIJK,,45128,Nederland
313,VEENENDAAL,,3271 BM,Nederland
6,WAALRE,,,Nederland
100,AMSTERDAM,,1755 LE,Nederland
,DEN HAAG,,3512 HM,Nederland
1,BREDA,,4703 RA,Nederland
,NIJKERK,,4837 DS,Nederland
,EINDHOVEN,,,Nederland
5 b,GOUDA,,12042 BRA (CN),Nederland
4,,,,Nederland
,,,3067 GG,Nederland
2,ARNHEM,,,Nederland
19,'S-HERTOGENBOSCH,,3199 LJ,Nederland
6-8,RIDDERKERK,,3981 AJ,Nederland
19,ZOETERMEER,,1040,Nederland
20-48,MILANO,,3513 EX,Denmark
1,HELMOND,,5038 WN,Nederland
,TILBURG,,1412 AN,Nederland
,,,45127,Nederland
1,ZEVENBERGEN,,50,België
135,,,,Nederland
20 B,WAALRE,,,Nederland
1,ZEVENHUIZEN,,5036 BC,Nederland
,SNEEK,,4851 CE,Nederland
750,ST. JANSTEEN,,,Nederland
30,,,5503 LB,Nederland
-,,,4705 RT,Nederland
6 -8,,,,Nederland
8,,,4817 NL,Nederland
8,,,3067 GG,België
4,MUNICH,,7006 RH,Nederland
13,Amsterdam,,,Nederland
60 A,AMSTERDAM,,8305 BS,Nederland
8,Someren,,1082 MS,Nederland
22,,,5126 BB,Nederland
13,ARNHEM,,5612 AJ,Nederland
2,,,,Nederland
60,KLUNDERT,,4815 PN,Nederland
90,,,7324 BD,Nederland
50,LELYSTAD,,7600,Nederland
13,CAPELLE A/D IJSSEL,,,Nederland
14,DEN HAAG,,2012 DE,Nederland
- -,,,1070-313,Nederland
,TOLENTINI-VENICE,,5928 LE,Nederland
,BEST,,2201 TB,Nederland
42,AMSTERDAM,Noord-Brabant,3899 AL,Nederland
40,AMSTERDAM,,5061 HW,Nederland
126,RIDDERKERK,,(ADNEC area),Nederland
303,DOETINCHEM,,4873 GW,Nederland
46,RIO DE JANEIRO,,1119 NH,Nederland
,ERP,,3818 LE,Nederland
,HOOFDDORP,,4834 XN,Nederland
6,HILVERSUM,,4104 AJ,Nederland
60,HEEMSKERK,,,Nederland
-,EINDHOVEN,,2593 CE,Nederland
8,OSS,,,Nederland
20,Veendam,,2012 NB,Nederland
12e,ROTTERDAM,,5091 RR,Indonesia
1914 35,Ouderkerk a/d Amstel,,2402 ZN,Nederland
95 D,ALKMAAR,,5644 JE,Nederland
,SCHIPHOL,,,Nederland
2,,,3208 LA,Nederland
166 /3,,,5232AD,Nederland
,APELDOORN,,,Nederland
120,ROTTERDAM,,,Nederland
15,AMSTERDAM,,DC 20008,Nederland
80,,,2511 BW,Nederland
1-3,VENLO,,92088,Nederland
,ROTTERDAM,,,Nederland
50,TERHEIJDEN,,,Nederland
50,GOES,,,Nederland
8,Bergen op Zoom,,6645 KD,Nederland
5 5,VEGHEL,,,Nederland
51,HAMBURG,,6422 PE,Nederland
175,ROTTERDAM,,4813 PW,Nederland
181,,,1424 LH,Nederland
195,LIVORNO,,-,Nederland
875,BARENDRECHT,,,Nederland
2,Eindhoven,,,Nederland
,,,6831 GV,Nederland
2,OOSTERHOUT,,1082 MA,Nederland
1,Brugge,,1975 AG,Nederland
268,,,,Nederland
60,,,,Nederland
1,EINDHOVEN,,3641 GG,Nederland
,Amsterdam,,3316 LB,Nederland
22,sassenheim,,,Nederland
144a ,NIEUWEGEIN,,3333 LD,Nederland
143-F25,BREDA,,B-2430,Nederland
,BREDA,,,Nederland
128,TILBURG,,6522 BW,Nederland
11,BREDA,,4131 LV,Nederland
2,NEDERWEERT,,2491 AC,Nederland
830,AMSTERDAM,,3871 JZ,Nederland
172 H,,,5281 PL,Nederland
2,,,5661 NG,Nederland
1,MECHELEN,,,Nederland
1 a,TILBURG,,3000,Nederland
72 d,Gent,,3072 AR,Nederland
425 -4,Staphorst,,4631 SZ,Nederland
15,JAKARTA,,,Nederland
118,HOOFDDORP,,,Nederland
5,Rotterdam,,3316 BG,Nederland
,WEESP,,2491 BJ,Nederland
67,ROTTERDAM,,3011 KD,Nederland
25,EERSEL,Overijssel,2800,Nederland
7,NIEUW KUIJK,,2288 GG,Nederland
29,Zeist,,,Nederland
875,ROTTERDAM,,5342 AT,Nederland
3,AMSTERDAM,,4844 CK,Nederland
366,BRUSSEL,,3447 GW,Nederland
,,,2594 AV,Nederland
125,,,5145 PB,Nederland
2,VALKENSWAARD,,,Nederland
28 a,LEERDAM,,1019 DT,Nederland
126,DORDRECHT,,,Nederland
5,REEUWIJK,,,Nederland
22-23,HOEK,,5627 HC,Nederland
50,,,,Nederland
15 -17,,,2722 AB,Nederland
1180,ETTEN-LEUR,,,Nederland
76,Breda,,3702 AA,Nederland
,,,6661 VR,Nederland
2,UTRECHT,,,Nederland
,EINDHOVEN,,3045 PM,Nederland
5,DELFT,,3089 KP,Sweden
178,SOLARIS 01-02 South Tower,,7513 DZ,Nederland
57,,California,6717LT,Nederland
122,Amsterdam,,8710,Nederland
9,,,3528 BA,Nederland
,,,3723 KG,Nederland
86 A,Heemskerk,,,Nederland
45,ZAANDAM,,1506 SZ,Nederland
1 1,DEN HAAG,,,België
4,,Noord-Brabant,,Nederland
85,Breda,,2231 BZ,Nederland
,AMSTERDAM,,3571 VE,Nederland
,ROOSENDAAL,,2984 BG,Nederland
82,,,,Nederland
105,SCHIPHOL,,,Nederland
,BREDA,,,Nederland
,ATLANTA,,3991 CD,Nederland
,VALKENSWAARD,,4001 DP,Nederland
10,SINGAPORE,,5531 CG,Nederland
273,BEVERWIJK,,2800,Nederland
23,OISTERWIJK,,3011 AA,Nederland
281 S8,SCHIPHOL,,1314 SK,Nederland
190,INDIANA,,,Nederland
39,ROTTERDAM,,1119 NR,Nederland
,,,,Nederland
15 -17,NIJMEGEN,,3527 KV,Nederland
300,VIANEN,,2801 DA,Nederland
855,Heerlen,,4812VJ,Nederland
20,UTRECHT,,,Nederland
,BUCHAREST,,,Nederland
51,Eindhoven,,,Nederland
94,,,,Nederland
45,HELMOND,,1217 EW,België
8,KLUNDERT,,N.v.t.,Nederland
2 a,TWELLO,,2719 DA,Nederland
144a ,ROTTERDAM,,,Nederland
77,WASSENAAR,,1118 DP,Nederland
4,AMSTERDAM,,,Nederland
3220,WEERT,,,Nederland
6b,UTRECHT,,,Nederland
,BREDA,,,Nederland
,LEERDAM,,49909,Nederland
,ROTTERDAM,,5928 PR,Nederland
77 Campus,,,100032,Nederland
5,Groningen,,2723 RH,Nederland
39,ROTTERDAM,,,Nederland
12,,,6604 CR,Nederland
,OOSTERHOUT,,5268 DN,Nederland
18,,,,Switzerland
44,Bonn,,1071 EA,Nederland
2-4,,,2803 PV,Duitsland
4,,,5246 AK,Nederland
