unknown,unknown,postcode,city,country,unknown
101783,A,BE-1730,Martignacco,BE ,2077150023
102464,A,49508-7594,BELSELE (SINT-NIKLAA,DK ,DE147832281
140,A,NC 28117,Artes,US ,620611585
100106,A,3001,Espoo,GB ,BE0423718170
101209,A,1210,Geneve,DE ,
604318,A,B-1780,Monselice,DE ,401848135
101181,A,FIN-16300,Fulda,BE ,814773898B01
101771,A,20143,London,GB ,46258596
102839,A,2800,GENK,DK ,BE0645453044
102568,A,3590,San Francisco,CH ,
100539,A,W4 2HR,Kontich,BQ ,FR86302162623
211,A,3660,Herford,BE ,DE240004118
9,A,91105,GUMMERSBACH,BE ,DK47103657
552,A,D-41334,CHIVA,GB ,IT00452180300
604752,A,B-2600,Marseille,SE ,FR51488372897
41184,A,29122,Düsseldorf,GB ,
91,A,32051,GRUNWALD,SE ,870416840
314,A,D-83026,Kralendijk,ES ,BE0463077307
522,A,M4W 1G9,Waiblingen,BE ,2352713-9
102730,A,F-57420,Lisboa,SE ,806951512
101365,A,2850,SAINT-PRIEsT,BE ,
102772,A,34330,Borsbeek,US ,GB170162733
101042,A,1000,Piacenza,US ,
185,A,8271,AALBORG,DE ,
246,A,90596,WALDFISCHBACH-BURGALBEN,GB ,415641040
334,A,74260,GENK,BE ,
101836,A,,ASTENE,BE ,422344235
102726,A,CF83,Monastier di Treviso,DE ,FR37388180978
331,A,B-3700,BRUSSEL,GB ,BE0459565412
102902,A,B-2150,Eupen,BE ,BE0866211483
100265,A,D-59846,WAREGEM,SR ,IT12550970151
101902,A,1930,Grand Rapids,IT ,IT02001160981
100826,A,919 35,-,BE ,CZ25075381
50,A,56020,Aarau,BE ,
222,A,8380,La Palma,FI ,ATU57313936
100009,A,1000,NOVIGLIO,FR ,
100451,A,HP12 3 DX,Grumello del Monte,DE ,
102895,A,SE-360 30,Spilimbergo,DE ,DE222322642
102749,S,B 9240,Hrnciarovce nad Parnou,DE ,IE6364992H
604660,N,,LONDON,DE ,IT00273160044
191,A,296 22,DOEL,GB ,
100753,A,D-92263,CHICAGO,FR ,DE811458823
101845,A,GU12 4TF,DUSSELDORF,DE ,DE289054981
294,S,59014,Bruxelles,BE ,DE812025183
109,A,8500,BERLIN,CH ,DE815444071
41072,A,CA 94107,Legorreta,BE ,870982596
102230,A,64823,Wyrzysk.,US ,
102835,A,76275,LINGOLSHEIM,DE ,BE0882218760
102513,A,50735,BRA (CN),FR ,
101238,A,9830,WILRIJK (ANTWERPEN),DE ,DE208209598
605001,A,82031,Köln,BE ,869701010
102084,A,B-3600,CRESPIN,BE ,DE224833971
100498,A,B3090,HOEGAARDEN,IT ,
101652,A,B-3320,GRAND RAPIDS,SE ,
202,A,71083,London,BE ,FR71321103129
102874,A,B-4100,VENDARGUES,BE ,DE811140971
101216,A,2160,WEEZE,GB ,
100761,A,1818,San Vito al Torre,ES ,A-08550758
102576,A,B - 3500,STUTTGART,BA ,
2147,A,EC1V 4PW,Heist-op-den-Berg,NL ,BE0838019622
605090,A,3600,BEEK,DK ,
100809,A,D-73092,ROTTERDAM,CA ,BE0439348434
102573,A,2000,GENK,BE ,BE0426451194
33,A,67714,EMELGEM,DE ,
100642,A,34740,MIDDELFART,GB ,ESF20025334
101911,A,2300,Wijnegem,FR ,
101405,A,33334,STEINHEIM,DE ,IT01198180521
297,A,3600,Helsinki,IT ,BE0438181365
