unknown,date,country,postcode,city,country,postcode,city,unknown,unknown
316323.0,,,5664 EH,ARNHEM,,,HERPEN,,BEHZEI00
,09-12-16,,3447 GM,UTRECHT,NL,3077 CP,BILTHOVEN,,
,,NL,3508 AA,APELDOORN,,,DEVENTER,D - Nog te controleren,NETBAA01
320514.0,09-12-16,LU,2623AA,BIDDINGHUIZEN,,3508 AA,AUSTERLITZ,,SCHBUN00
,,NL,5060 AC,KAATSHEUVEL,,1059 BX,ZEEWOLDE,D - Nog te controleren,VANB-300
,09-12-16,NL,3430RA,NUENEN,NL,4130 EC,ENSCHEDE,D - Nog te controleren,BROUTR01
,,NL,3734 GG,UTRECHT,,2410 CB,,D - Nog te controleren,
320088.0,09-12-16,,3481 GP,AMSTERDAM,,,,E - Niet meer actief,WERNIE00
301207.0,09-12-16,NL,1251PB,UTRECHT,,3508 AA,,,GLAZEI01
320734.0,09-12-16,NL,1001NA,UTRECHT,NL,3417 XT,,D - Nog te controleren,SIEDEN00
320520.0,,,3508 AA,EINDHOVEN,NL,,UTRECHT,D - Nog te controleren,
319161.0,,,5615 CP,UTRECHT,,,,D - Nog te controleren,
317331.0,,,0,AMSTERDAM,,,ZAANDAM,D - Nog te controleren,STAKOR01
,09-12-16,NL,7333NS,Hoevelaken,PL,,,,VLUHAA00
320790.0,,,3602 AS,HOOGLAND,NL,,BUNSCHOTEN,D - Nog te controleren,
,09-12-16,NL,1175RD,WAGENINGEN,NL,,VOORBURG,D - Nog te controleren,CONBOS00
,,,1059 VM,Haarlem,NL,6500 AA,,D - Nog te controleren,
317178.0,09-12-16,NL,0,ROTTERDAM,,,,,
,,,9641GK,MAARN,,3700 AM,NC28374 PINEHORST,D - Nog te controleren,ROBNIE00
308407.0,09-12-16,NL,2000 AE,ALPHEN AAN DEN RIJN,,,,D - Nog te controleren,FLEUTR01
,,FR,8000 GB,INDIANA 46278-2900,NL,,,,
320907.0,09-12-16,,1303AC,UTRECHT,,3417 TC,,D - Nog te controleren,
319773.0,09-12-16,NL,4872LA,Amsterdam,NL,,,,
318876.0,09-12-16,NL,6021 PZ,UTRECHT,NL,3439 MN,UTRECHT,D - Nog te controleren,DELHAA00
315200.0,,NL,8355 BS,Lelystad,,1261 BT,SCHIPHOL,D - Nog te controleren,VOLAME01
319644.0,09-12-16,NL,3508 AA,IJsselstein,NL,,APELDOORN,D - Nog te controleren,
,09-12-16,,5404LB,UTRECHT,NL,,HARDERWIJK,,
318921.0,,NL,1305 AC,DUIVEN,NL,1405 HK,VEENENDAAL,D - Nog te controleren,ARED-200
316650.0,09-12-16,NL,3011 WH,UTRECHT,NL,7000 AB,,D - Nog te controleren,PIZAME00
312129.0,09-12-16,,1006BE,Utrecht,NL,3903 LA,,D - Nog te controleren,
320171.0,,,,ZWAAGDIJK,,3700 AC,,,
,09-12-16,NL,3800 AE,UTRECHT,NL,8231 KA,HAARLEM,D - Nog te controleren,
318198.0,,,3452 CJ,NIEUWEGEIN,,2514 AB,UTRECHT,,
,,NL,1114BC,AMSTELVEEN,,0,,,SRKZOE00
,,,4131PA,MONTFOORT,,,,D - Nog te controleren,DULUTR00
,,NL,5521 BA,LAAG-SOEREN,NL,3905 KZ,,,
320796.0,09-12-16,,8250AC,HARMELEN,NL,3508 AA,UTRECHT,E - Niet meer actief,ROEMAN00
317720.0,,,5051 BE,DEN HAAG,NL,,,,PWNVEL00
319777.0,,NL,3508 AA,UTRECHT,NL,,UTRECHT,D - Nog te controleren,MELDEV00
320661.0,09-12-16,NL,0,AMERSFOORT,NL,4141 MK,B-1731 ZELLIK,,PRUUTR00
319619.0,09-12-16,,3526LB,Utrecht,NL,0,,D - Nog te controleren,FEDCUL00
,09-12-16,NL,6700AA,UTRECHT,,0,,D - Nog te controleren,
319177.0,09-12-16,NL,3400 AE,MONSTER,,2500 BZ,WEESP,,
319264.0,09-12-16,NL,1251 HL,AMSTERDAM,NL,0,,D - Nog te controleren,GEHDOE00
318461.0,,NL,3508 AA,UTRECHT,NL,1721 DX,UTRECHT,D - Nog te controleren,
320891.0,,NL,2770 AA,Leiden,,,ALPHEN AAN DEN RIJN,D - Nog te controleren,
319184.0,09-12-16,,7553 GW,UTRECHT,NL,,LEIDEN,,
318895.0,,NL,3941 EC,AMSTERDAM,,3508 AA,UTRECHT,D - Nog te controleren,
320881.0,09-12-16,,1411 EK,SCHIPHOL,NL,,IJSSELMUIDEN,E - Niet meer actief,VLVMON00
318318.0,09-12-16,,3508AE,De Goorn,NL,,,D - Nog te controleren,TRAUTR00
,09-12-16,,3505 AA,UTRECHT,NL,3508 AA,,,HOLUTR00
320711.0,,NL,1076AZ,ROOSENDAAL,NL,3584 GB,AMSTERDAM,D - Nog te controleren,
314197.0,09-12-16,,1200 BB,RIJNSBURG,,,,D - Nog te controleren,PHAUTR09
307932.0,,NL,3000 BP,Amersfoort,,0,AMERSFOORT,,
313091.0,,NL,1019GM,BATHMEN,,1191 TP,,,TEKUIT00
319763.0,,NL,2800AE,Amersfoort,,9751 BJ,,,
,09-12-16,NL,1105AZ,Utrecht,,4615 AH,HEESSELT,,
316243.0,,NL,3503 RD,AMSTERDAM,,5000 LA,,D - Nog te controleren,MERDUB00
320222.0,09-12-16,NL,3503 RA,ZOETERMEER,NL,,"FAIRFIELD,CALIFORNIA",,KIAUTR01
,,,2015 HM,Rosmalen,NL,1119 RB,,E - Niet meer actief,WINPUR00
,09-12-16,,3800 BP,'s-HERTOGENBOSCH,NL,3508 AA,ZEIST,,HAGHIL00
,09-12-16,NL,3544 DJ,DEN HAAG,GB,3514 TA,VEENENDAAL,D - Nog te controleren,
,09-12-16,,3508 AA,UTRECHT,NL,,UTRECHT,D - Nog te controleren,AMPNIJ00
320747.0,09-12-16,NL,3508 AB,UTRECHT,,1017 CE,,D - Nog te controleren,
318374.0,,NL,3800BN,ZWOLLE,NL,,,D - Nog te controleren,INHAMS01
317281.0,,NL,1191BD,AMSTERDAM,,2514 JD,LAREN,E - Niet meer actief,PHAUTR33
,,,1117BM,NIEUWEGEIN,,0,UTRECHT,D - Nog te controleren,STHHOU00
318179.0,09-12-16,NL,3503PA,L-2633 SENNINGERBERG,NL,3581 BR,,D - Nog te controleren,HELNIE00
316555.0,09-12-16,,3503 RK,AMSTERDAM,NL,3500 BN,UTRECHT,,
318550.0,,,3508 AA,TILBURG,NL,3508 AB,HILVERSUM,D - Nog te controleren,MRAUTR02
,09-12-16,NL,1462ZG,Utrecht,,3508 AA,AMSTERDAM,,
316568.0,,NL,8200AB,UTRECHT,NL,3508 AA,80339 MUNCHEN,D - Nog te controleren,BONNIJ00
,09-12-16,NL,6130MB,AALSMEER,NL,,,,POPLEL00
320334.0,,NL,3508 AA,UTRECHT,NL,3500 GP,HILVERSUM,,
319337.0,,NL,0,AMERSFOORT,,2343 HH,LELYSTAD,D - Nog te controleren,MPPAME00
319091.0,,,3508 AA,WOERDEN,,,,D - Nog te controleren,TENROT00
318651.0,,NL,3430 BL,ALMELO,,1081 HV,,,
,09-12-16,NL,3503RA,UTRECHT,FR,,WOERDEN,D - Nog te controleren,MRAUTR01
311231.0,09-12-16,,8034 PH,AMERSFOORT,NL,3500 AX,1074-002 LISBON,D - Nog te controleren,NEUAMS00
,,,3542AG,ZEIST,,3503 RK,,,VTPAME00
317918.0,09-12-16,NL,4181CD,Amstelveen,NL,3508 AA,UTRECHT,D - Nog te controleren,
,09-12-16,NL,3000 BE,ROTTERDAM,NL,3507 LB,,,
312069.0,,NL,6717LX,EDE,,3508 BA,GOUDA,D - Nog te controleren,STHHOU01
,,US,5961 NK,UTRECHT,NL,,,D - Nog te controleren,ACNDIE00
,09-12-16,NL,1101BT,UTRECHT,,1180 AH,,D - Nog te controleren,Y-FUTR00
320618.0,09-12-16,,5240 AA,UTRECHT,,3508 AA,,,
318648.0,09-12-16,NL,3581 BC,UTRECHT,NL,,UTRECHT,,FOCSNE00
,,,1070LL,RUMPT,,1117 ZL,NIEUWEGEIN,D - Nog te controleren,
318071.0,,NL,3508 AA,ROTTERDAM,NL,3508 AA,AMERSFOORT,D - Nog te controleren,
,,,4812 TH,UTRECHT,NL,3825 MK,,D - Nog te controleren,
,09-12-16,NL,1100DG,UTRECHT,NL,,UTRECHT,,
320318.0,,,2740 AB,HAARLEM,NL,4131 NR,,D - Nog te controleren,ORDNIE01
,09-12-16,NL,2382NJ,ALKMAAR,NL,,,,
,,,7543 WB,DELFT,NL,,,,
,09-12-16,,8453 VB,EINDHOVEN,NL,3508 AA,LINSCHOTEN,D - Nog te controleren,
132925.0,09-12-16,,7361GT,SOEST,NL,1012 RM,,,PANNIE00
317910.0,09-12-16,,7909AA,UTRECHT,NL,,,,BEEAME00
319885.0,09-12-16,NL,3833LB,SOEST,US,,,D - Nog te controleren,
320754.0,,NL,6800JD,DEVENTER,NL,6710 AD,UTRECHT,D - Nog te controleren,CERGRO00
,,NL,1811 WN,AMSTERDAM,,,LAREN NH,,STIS-H00
314192.0,09-12-16,NL,2400AH,Bilthoven,NL,3508 AA,,,COOGEL00
319485.0,,NL,3900 AS,DORDRECHT,NL,,ROTTERDAM,,
,09-12-16,,3800 AK,HILVERSUM,NL,1506 DG,,D - Nog te controleren,VITZWO00
313529.0,,NL,6531JC,HOUTEN,,3700 AN,HILVERSUM,D - Nog te controleren,QUABER00
,,,2261CA,Bodegraven,NL,3508 AA,,E - Niet meer actief,
303539.0,,NL,1301 AB,KATWIJK,NL,,AMERSFOORT,,
318220.0,09-12-16,GB,3508 AA,DEN HAAG,NL,2400 MA,BUSSUM,,DEGHIL00
,09-12-16,,1054 PP,UTRECHT,,,,D - Nog te controleren,
318383.0,09-12-16,,2516CK,SOEST,NL,8023 CG,VUGHT,,
318996.0,,,2566 DT,ELCHE (ALICANTE),,3581 BH,LEUSDEN,D - Nog te controleren,GDADEV00
319500.0,09-12-16,NL,3508 AA,GRONINGEN,NL,6957 DS,UTRECHT,,
,,NL,1391 BJ,GOUDA,NL,,UTRECHT,D - Nog te controleren,NSGUTR00
317715.0,09-12-16,,1213 RH,UTRECHT,,2650 AA,UTRECHT,D - Nog te controleren,
,09-12-16,NL,3984 AW,WOERDEN,,3500 GB,,D - Nog te controleren,FNVAMS00
,09-12-16,NL,3871AZ,AMSTERDAM,,,,D - Nog te controleren,
311591.0,,,3800 AX,UTRECHT,NL,0,UTRECHT,,
,09-12-16,,8321WT,UTRECHT,NL,,,,MAXUTR00
320229.0,09-12-16,,3900AS,HOOFDDORP ,,,,D - Nog te controleren,CENHAA00
320125.0,,,3812RN,Zwolle,NL,5240 BB,UTRECHT,D - Nog te controleren,LLOROT01
316675.0,,NL,7000 AB,DORDRECHT,,3508 AA,,,
,09-12-16,NL,1018 LL,CULEMBORG,NL,2280 CE,AMSTERDAM,D - Nog te controleren,KRUDEM00
,09-12-16,LU,5300 AD,ZEIST,,,UTRECHT,E - Niet meer actief,
,09-12-16,,5280AC,UTRECHT,NL,1119 PZ,BILTHOVEN,D - Nog te controleren,AUTUTR03
,09-12-16,,1440AA,UTRECHT,,1411 JB,VEENENDAAL,D - Nog te controleren,ROYDEL00
,,,0,EDE,NL,,,,VERGRO00
320047.0,,,1100AP,NIEUWEGEIN,,2130 AA,PURMEREND,D - Nog te controleren,BAXUTR00
317859.0,09-12-16,GB,3521VS,HOUTEN,NL,,UTRECHT,,
,09-12-16,,1231LG,UTRECHT,NL,,,,KAYVEL00
,09-12-16,NL,6245 HZ,Rotterdam,NL,3992 BG,BOSCH EN DUIN,E - Niet meer actief,VITZWO02
319693.0,09-12-16,,3755ZH,EC3M 4BS LONDON,NL,,TILBURG,,ZUIUTR00
,09-12-16,US,4700 BS,BUNSCHOTEN,NL,,,,BASEMM00
,,,3925XB,BERGSCHENHOEK,NL,3142 CC,UTRECHT,D - Nog te controleren,WESAMS01
315594.0,09-12-16,NL,3900 AM,Europoort Rt,NL,,'S-GRAVENHAGE,E - Niet meer actief,ACAHAR00
,09-12-16,NL,3832 AV,DEN HAAG,NL,3508 AA,AMERSFOORT,D - Nog te controleren,
319162.0,09-12-16,,7204 JN,Barneveld,NL,,UTRECHT,,HEIROS01
,,NL,2501EH,Utrecht,NL,3508 TC,BERGSCHENHOEK,D - Nog te controleren,
320304.0,09-12-16,NL,0,Utrecht,,3508 AA,AMSTERDAM,D - Nog te controleren,UNIBRE00
320888.0,09-12-16,,5261 NA,UTRECHT,,,,D - Nog te controleren,
320602.0,09-12-16,,3508 AA,Dirksland,,,HEDEL,D - Nog te controleren,CRAAME00
319349.0,09-12-16,,1070AA,UTRECHT,,5216 XA,UTRECHT,D - Nog te controleren,ERNAMS00
310181.0,,,3581BH,Apeldoorn,,,,E - Niet meer actief,
,09-12-16,NL,0,Amsterdam,NL,8256 SN,DELFT,D - Nog te controleren,COSUTR08
,09-12-16,NL,1101BH,ZWOLLE,NL,,,D - Nog te controleren,UMCUTR02
320385.0,09-12-16,CH,3951CA,TIEL,,,,D - Nog te controleren,ACHAPE01
,,NL,3958 BK,MAARSSEN,,3508 AA,,E - Niet meer actief,VLUROT00
,09-12-16,,1390AD,OUDEWATER,NL,,,,OPTUTR00
320308.0,09-12-16,NL,3364 DG,BEUSICHEM,NL,1119 PZ,,,
,09-12-16,NL,7361GN,AMERSFOORT,NL,3840 AA,,D - Nog te controleren,
318004.0,,NL,1006AN,D-12055 BERLIN,NL,,UTRECHT,D - Nog te controleren,
,09-12-16,NL,1066CX,MAASTRICHT,,3528 BG,59777 EURALILLE,,
,09-12-16,,6604 KG,UTRECHT,,2585 XH,,,WESAMS00
,,,3700 AB,'s-Hertogenbosch,,1118 BH,UTRECHT,D - Nog te controleren,PHAUTR34
319466.0,,NL,3508 AA,DEN HAAG,PT,,UTRECHT,,JOR89500
320296.0,09-12-16,NL,1271CE,BUSSUM,,2400 AA,UTRECHT,,ALGUTR00
320049.0,,NL,2500 EA,UTRECHT,,,"COLUMBUS, OHIO 43215",D - Nog te controleren,SAKD-400
,09-12-16,NL,6566 CH,UTRECHT,,,,D - Nog te controleren,KOOUTR03
,09-12-16,,8256 RJ,BARNEVELD,NL,1101 BA,UTRECHT,D - Nog te controleren,
320850.0,09-12-16,NL,4824 EH,Nijmegen,,1069 DA,,D - Nog te controleren,FIVUTR00
,09-12-16,NL,3511 BN,Heerenveen,NL,,BUNSCHOTEN,D - Nog te controleren,
,,NL,8013RM,DOORN,NL,0,VIC 3000 MELBOURNE,,
318513.0,09-12-16,NL,1812RB,AMERSFOORT,NL,,,,
,09-12-16,NL,3508 AA,HILVERSUM,NL,0,AMSTERDAM,,CENAPE00
318325.0,09-12-16,,3508 AA,Veldhoven,,,VLEUTEN,,JANWIL00
320402.0,,,1703BC,DUIVEN,CA,1399 XG,,D - Nog te controleren,NSCUTR00
,09-12-16,NL,1112XL,NIEUWEGEIN,,,ARNHEM,,
,09-12-16,NL,0,Bilthoven,NL,,,E - Niet meer actief,VANUTR02
320798.0,,,8023 CG,ALMERE,NL,,,,PHAUTR21
320880.0,09-12-16,NL,6561 AL,NIJMEGEN,NL,3508 AB,,,
319779.0,,NL,3016CE,UTRECHT,,5000 JC,GERWEN(NUENEN),D - Nog te controleren,
,,,3508 AA,HEERHUGOWAARD,NL,1101 CP,UTRECHT,D - Nog te controleren,GOUGOU00
