unknown,unknown,unknown,postcode,city,country,province,country,telephone_nr,telephone_nr,unknown,unknown,sbi_description,date,unknown
2010010832292,Zakenrelatie,Actief,9203 JC,Lent,Europe,Overijssel,Netherlands,0182-524376,0318-517187,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",08-11-2013,Internet
K24092,Zakenrelatie,Passief,1621 DE,Sint Michielsgestel,Europe,Limburg,Netherlands,0485-330150,040-2529016,Architecten Ext. BNA,K. Financiele instellingen,,31-08-2009,DM cd bestanden
1606080045,Zakenrelatie,Actief,6216 CM,Bergeijk,Europe,Noord-Holland,Netherlands,020-6703766,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",31-07-2015,DM cd bestanden
1606080257,Zakenrelatie,Actief,9062 HN,Oldenzaal,Europe,Noord-Holland,Netherlands,(053) 4884884,,Architecten Ext. BNA,K. Financiele instellingen,,22-07-2008,DM cd bestanden
1606080864,Zakenrelatie,Actief,7642 EZ,Eindhoven,Europe,Zuid-Holland,Netherlands,020-6208961,0299-476417,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",03-02-2010,internet
K37526,Zakenrelatie,Actief,2861 LM,Amsterdan,Europe,Zuid-Holland,Netherlands,023-5423794,077-4772665,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",29-03-2011,DM cd bestanden
1606080485,Prospect,Actief,3882 AE,'s-Hertogenbosch,Europe,Noord-Holland,Netherlands,06-22997050,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,internet
2010010802184,Zakenrelatie,Actief,2513 CL,'s-Gravenhage,Europe,Zuid-Holland,Netherlands,040-2364977,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,DM cd bestanden
1606080191,Zakenrelatie,Actief,1053 NJ,Amsterdam,Europe,Noord-Holland,Netherlands,0578-613007,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",05-07-2010,DM cd bestanden
1606080552,Zakenrelatie,Actief,6741 CR,Warmond,Europe,Zuid-Holland,Netherlands,023-5841265,020-3449799,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",14-02-2011,internet
1606080236,Zakenrelatie,Actief,5271 AV,Amersfoort,Europe,Noord-Brabant,Netherlands,040-2844443,040-2377956,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-07-2012,internet
1606080273,Klant,Actief,8862 SE,Arnhem,Europe,Zuid-Holland,Netherlands,043-3252513,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",30-04-2014,internet
K38724,Zakenrelatie,Actief,5233 GD,Panningen,Europe,Zuid-Holland,Netherlands,06-18880254,026-4453963,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",29-04-2009,DM cd bestanden
1606080464,Zakenrelatie,Actief,9022 AW,'s-Hertogenbosch,Europe,Noord-Holland,Netherlands,075-6421541,043-3212192,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",08-04-2013,DM cd bestanden
1606080664,Zakenrelatie,Actief,1031 HL,Ede,Europe,Noord-Holland,Netherlands,0318-552247,0162-321409,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",15-06-2015,internet
2010010831491,Zakenrelatie,Actief,2121 GR,Amersfoort,Europe,Overijssel,Netherlands,074-2421111,076-5412559,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",16-07-2012,DM cd bestanden
1606081427,Zakenrelatie,Actief,4116 EZ,Zwolle,Europe,Zuid-Holland,Netherlands,020-6386345,010-4333115,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",15-09-2010,DM cd bestanden
1606080079,Zakenrelatie,Actief,1065 VT,Breda,Europe,Zuid-Holland,Netherlands,038-3315604,010-4331071,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",29-05-2015,DM cd bestanden
1606080150,Zakenrelatie,Actief,2622 KM,Cranendonck,Europe,Zuid-Holland,Netherlands,0316-340504,073-6441617,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",28-10-2009,DM cd bestanden
K21715,Zakenrelatie,Actief,5613 GC,Bilthoven,Europe,Limburg,Netherlands,0299-681407,,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",22-09-2010,Beurs
1606080886,Zakenrelatie,Passief,6221 BG,Amsterdam,Europe,Noord-Holland,Netherlands,,075-6124316,Architecten Ext. BNA,K. Financiele instellingen,,06-01-2012,DM cd bestanden
1606080889,Zakenrelatie,Actief,1531 DT,Gilze,Europe,Zuid-Holland,Netherlands,045-5716196,038-3320133,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",01-06-2010,DM cd bestanden
1606080705,Zakenrelatie,Actief,6049 GN,Amsterdam,Europe,Noord-Brabant,Netherlands,026-3844460,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",01-07-2010,DM cd bestanden
2010010829740,Zakenrelatie,Actief,3021 KK,EDAM,Europe,Noord-Brabant,Netherlands,010-4766512,072-5151635,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",23-08-2011,internet
1606080592,Zakenrelatie,Actief,1541 LE,Weert,Europe,Noord-Holland,Netherlands,0499-572316,0492-546832,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",04-12-2012,DM cd bestanden
1606082092,Zakenrelatie,Actief,9022 AR,Rotterdam,Europe,Noord-Holland,Netherlands,0413-365600,015-2158146,Architecten Ext. BNA,K. Financiele instellingen,,19-03-2009,DM cd bestanden
1606080262,Zakenrelatie,Actief,2565 RE,Valkenswaard,Europe,Overijssel,Netherlands,020 6361182,,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",06-07-2011,DM cd bestanden
1606080836,Prospect,Actief,6921 EW,Haarlem,Europe,Zuid-Holland,Netherlands,040-2124276,,Architecten Ext. BNA,K. Financiele instellingen,,20-01-2010,DM cd bestanden
1606080992,Zakenrelatie,Actief,3415 PR,Arnhem,Europe,Noord-Holland,Netherlands,,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",22-04-2009,DM cd bestanden
1606080200,Zakenrelatie,Actief,1862 JV,Utrecht,Europe,Zuid-Holland,Netherlands,040-2833708,(053) 4884888,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",29-04-2014,DM cd bestanden
1606080809,Zakenrelatie,Actief,3024 EK,Deventer,Europe,Limburg,Netherlands,06-24270863,020 6060778,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",08-02-2013,DM cd bestanden
1606080243,Zakenrelatie,Actief,6221 KN,Dedemsvaart,Europe,Utrecht,Netherlands,058-2158811,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",15-02-2010,DM cd bestanden
1606080558,Zakenrelatie,Actief,1015 CW,Delft,Europe,Gelderland,Netherlands,0186-651144,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",08-04-2009,DM cd bestanden
1606080088,Zakenrelatie,Actief,3063 JD,Roosendaal,Europe,Noord-Brabant,Netherlands,,030-2581455,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",27-10-2009,Internet
1606080808,Zakenrelatie,Actief,3281 LW,Winterswijk,Europe,Utrecht,Netherlands,013-5352121,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",08-01-2009,DM cd bestanden
2010010832293,Zakenrelatie,Actief,3112 VH,MEERSSEN,Europe,Zuid-Holland,Netherlands,073-6442684,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",27-06-2011,internet
200907014314,Zakenrelatie,Actief,6226 CH,Heerlen,Europe,Utrecht,Netherlands,010-4402121,0541-354497,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",06-05-2009,DM cd bestanden
1606080768,Zakenrelatie,Actief,1012 GL,Leiden,Europe,Noord-Holland,Netherlands,0313-414318,0251-658454,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",04-03-2013,internet
2010010829095,Zakenrelatie,Actief,6821 HX,Nijmegen,Europe,Noord-Brabant,Netherlands,0162-454942,072-5053817,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,DM cd bestanden
1606080666,Zakenrelatie,Actief,5708 EK,'s-Hertogenbosch,Europe,Overijssel,Netherlands,030-2452303,0229-541257,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",29-05-2015,DM cd bestanden
2010010828044,Zakenrelatie,Actief,9712 LK,Heeze,Europe,Noord-Holland,Netherlands,040-2547612,0317-318492,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",02-02-2016,DM cd bestanden
K38242,Zakenrelatie,Actief,2402 EK,Esch,Europe,Zuid-Holland,Netherlands,0165-537877,0183-664310,Architecten Ext. BNA,K. Financiele instellingen,742012 Techn. ontwerp . burger/util.bouw (géén architect),11-02-2010,DM cd bestanden
K38613,Zakenrelatie,Actief,5503 LE,Middenbeemster,Europe,Noord-Brabant,Netherlands,0294-257893,050-3125890,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,internet
1001114,Zakenrelatie,Actief,1046 AE,Klundert,Europe,Zuid-Holland,Netherlands,0315-323070,010-4602182,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",19-07-2011,DM cd bestanden
K38277,Zakenrelatie,Actief,2628 XH,Hengelo,Europe,,Netherlands,043-3512200,0546-576905,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",07-12-2009,DM cd bestanden
1606080400,Zakenrelatie,Actief,1066 EH,Rotterdam,Europe,Utrecht,Netherlands,0575-462600,0416-540561,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",03-12-2013,internet
1606080359,Zakenrelatie,Actief,7671 AH,Steenderen,Europe,Zuid-Holland,Netherlands,010-2447039,010-2450898,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",05-07-2010,DM cd bestanden
1606080076,Zakenrelatie,Actief,5611 XH,Eindhoven,Europe,Gelderland,Netherlands,040-2462728,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",18-08-2011,DM cd bestanden
1606080274,Zakenrelatie,Actief,5991 PJ,Amsterdam,Europe,Noord-Brabant,Netherlands,0180-552697,010-4624251,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",19-03-2009,DM cd bestanden
1606080964,Zakenrelatie,Actief,9201 GH,Oudewater,Europe,Zuid-Holland,Netherlands,071-3320060,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",06-06-2011,internet
1606080377,Zakenrelatie,Actief,3581 AA,Eindhoven,Europe,Gelderland,Netherlands,06-13573347,071-5191961,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",17-01-2012,DM cd bestanden
2010010830416,Zakenrelatie,Actief,3072 MK,Dordrecht,Europe,Gelderland,Netherlands,0575-452400,0575-461157,Architecten Ext. BNA,K. Financiele instellingen,,16-12-2011,DM cd bestanden
1606080693,Zakenrelatie,Actief,1328 DH,'s-Gravenhage,Europe,Noord-Brabant,Netherlands,040-2068391,072-5679011,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,internet
2010010827709,Zakenrelatie,Actief,5653 RC,Heerhugowaard,Europe,Zuid-Holland,Netherlands,06-52180063,026-3644951,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",11-02-2010,internet
1606080263,Zakenrelatie,Actief,5301 PA,Zwolle,Europe,Overijssel,Netherlands,023 7435285,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",16-08-2013,internet
2010010827141,Zakenrelatie,Actief,2718 SH,Mechelen,Europe,Zuid-Holland,Netherlands,020-6203050,,Architecten Ext. BNA,K. Financiele instellingen,,31-08-2009,DM cd bestanden
1606080345,Zakenrelatie,Actief,4904 PP,Houten,Europe,Noord-Brabant,Netherlands,0522-461567,015-2146343,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",16-09-2013,internet
2010010827397,Zakenrelatie,Actief,3042 AN,Amsterdam,Europe,Zuid-Holland,Netherlands,071-5191960,0228-581506,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",22-04-2009,internet
1606080351,Zakenrelatie,Actief,5401 GA,Utrecht,Europe,Limburg,Netherlands,070-3514595,,Architecten Ext. BNA,Onbekend,,11-06-2015,DM cd bestanden
200907014275,Suspect,Actief,7255 AM,Rotterdam,Europe,Limburg,Netherlands,622323422,015-2703660,Architecten Ext. BNA,K. Financiele instellingen,,10-02-2010,DM cd bestanden
2010010832312,Zakenrelatie,Actief,1031 XG,Rotterdam,Europe,Noord-Holland,Netherlands,06 36219677,076-5203644,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",15-07-2011,DM cd bestanden
2010010832291,Zakenrelatie,Actief,6127 BJ,Dieren,Europe,Noord-Brabant,Netherlands,043-3065575,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",21-10-2009,internet
200907014215,Zakenrelatie,Actief,2614 GR,Urk,Europe,Zuid-Holland,Netherlands,040-2014515,0186-693144,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2010,internet
1606081641,Zakenrelatie,Actief,3701 BH,Apeldoorn,Europe,Zuid-Holland,Netherlands,076-5221811,,Architecten Ext. BNA,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,10-03-2009,DM cd bestanden
1606080684,Zakenrelatie,Actief,2342 AC,Amsterdam,Europe,Zuid-Holland,Netherlands,040-2222475,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",09-02-2010,internet
1606080100,Zakenrelatie,Actief,5521 HZ,Groningen,Europe,Gelderland,Netherlands,06-33305009,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",21-08-2012,DM cd bestanden
1606082180,Zakenrelatie,Actief,1012 DR,Born,Europe,Noord-Brabant,Netherlands,040-2457623,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",20-01-2010,DM cd bestanden
2010010832237,Zakenrelatie,Actief,6181 GT,Eindhoven,Europe,Noord-Holland,Netherlands,010-4778804,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",30-04-2014,internet
1606080007,Zakenrelatie,Actief,5981 TS,Amsterdam,Europe,Zuid-Holland,Netherlands,050-3126410,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",03-01-2014,DM cd bestanden
1606080641,Zakenrelatie,Actief,7216 SB,Roelofarendsveen,Europe,Noord-Holland,Netherlands,023-5385353,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",03-06-2009,DM cd bestanden
1606080244,Suspect,Actief,5674 PD,Kampen,Europe,Noord-Brabant,Netherlands,643077720,,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",18-03-2009,DM cd bestanden
1606080275,Zakenrelatie,Actief,2101 AB,Gerwen,Europe,Zuid-Holland,Netherlands,073-6100032,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",09-07-2012,DM cd bestanden
1606080295,Zakenrelatie,Actief,3062 JM,Lunteren,Europe,Flevoland,Netherlands,035-5416722,020-6686102,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",28-07-2008,internet
K39538,Zakenrelatie,Actief,6166 CZ,Herten,Europe,Zuid-Holland,Netherlands,0547 38 90 15,058-2501791,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",06-07-2012,DM cd bestanden
1606080499,Zakenrelatie,Actief,3071 PR,Amsterdam,Europe,Drenthe,Netherlands,015-2618078,043-3588201,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,internet
1606080442,Zakenrelatie,Actief,7462 TB,Amsterdam,Europe,Gelderland,Netherlands,035-6569426,043-3263600,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-02-2010,DM cd bestanden
1606080634,Zakenrelatie,Actief,3812 TA,Goes,Europe,Zuid-Holland,Netherlands,023-5290190,0475-535676,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",29-04-2009,DM cd bestanden
1606080098,Zakenrelatie,Actief,3012 KD,Rozendaal,Europe,Noord-Brabant,Netherlands,013-5078450,035-6236572,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",06-08-2012,DM cd bestanden
2010010829339,Zakenrelatie,Actief,4225 PL,Amsterdam,Europe,Limburg,Netherlands,0599-416042,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",18-06-2012,DM cd bestanden
200907014632,Prospect,Actief,6417 AT,Dordrecht,Europe,Noord-Brabant,Netherlands,0492-549693,015-2127583,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",05-07-2010,DM cd bestanden
2010010830124,Zakenrelatie,Actief,6004 AN,Tilburg,Europe,Noord-Brabant,Netherlands,020-3449300,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,DM cd bestanden
1001135,Zakenrelatie,Actief,6294 NG,Bergen,Europe,Noord-Brabant,Netherlands,073-6126079,,Architecten Ext. BNA,Onbekend,,04-02-2008,DM cd bestanden
1606080297,Zakenrelatie,Actief,3512 KS,Groningen,Europe,Noord-Brabant,Netherlands,0541-358260,,Architecten Ext. BNA,K. Financiele instellingen,742012 Techn. ontwerp . burger/util.bouw (géén architect),01-02-2010,DM cd bestanden
1606080514,Zakenrelatie,Actief,6418 PB,Uden,Europe,Noord-Holland,Netherlands,013-5442326,010-2829920,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",06-07-2012,internet
1606080767,Prospect,Actief,5126 CC,Maarssen,Europe,Noord-Holland,Netherlands,0492-361318,020-3057778,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",27-06-2013,DM cd bestanden
1606080653,Zakenrelatie,Actief,2870 AA,Rotterdam,Europe,Noord-Brabant,Netherlands,0495-451017,,Architecten Ext. BNA,K. Financiele instellingen,,11-06-2015,DM cd bestanden
1606080370,Zakenrelatie,Actief,5915 XH,'s-Hertogenbosch,Europe,Limburg,Netherlands,0162-428077,0418-541330,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,DM cd bestanden
1606080483,Zakenrelatie,Actief,3061 ZH,Eindhoven,Europe,Zuid-Holland,Netherlands,050-3140560,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",15-10-2013,DM cd bestanden
K23774,Prospect,Actief,5611 CJ,Sint Pancras,Europe,Noord-Brabant,Netherlands,078-6145795,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",27-08-2009,DM cd bestanden
K38741,Zakenrelatie,Actief,2223 EJ,Hengelo,Europe,Noord-Brabant,Netherlands,0499-395072,0495-545747,Architecten Ext. BNA,K. Financiele instellingen,,27-06-2011,internet
1606080449,Zakenrelatie,Actief,4873 GV,Ede,Europe,Overijssel,Netherlands,0570-670055,010-4760909,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",03-04-2012,internet
1606080455,Zakenrelatie,Actief,1404 HN,Beuningen,Europe,Noord-Brabant,Netherlands,0229-212919,08-474373 0,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",29-05-2015,DM cd bestanden
1606080461,Zakenrelatie,Actief,5342 AT,Eersel,Europe,Noord-Brabant,Netherlands,0161-451021,055-3605562,Architecten Ext. BNA,Onbekend,,15-02-2010,internet
1606080392,Zakenrelatie,Actief,6525 GX,Rotterdan,Europe,Zuid-Holland,Netherlands,06-30843038,075-6125488,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",22-07-2010,DM cd bestanden
1606080660,Zakenrelatie,Actief,3089 JW,Gilze,Europe,Gelderland,Netherlands,040-2445987,030-2289400,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",07-10-2009,DM cd bestanden
K38359,Zakenrelatie,Actief,7941 KG,Helmond,Europe,Zuid-Holland,Netherlands,033-2850239,023-5342009,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",27-04-2009,DM cd bestanden
1606080317,Zakenrelatie,Actief,1057 JH,Groningen,Europe,Flevoland,Netherlands,072-5895745,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",03-09-2009,DM cd bestanden
1606080184,Zakenrelatie,Actief,1069 LH,Dedemsvaart,Europe,Limburg,Netherlands,0318-840027,024-3889036,Architecten Ext. BNA,K. Financiele instellingen,,29-05-2015,DM cd bestanden
2010010832289,Zakenrelatie,Actief,8019 AD,'s-Heer Arendskerke,Europe,Noord-Brabant,Netherlands,040-2372676,073-5038338,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",27-04-2009,DM cd bestanden
K38638,Zakenrelatie,Actief,5491 HC,DELFT,Europe,Noord-Brabant,Netherlands,020-6120104,046-4337668,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",27-06-2011,DM cd bestanden
2010010829530,Zakenrelatie,Actief,1473 PH,Geleen,Europe,Noord-Holland,Netherlands,077-3073423,046-4110501,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",04-02-2010,DM cd bestanden
1606080216,Zakenrelatie,Actief,2611 WG,Amsterdam,Europe,Limburg,Netherlands,06-15612690,020-6273126,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",14-02-2009,DM cd bestanden
1606080538,Zakenrelatie,Actief,9712 KZ,Rotterdam,Europe,Zuid-Holland,Netherlands,010-4768009,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",04-02-2010,internet
2010010829158,Prospect,Actief,2312 HC,Veldhoven,Europe,Overijssel,Netherlands,457009714,,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",15-10-2012,internet
1080402574,Zakenrelatie,Actief,3026 GV,Dordrecht,Europe,Zuid-Holland,Netherlands,075-6287686,073-6146622,Architecten Ext. BNA,K. Financiele instellingen,,11-06-2015,DM cd bestanden
1606080508,Zakenrelatie,Actief,3812 EP,Drachten,Europe,Zuid-Holland,Netherlands,0523-261331,0413-476570,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",19-01-2010,DM cd bestanden
1606080627,Zakenrelatie,Actief,3155 SK,Amerongen,Europe,Noord-Brabant,Netherlands,036-5221126,0172-415570,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,Beurs
200907014422,Zakenrelatie,Actief,5176 NP,Eindhoven,Europe,Zuid-Holland,Netherlands,06 23918686,0162-422456,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",23-04-2009,DM cd bestanden
