unknown,telephone_nr,house_number,postcode,city,telephone_nr,house_number,postcode,city,legal_type,postcode,city,house_number,postcode,city,country,telephone_nr,telephone_nr,gender,sbi_code,sbi_code,sbi_code,sbi_description,sbi_description,sbi_description,date,date,date,date
1002389,,4092.0,3784 XC,Nijmegen,,800.0,1058 AA,Kinderdijk,Publiekrechtelijke rechtspersoon,7333NR,'S-GRAVENDEEL,2502.0,5248JT,SCHERPENZEEL GLD,NLD,078  6910302,,m,6420.0,4213.0,,Algemene burgerlijke en utiliteitsbouw,Ingenieurs en overig technisch ontwerp en advies,,12-3-2010,29-3-1977,5-10-1992,25-6-2014
D-00034,0515 - 413531,1.0,1119 NT,'s-Gravenhage,,110.0,3442 AC,Nijmegen,Besloten Vennootschap met gewone structuur,3311BD,GORINCHEM,211.0,6030AA,AMSTERDAM,NLD,085  7731833,,,2893.0,,4321.0,Algemeen overheidsbestuur,,,30-8-2016,22-12-2000,,1-7-2009
1002212,0525-659888,10000.0,4043 JC,Harderwijk,,366.0,1059 CB,Hengelo Ov,Publiekrechtelijke rechtspersoon,3208LJ,ROTTERDAM,201.0,9503JA,MOORDRECHT,NLD,0481 353202,,,,6420.0,,Overige dienstverlening n.e.g.,"Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling",,22-3-2016,,,
K22500,0341-437100,1025.0,1101 BG,Breda,,599.0,7470 AB,Sneek,Besloten Vennootschap met gewone structuur,3453JN,BREDA,6.0,7122LB,ZOETERMEER,NLD,055  5415222,,m,69209.0,6420.0,,Vervaardiging van overige machines en apparaten voor algemeen gebruik n.e.g.,Wegenbouw,,26-11-2014,7-9-1977,,1-3-2003
1002411,088 1861600 0402500760 cred,174.0,3750 GB,'s-Gravendeel,,8185.0,1300 AE,Rosmalen,Publiekrechtelijke rechtspersoon,5692EP,LELYSTAD,501.0,1040BA,BOEKEL,NLD,0493 315176,,m,6420.0,2712.0,,Algemeen overheidsbestuur,,Overige specialistische zakelijke dienstverlening,4-3-2010,,,29-12-1991
1001885,0348 435100,38.0,5754 PB,Boekel,,12182.0,7040 AC,Bunschoten Spakenburg,Publiekrechtelijke rechtspersoon,6097AS,HOEVELAKEN,3.0,6026PX,BREDA,NLD,030  6347010,,,8411.0,46695.0,,Algemeen overheidsbestuur,,,11-1-2013,12-4-2005,,26-7-1991
K60408,0493 - 492096,14.0,3511 BR,'s-Gravenhage,,2405.0,2900 AK,Utrecht,Besloten Vennootschap met gewone structuur,3511EP,VELDHOVEN,94.0,3505AB,ALMERE,NLD,088  7002800,,f,8129.0,43221.0,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,7-1-2013,20-8-1979,,1-1-2010
D-00067,,800346.0,2511 BT,Rijssen,,14.0,4940 AB,Weert,Besloten Vennootschap met gewone structuur,3439ML,WOERDEN,1.0,7140AB,OOTMARSUM,NLD,013  5910160,,,43222.0,78202.0,,Verhuur van onroerend goed (niet van woonruimte),,Uitleenbureaus,18-4-2005,,,15-10-2010
K60920,0546-879555,800.0,7550 AJ,Valkenswaard,,46.0,5600 AA,Amsterdam,Besloten Vennootschap met gewone structuur,4815PT,'S-HERTOGENBOSCH,73.0,4201HL,OUDEWATER,NLD,,,,4120.0,,,Algemene burgerlijke en utiliteitsbouw,Installatie van verwarmings- en luchtbehandelingsapparatuur,,29-9-2014,22-5-2002,,1-3-2006
K60219,046-4389222,18.0,7418 ET,Nieuwegein,,6.0,8200 AB,Bunnik,Besloten Vennootschap met gewone structuur,1101CD,AMSTERDAM,25.0,5684PH,TILBURG,NLD,030  6378687,,m,32502.0,4321.0,4941.0,Bouw van kunstwerken,,,15-4-2014,21-12-1967,,30-12-2005
K61010,,444.0,8080 AA,'s-Hertogenbosch,,130.0,8013 PM,Rosmalen,Besloten Vennootschap blijkens statuten structuurvennootschap,5431BV,BOXTEL,49.0,3980CA,ROSMALEN,NLD,038  4224402,,m,2651.0,,,Vervaardiging van machines voor de kunststof- en rubberindustrie,,,27-1-2014,,,1987
D-00164,040 - 75 17 500,67.0,5600 AJ,Zaandam,,120.0,5700 AS,Hoofddorp,Besloten Vennootschap met gewone structuur,5684PH,ALMERE,56.0,6660AA,BARENDRECHT,NLD,030  7551520,,m,43991.0,,,"Vervaardiging van deuren, ramen en kozijnen van hout",,,27-8-2010,31-8-2009,16-8-1937,3-11-1993
K59638,,3193.0,3002 AP,Rotterdam,0180 641991,71.0,2153 GH,Avenhorn,Naamloze Vennootschap blijkens statuten structuurvennootschap,2661CS,'S-GRAVENHAGE,61.0,5240AK,NIEUW VENNEP,NLD,073  5435111,,m,4120.0,4222.0,,Ingenieurs en overig technisch ontwerp en advies,Loodgieters- en fitterswerk; installatie van sanitair,,16-1-2012,28-12-1970,,7-9-1973
1001569,030-2650500,174.0,6920 AA,Lelystad,,249.0,8260 AC,Schiphol-Rijk,Besloten Vennootschap met gewone structuur,3364DG,VEGHEL,10.0,7000AE,BUNNIK,NLD,0492 468219,,,2562.0,78202.0,,Projectontwikkeling,Financiële holdings,,21-12-2012,20-12-1963,30-5-2005,20-12-1963
K10133,020 - 316 1730,10150.0,5248 JT,Veldhoven,,524.0,6604 LN,Heerhugowaard,Besloten Vennootschap met gewone structuur,8914BC,BREDA,19.0,6662WD,NIEUWEGEIN,NLD,038  2049995,,,7112.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,,,27-3-2013,2-5-1994,,1-1-1978
K60158,0342 406406,118.0,3061 CH,Bunnik,,25.0,6460 AP,Venray,Besloten Vennootschap met gewone structuur,7559SE,ALMELO,6.0,6360AA,MAARSSEN,NLD,038  3371020,,,4120.0,2229.0,,Fokken en houden van melkvee,Uitleenbureaus,,17-2-2006,,30-5-2006,12-11-2002
1001763,,4933.0,5902 RD,Terschuur,,69.0,4817 BL,Gouda,Buitenlandse EG-vennootschap met onderneming in Nederland,1032KW,ROTTERDAM,27.0,5000AK,DOETINCHEM,NLD,0347 369911,,m,3315.0,,43991.0,Ingenieurs en overig technisch ontwerp en advies,,,8-3-2011,,31-5-1995,24-6-1964
1001492,074 - 2405000,7.0,4700 KA,Rotterdam,,78.0,7333 NR,Bunnik,Besloten Vennootschap met gewone structuur,3542DA,ELST,1.0,3430BH,NIEUWEGEIN,NLD,0499 377333,,,2813.0,4221.0,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,7-6-2007,,8-9-1972,1-12-1971
K61003,078-6910173,23.0,8080 AB,Aalten,,900.0,5240 AE,Maastricht,Besloten Vennootschap met gewone structuur,4207HB,IJSSELSTEIN,8.0,6970AA,VALKENBURG LB,NLD,0344 615224,,m,4120.0,6420.0,,Uitzendbureaus,Financiële holdings,,13-10-2005,19-10-1972,15-1-1973,1-1-1989
1002452,0162-522202,202.0,3980 CB,Drogeham,,3161.0,3220 AE,Werkendam,Besloten Vennootschap met gewone structuur,6031ET,ALMELO,2.0,6590HD,BUNNIK,NLD,088  3278400,,,2313.0,,,Financiële holdings,,,20-7-2007,25-1-2000,,1-3-2015
K60924,030 2486911,334.0,1970 CA,Breda,,136.0,3500 GK,Emmen,Besloten Vennootschap met gewone structuur,7575BR,BEEK,2.0,7800RA,HELMOND,NLD,040  2893893,,m,43221.0,4120.0,,Organisatie-adviesbureaus,,,23-3-2015,13-11-1939,,15-1-1959
K60922,0541 - 572200,246.0,5684 PH,Oosterhout NB,088-8010808,444.0,5240 AE,Spijkenisse,Besloten Vennootschap met gewone structuur,7101GH,SPRANG-CAPELLE,67.0,2525KJ,HEERENVEEN,NLD,,,,2893.0,,,Ingenieurs en overig technisch ontwerp en advies,Uitleenbureaus,,14-12-2004,8-10-2001,8-2-2001,1-6-1995
K60226,0346 581 065,175.0,3400 AE,Apeldoorn,,20.0,8000 AA,Amersfoort,Besloten Vennootschap met gewone structuur,2841ML,UDENHOUT,50.0,5711DD,WENUM WIESEL,NLD,075  6121624,,,46436.0,,6420.0,Uitgeverijen van boeken,Heien en andere funderingswerkzaamheden,,1-2-2016,14-7-2014,,1-12-1978
K60853,0251-229089,71.0,1190 AB,Nieuwegein,0525 685471,43.0,3439 LE,Aalten,Besloten Vennootschap met gewone structuur,9206AS,EINDHOVEN,14.0,3770AA,EMMEN,NLD,0541 283333,,,47543.0,2369.0,,Ingenieurs en overig technisch ontwerp en advies,Groothandel gespecialiseerd in overige bouwmaterialen,,30-6-2010,24-6-2014,,9-7-2014
D-00185,,71.0,3503 RD,Venlo,030 6039263,41.0,4941 SG,Bunnik,Besloten Vennootschap met gewone structuur,5248JT,DRACHTEN,1.0,6202TC,OUDENBOSCH,NLD,0412 453872,,,78201.0,,,Leggen van elektriciteits- en telecommunicatiekabels,,,1-8-2007,3-2-1976,1-3-2012,9-3-1984
1001711,0547 - 284868,1025.0,3439 LE,Oisterwijk,,201.0,5504 EE,Nederweert,Besloten Vennootschap met gewone structuur,3364DL,TILBURG,4301.0,1042AH,OUDERKERK AAN DE AMSTEL,NLD,,,m,2651.0,4120.0,4311.0,Behandeling van onschadelijk afval,,,8-7-2016,31-10-2007,21-12-1972,19-11-2004
1002315,078 - 6417222 ( tot 12:00u),13.0,3440 AM,Rotterdam,,8574.0,1700 AG,Amsterdam,Besloten Vennootschap met gewone structuur,6669CJ,HOUTEN,2.0,6460AP,DRACHTEN,NLD,073  6580680,,,68204.0,,78202.0,Installatie van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen,Ingenieurs en overig technisch ontwerp en advies,Uitleenbureaus,23-6-2008,19-9-2006,20-11-1972,1-5-1992
K10046,040 - 264 7676,120.0,8600 HA,Gorinchem,070 3170750,10000.0,7140 AC,Buitenpost,Besloten Vennootschap met gewone structuur,3208KJ,ROTTERDAM,6.0,3980CC,ELST,NLD,030  2854300,,m,43222.0,,,Leggen van elektriciteits- en telecommunicatiekabels,Uitleenbureaus,,8-10-2007,6-3-1980,,28-12-1977
1002291,043-6099292,1.0,5710 AG,Houten,,4379.0,3350 AH,Enschede,Besloten Vennootschap met gewone structuur,3771RG,BARENDRECHT,71.0,6170AA,DEVENTER,NLD,030  6392611,,,7112.0,43221.0,,Algemene burgerlijke en utiliteitsbouw,,,1-10-2008,27-10-1970,,15-2-2002
1001989,0318-695300,8.0,5700 EV,Heerenveen,,290.0,1749 ZG,'s-Hertogenbosch,Besloten Vennootschap met gewone structuur,5705CS,BARNEVELD,1.0,5080AA,APELDOORN,NLD,078  6417222,,,4321.0,,,Overige belangenbehartiging n.e.g.,,,20-1-2014,20-11-1935,11-4-1989,30-6-1912
D-00143,030-2650500,9003.0,3990 CG,Amsterdam,,32.0,3600 BA,Alkmaar,Besloten Vennootschap met gewone structuur,1991AS,TIEL,53.0,3980CB,EINDHOVEN,NLD,,,,8129.0,43221.0,,Elektrotechnische bouwinstallatie,,Uitleenbureaus,13-2-2012,,,28-12-1984
D-00198,0252 22 20 07,124.0,5504 EE,Capelle aan den IJssel,,2.0,3440 AM,Hoogvliet Rt,Besloten Vennootschap met gewone structuur,1112TC,BREDA,15.0,3500GM,EINDHOVEN,NLD,0488 411110,,,7112.0,,78202.0,Algemene burgerlijke en utiliteitsbouw,,,28-12-2005,28-12-1977,10-2-1977,13-2-1989
1002588,030-2306141,6.0,3505 AB,IJsselstein Ut,,2546.0,4730 AA,Veldhoven,Besloten Vennootschap met gewone structuur,6026PX,BREDA,5.0,9704CH,GORINCHEM,NLD,043  7500520,,m,4120.0,43221.0,,Algemene burgerlijke en utiliteitsbouw,Uitleenbureaus,,9-8-2012,4-7-1910,,1-4-2011
K60979,030 2357104,16.0,1911 DB,Bunnik,,99.0,5240 AK,Papendrecht,Besloten Vennootschap met gewone structuur,9291KB,HENGELO,18.0,5900AA,ROSMALEN,NLD,0488 443093,,m,2511.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,Leggen van elektriciteits- en telecommunicatiekabels,,4-9-2007,30-6-2016,,1-1971
1001499,0548-539630,2.0,5080 AA,Rosmalen,033 2992933,16.0,6040 KB,Elburg,Besloten Vennootschap met gewone structuur,4196HG,SASSENHEIM,16.0,3500GK,BREDA,NLD,0495 677111,,,4321.0,43221.0,,Ingenieurs en overig technisch ontwerp en advies,Wegenbouw,,3-5-2006,,,20-1-1988
K60873,,525.0,5528 ZG,Amsterdam,0570 699337,13.0,9200 AD,Harlingen,Publiekrechtelijke rechtspersoon,2584AA,DEVENTER,77.0,7801CC,BUNNIK,NLD,0511 458888,06 31271640,,86923.0,43221.0,,Vervaardiging van machines voor de productie van voedings- en genotmiddelen,,,13-1-2012,,22-2-1974,16-2-1993
1001824,050-5347345,12.0,7345 AS,Amersfoort,,623.0,7570 AH,Venray,Besloten Vennootschap met gewone structuur,6229EE,VLAARDINGEN,1.0,5248JT,HEERLEN,NLD,074  8200204,,,4312.0,78202.0,46699.0,Loodgieters- en fitterswerk; installatie van sanitair,Loodgieters- en fitterswerk; installatie van sanitair,Organisatie-adviesbureaus,26-8-2013,29-5-2012,19-9-2006,1-7-1998
K60696,,246.0,3565 AN,Kollum,030-2306149,15.0,5690 AD,Lichtenvoorde,Besloten Vennootschap met gewone structuur,8303HA,AMSTERDAM,7.0,2260AB,BUITENPOST,NLD,0481 362300,,m,3324.0,78202.0,,Algemene burgerlijke en utiliteitsbouw,Ingenieurs en overig technisch ontwerp en advies,,7-8-2008,9-5-1974,,22-11-1911
D-00024,"025-1261920 ma, di, wo ochtend",1.0,4941 SG,Rosmalen,078-6398300,172.0,5240 AK,Breda,Besloten Vennootschap met gewone structuur,5831AP,HELLEVOETSLUIS,,8440AA,DEURNE,NLD,045  5278555,,m,6831.0,2511.0,,Elektrotechnische bouwinstallatie,,Elektrotechnische bouwinstallatie,10-7-2012,28-3-2013,2-3-2004,4-5-2004
D-00041,010-4090400,7.0,2718 SB,Delft,0511-54 82 39,23155.0,8000 AA,Gouda,Besloten Vennootschap met gewone structuur,7131PG,GORINCHEM,2.0,7001AB,KAMPEN,NLD,0492 533282,,,42111.0,,,Wegenbouw,,Uitleenbureaus,30-7-2012,26-3-1997,14-11-1977,27-1-1975
K59624,0165 584000,7.0,2260 AB,Raamsdonksveer,035 6221192,5000.0,3208 LJ,Meerssen,Publiekrechtelijke rechtspersoon,5664HT,RIJSSEN,22.0,5240AE,ROTTERDAM,NLD,020  6318218,,m,141.0,7112.0,4120.0,Loodgieters- en fitterswerk; installatie van sanitair,,,3-10-2014,29-12-1975,,1-1-1982
1000020,0486-459000,228.0,8080 AB,Gorinchem,0184 448909,1025.0,5384 ZG,'s-Hertogenbosch,Publiekrechtelijke rechtspersoon,3342AE,ROOSENDAAL,1.0,7320AD,SPIJKENISSE,NLD,055  3124070,,,8412.0,43999.0,,Vervaardiging van overige elektrische apparatuur,,,1-4-2011,,12-11-1997,1-4-1981
1002554,033-4671511,90156.0,2003 RR,Kinderdijk,,235.0,7550 AJ,Utrecht,Publiekrechtelijke rechtspersoon,8316GB,'S-HERTOGENBOSCH,21.0,3350AA,APELDOORN,NLD,0318 633889,,,4120.0,3811.0,,Pluimveeslachterijen,,,11-3-2009,28-10-1988,22-9-1972,1-11-1964
D-00011,0184-674444,160.0,5260 GA,Rijssen,,356.0,6800 AD,Maastricht,Vennootschap onder firma,9251LV,WIJCHEN,25.0,3042HN,MAARSSEN,NLD,,,m,42111.0,,,Vervaardiging van overige machines en apparaten voor algemeen gebruik n.e.g.,,,1-11-2010,28-12-1981,4-9-1974,1-4-2005
K10004,0182-543210,77.0,1100 AD,Uitgeest,,418.0,7418 ET,Roosendaal,Vennootschap onder firma,6049BN,HOUTEN,41.0,5651GG,UTRECHT,NLD,030  2853185,,m,78201.0,,,Ingenieurs en overig technisch ontwerp en advies,Uitleenbureaus,Groothandel in bouwmaterialen algemeen assortiment,18-1-2007,31-12-1985,27-10-1972,23-11-1984
1001990,0226 391629,600.0,8160 AD,Roosendaal,,399.0,4630 AB,Amsterdam,Besloten Vennootschap met gewone structuur,8601CR,'S-GRAVENHAGE,35.0,2500BT,WERKENDAM,NLD,0485 396600,,,4120.0,,,Vervaardiging van pneumatisch en elektrisch handgereedschap,"Ontwikkelen, produceren en uitgeven van software",,30-3-2011,22-12-2000,,1-1-2010
K10045,,38.0,7041 GB,Apeldoorn,,12.0,4000 AN,Anerveen,Besloten Vennootschap met gewone structuur,2801SC,UTRECHT,115.0,5248JT,PAPENDRECHT,NLD,0341 257605,,,4222.0,,6832.0,Vervaardiging van verpakkingsmiddelen van papier en karton,,Uitleenbureaus,27-6-2007,14-3-1991,,19-12-2013
D-00039,0492 - 590059,344.0,5711 DD,Tilburg,,4.0,5600 AA,Helmond,Besloten Vennootschap met gewone structuur,2984AM,DORDRECHT,106.0,3870CE,EMMEN,NLD,038  2028020,,,4321.0,4213.0,,Ingenieurs en overig technisch ontwerp en advies,,,5-3-2012,19-5-2008,11-6-1975,14-7-2000
